Under Bridges,,,,,Over Bridges,,,
Structure_No,Type_Desc,Easting,Northing,,Structure_No,Type_Desc,Easting,Northing
10.219,Bridge (Underline),250324.544,422990.8881,,6.457,Bridge (Overline),340410.5394,401642.4144
10.218,Bridge (Underline),252504.4757,422843.2015,,6.456,Bridge (Overline),340605.3737,400963.2179
10.215,Bridge (Underline),256357.0325,422017.1985,,6.441,Bridge (Overline),346374.5831,394557.3766
3.313,Bridge (Underline),334433.5789,373371.1211,,06.442A,Bridge (Overline),344103.9196,398443.0541
03.315A,Bridge (Underline),334654.7501,374147.5886,,6.443,Bridge (Overline),343642.6884,398680.0608
4.316,Bridge (Underline),334694.8124,374301.6059,,6.45,Bridge (Overline),343243.5177,398653.1678
4.317,Bridge (Underline),334768.7836,374379.0146,,06.439B,Bridge (Overline),347467.0111,392012.6301
4.318,Bridge (Underline),334811.576,374409.5381,,6.439,Bridge (Overline),347527.6859,391667.2712
4.319,Bridge (Underline),334945.1003,374505.0888,,06.434A,Bridge (Overline),346496.9061,390312.1486
5.031,Bridge (Underline),333391.6391,384911.8006,,06.432B,Bridge (Overline),345190.681,388952.9856
5.029,Bridge (Underline),334225.4895,384811.5093,,06.432A,Bridge (Overline),345176.0236,388944.2846
05.015A,Bridge (Underline),335315.9296,383226.5008,,1.165,Bridge (Overline),305260.3776,316041.6161
5.056,Bridge (Underline),323926.9214,385808.3815,,1.167,Bridge (Overline),305151.2189,316689.6391
5.055,Bridge (Underline),324084.0442,385876.5492,,1.169,Bridge (Overline),305589.0084,318894.6574
5.054,Bridge (Underline),324246.2728,385957.2083,,1.17,Bridge (Overline),305667.6729,319102.9608
5.053,Bridge (Underline),324370.6167,386028.7163,,1.177,Bridge (Overline),307402.9442,321140.9503
5.052,Bridge (Underline),324501.3778,386112.1257,,01.177A,Bridge (Overline),307524.4094,321203.5073
5.051,Bridge (Underline),324552.2123,386148.0498,,1.179,Bridge (Overline),308179.98,321535.0947
05.050A,Bridge (Underline),324709.0052,386261.3625,,1.18,Bridge (Overline),308554.5871,321948.8512
5.05,Bridge (Underline),325448.1564,386813.9848,,1.181,Bridge (Overline),308560.8311,322522.4958
5.049,Bridge (Underline),325596.2225,386922.437,,1.182,Bridge (Overline),308416.0808,323034.8635
5.047,Bridge (Underline),327390.7088,387366.607,,1.19,Bridge (Overline),307084.0218,326791.2465
5.046,Bridge (Underline),328054.371,387020.118,,01.192A,Bridge (Overline),306926.9814,327868.5178
5.045,Bridge (Underline),328210.8669,386936.3885,,02.301A,Bridge (Overline),331926.7568,371303.4983
5.044,Bridge (Underline),328426.1489,386823.1158,,02.299A,Bridge (Overline Footbridge),330974.6993,370554.404
5.04,Bridge (Underline),330322.593,385565.9642,,2.299,Bridge (Overline),330257.4805,370235.018
5.038,Bridge (Underline),331293.1186,385328.4975,,2.298,Bridge (Overline),329686.6617,369642.5313
05.077 (11.045),Bridge (Underline),315410.2114,386830.3466,,02.297B,Bridge (Overline),329673.9345,369624.1793
5.073,Bridge (Underline),316724.9819,385591.5571,,4.338,Bridge (Overline),340872.0759,379803.0454
5.072,Bridge (Underline),317123.6576,385497.3965,,4.339,Bridge (Overline),341004.5691,379871.6931
5.07,Bridge (Underline),318630.9034,385149.2473,,4.34,Bridge (Overline),341265.2252,380054.8337
5.069,Bridge (Underline),318655.7722,385143.9567,,4.341,Bridge (Overline),341662.0533,380416.1844
