Sample,SampleType,Easting,Northing,Ag,As,Au,Be,Bi,Cd,Ce,Co,Cs,Ga,Ge,Hf,Hg,In,La,Lu,Mo,Nb,Pb,Pd,Pt,Rb,Sb,Sc,Se,Sn,Ta,Tb,Te,Th,Tl,U,W,Y,Yb,Al,B,Ba,Ca,Cr,Cu,Fe,K,Li,Mg,Mn,Na,Ni,P,S,Sr,Ti,V,Zn,Zr,Analytical_method
555098,A,225160,323719,0.07,2.6,0.05,0.4,0.17,0.15,21.1,7.4,0.99,6,0.05,0.96,0.09,0.02,8.5,0.02,0.61,0.37,33.1,0.25,0.05,20.1,0.38,3.7,1,1.4,0.09,0.16,0.025,5.3,0.18,0.7,0.05,2.47,0.2,2.42,11,50,0.08,27,17.8,1.62,0.43,23,0.4,36,0.02,32.4,461,0.15,36.8,0.005,33,79,11.6,ICM12B
555099,A,217317,329380,0.1,2.7,0.05,0.05,0.1,0.28,13.4,2.6,1.37,2.7,0.05,0.14,0.09,0.01,5.6,0.02,0.69,0.18,24.9,0.25,0.05,6.2,0.2,1.5,0.5,0.8,0.025,0.11,0.025,1.6,0.2,1.13,0.05,2.08,0.2,0.91,5,51,0.2,10,4.8,0.72,0.08,9,0.08,203,0.01,5,591,0.08,15.4,0.005,27,18,1.5,ICM12B
555100,A,238241,342614,0.07,11.3,0.05,0.1,0.19,0.78,11.6,2.5,0.21,1,0.05,0.26,0.23,0.01,6.6,0.06,1.48,0.31,52.3,0.25,0.05,2.5,0.82,1.3,2,2.2,0.15,0.14,0.025,1.3,0.08,2.48,0.05,5.34,0.4,0.32,11,203,2.52,8,103.4,1.87,0.06,2,0.09,308,0.02,11.5,2550,0.5,81.4,0.005,12,166,2.3,ICM12B
555101,A,208190,338707,0.08,13.1,0.05,0.5,0.16,2.08,30.6,12.9,0.99,3.4,0.1,0.25,0.14,0.01,14.3,0.16,3.75,0.3,38.8,0.25,0.05,17.8,0.67,4.3,1,1.5,0.025,0.4,0.06,4,0.23,0.73,0.05,13.4,1.3,1.32,5,77,0.5,16,17.3,2.52,0.13,11,0.12,2690,0.01,48.7,1410,0.13,12.1,0.005,29,85,3.5,ICM12B
555102,A,227557,337120,0.09,9.1,0.05,0.4,0.19,0.82,27.4,4.2,0.67,3.1,0.2,0.32,0.17,0.01,16.7,0.15,1.11,0.55,27.2,0.25,0.05,8.8,0.53,3.9,3,1.5,0.09,0.52,0.025,2.5,0.16,7.63,0.3,14.7,1.2,1.35,5,165,2.11,25,113.6,2.12,0.11,9,0.18,361,0.02,33,2020,0.45,155,0.005,36,71,4.1,ICM12B
555103,A,222620,340587,0.06,6.4,0.05,0.6,0.2,0.36,31.2,14,1.49,6.1,0.1,0.41,0.06,0.03,13,0.11,0.99,0.43,29.5,0.25,0.05,32.2,0.18,8.1,1,1.4,0.025,0.47,0.025,7.4,0.21,1.37,0.05,9.95,1,2.49,11,93,0.61,42,19.3,4.31,0.29,29,0.41,422,0.02,42.5,874,0.1,33.2,0.005,39,94,6.5,ICM12B
555104,A,227265,331452,0.13,5.3,0.05,0.5,0.16,2.31,44.9,8,0.82,4,0.2,0.72,0.2,0.01,23,0.25,1.09,0.31,23.8,0.25,0.05,6.9,0.39,7.8,4,0.9,0.025,0.93,0.025,5.9,0.21,11.9,0.05,23.2,2,1.74,5,153,0.94,26,56.3,1.85,0.12,17,0.15,338,0.01,41.4,1130,0.2,45.2,0.005,34,45,11.4,ICM12B
555105,A,213533,339505,0.1,31.5,0.05,0.5,0.19,1.43,27.7,5.5,1.22,4.3,0.2,0.37,0.14,0.01,13.3,0.15,1.01,0.36,27.2,0.25,0.05,12.3,0.24,6.5,3,1.3,0.025,0.51,0.025,4.3,0.24,1.89,0.05,14.1,1.2,1.61,11,116,1.13,26,26.7,4.74,0.17,16,0.25,237,0.02,24.9,3110,0.27,30.2,0.005,33,90,5.2,ICM12B
555106,A,226711,326404,0.06,3,0.05,0.1,0.07,0.12,11.4,1.2,1.02,2.5,0.05,0.1,0.06,0.01,5.4,0.01,0.46,0.17,14.6,0.25,0.05,7.7,0.14,0.9,0.5,0.7,0.025,0.08,0.025,1.4,0.1,0.46,0.05,1.4,0.1,0.64,5,28,0.18,6,4,0.8,0.08,5,0.05,85,0.01,3.6,444,0.07,7.1,0.005,12,17,1.5,ICM12B
555107,A,219519,341604,0.05,6.3,0.05,0.5,0.14,0.31,35.2,9.8,1.2,4.5,0.1,0.33,0.05,0.01,13.6,0.13,0.82,0.31,19.9,0.25,0.05,25.8,0.12,5.7,0.5,1,0.025,0.49,0.025,5.9,0.17,1.02,0.05,10.9,1.1,1.68,5,96,0.4,26,10.8,3.26,0.18,20,0.24,344,0.02,24.2,664,0.07,22.3,0.005,26,64,5.1,ICM12B
555108,A,227784,339447,0.09,10.9,0.05,0.3,0.09,0.4,31,6.3,0.93,3.6,0.1,0.1,0.06,0.01,14.6,0.09,0.78,0.42,30.6,0.25,0.05,19.7,0.21,2.6,0.5,0.8,0.025,0.27,0.025,3.2,0.16,1.43,0.05,6.17,0.6,1.23,5,91,0.23,23,26.9,1.85,0.21,15,0.29,352,0.02,18.4,1230,0.07,21.8,0.005,26,81,1.3,ICM12B
555109,A,221505,339656,0.07,5.5,0.05,0.3,0.14,0.65,26.8,8.4,0.9,3.7,0.05,0.29,0.07,0.01,10.9,0.09,1.03,0.39,16.9,0.25,0.05,13.7,0.17,3.5,1,0.8,0.025,0.29,0.025,3.9,0.16,4.33,0.05,7.79,0.7,1.49,5,66,0.61,24,20.2,2.86,0.11,14,0.19,683,0.02,24.6,1010,0.11,20.8,0.005,31,62,4.7,ICM12B
555110,A,229337,327609,0.05,10.1,0.05,0.5,0.13,0.46,29,5.6,1.13,3.7,0.1,0.2,0.07,0.01,11.6,0.1,1.56,0.22,18.4,0.25,0.05,15.5,0.19,5.1,0.5,0.9,0.025,0.4,0.025,4.3,0.21,1.36,0.05,9.01,0.9,1.51,5,51,0.3,23,9.7,3.17,0.1,11,0.08,201,0.02,16.5,603,0.07,25,0.005,34,62,4,ICM12B
555111,A,229424,321490,0.06,5,0.05,0.1,0.08,0.19,11.8,2.2,0.8,2.3,0.05,0.11,0.08,0.01,5.7,0.03,0.59,0.18,17.4,0.25,0.05,5.7,0.24,1.1,0.5,0.7,0.025,0.11,0.025,1.4,0.12,1.32,0.05,2.6,0.2,0.67,5,31,0.19,9,16.4,0.95,0.07,6,0.05,159,0.01,5.5,865,0.07,9.3,0.005,16,29,1.6,ICM12B
555112,A,226421,334905,0.13,7,0.05,0.7,0.18,0.92,42.3,7,1.14,5.3,0.2,0.3,0.17,0.02,21.1,0.16,1.16,0.51,31.3,0.25,0.05,10.3,0.31,5.8,2,1.2,0.025,0.67,0.025,3.6,0.24,5.34,0.2,15.8,1.3,2.13,5,169,0.47,31,26.3,2.75,0.13,22,0.21,512,0.02,29.9,1700,0.26,48.8,0.005,43,54,4.2,ICM12B
555113,A,209697,339555,0.08,7.9,0.05,0.3,0.12,0.92,23.2,6.8,1.04,3.1,0.05,0.26,0.09,0.01,10.5,0.12,1.47,0.3,22,0.25,0.05,17.5,0.33,3.1,0.5,0.8,0.025,0.34,0.025,2.9,0.2,1.1,0.05,11.2,1,1.21,5,41,0.25,19,17.5,2.01,0.13,11,0.1,779,0.01,23.2,1550,0.1,8.1,0.005,33,71,3.8,ICM12B
555114,A,229437,323732,0.05,5.4,0.05,0.1,0.09,0.41,16,4.1,1.04,3.1,0.05,0.16,0.07,0.01,7,0.04,0.46,0.21,16.4,0.25,0.05,6.1,0.21,2.3,0.5,0.8,0.025,0.18,0.025,2,0.17,1.11,0.05,4.28,0.4,1.08,5,51,0.4,14,11.5,1.34,0.07,10,0.08,147,0.01,12.9,756,0.1,21.1,0.005,20,37,2.5,ICM12B
555115,A,220735,330222,0.11,11.4,0.05,0.5,0.18,1.05,40.7,6.6,1.47,5.3,0.2,0.28,0.15,0.03,16.3,0.14,2.01,0.38,30.6,0.25,0.05,16,0.26,7.6,2,1.6,0.025,0.62,0.025,4.4,0.31,2.12,0.05,12.7,1.1,2.13,5,137,0.58,30,31.8,2.27,0.15,19,0.14,210,0.02,21.8,1300,0.19,61.3,0.005,48,69,4.3,ICM12B
555116,A,230566,326564,0.08,12.4,0.05,0.7,0.18,0.81,38.9,11.3,1.05,4.3,0.2,0.39,0.08,0.01,15.9,0.18,1.46,0.23,33.6,0.25,0.05,15.8,0.27,7.7,1,1.6,0.025,0.63,0.025,5.2,0.21,1.69,0.05,14.8,1.5,1.67,5,88,0.59,30,21.4,4.02,0.15,17,0.14,970,0.01,37.3,1320,0.1,40.5,0.005,38,113,6.4,ICM12B
555117,A,226796,322568,0.06,4.2,0.05,0.1,0.09,0.21,14.7,3.9,1.37,3,0.05,0.13,0.07,0.01,6.8,0.03,0.54,0.19,21.4,0.25,0.05,7.8,0.17,1.6,0.5,0.8,0.025,0.14,0.025,1.8,0.17,1.19,0.05,3.04,0.3,0.95,5,49,0.32,12,18.3,1.04,0.1,10,0.07,229,0.01,8,931,0.09,8.6,0.005,21,24,2.1,ICM12B
555118,A,226739,328261,0.05,4,0.05,0.05,0.08,0.18,16.8,6,0.96,2.9,0.05,0.12,0.04,0.01,7,0.03,0.52,0.19,17.1,0.25,0.05,10.2,0.12,1.6,0.5,0.5,0.025,0.15,0.025,2.5,0.11,0.81,0.05,2.65,0.3,1.01,5,53,0.17,12,5,1.86,0.11,14,0.1,412,0.005,11.4,464,0.06,14.9,0.005,20,36,2.4,ICM12B
555119,A,229246,339510,0.14,10.7,0.05,0.4,0.28,0.66,37.9,10.8,1.19,5,0.1,0.23,0.17,0.01,18.3,0.11,0.67,0.74,63.8,0.25,0.05,13.1,0.29,3.8,1,5.1,0.025,0.46,0.025,3.7,0.2,1.21,0.05,10.4,0.9,1.68,5,374,0.47,54,23.5,2.72,0.13,22,0.44,788,0.01,31.7,1280,0.18,17.1,0.005,33,105,3.6,ICM12B
555120,A,228647,328453,0.06,8.6,0.05,0.3,0.13,0.33,18.5,3.9,1.42,3.5,0.05,0.15,0.07,0.01,7.8,0.05,1.16,0.22,38,0.25,0.05,18.5,0.17,2.9,0.5,1.2,0.025,0.22,0.025,3.1,0.19,1.12,0.05,4.73,0.4,1.22,5,50,0.25,17,8,2.13,0.12,11,0.08,85,0.01,11.7,739,0.09,20.1,0.005,34,42,2.8,ICM12B
555121,A,228454,326517,0.09,16.6,0.05,0.5,0.17,1.22,35.5,8.5,1.29,3.6,0.2,0.39,0.16,0.01,17.1,0.16,1.06,0.34,51.4,0.25,0.05,8.7,0.52,5.6,3,4.3,0.025,0.58,0.025,3.2,0.18,1.95,0.05,14.9,1.3,1.47,10,176,1.97,19,115.5,3.08,0.09,9,0.11,539,0.01,35.1,1420,0.29,166.4,0.005,27,69,5.4,ICM12B
555122,A,210648,338452,0.06,9.5,0.05,0.4,0.14,0.51,24,9.9,1.17,3.2,0.05,0.18,0.07,0.01,7.2,0.06,2.56,0.24,20.6,0.25,0.05,18.8,0.33,4.1,0.5,1,0.025,0.22,0.025,3.9,0.19,1.08,0.05,5.01,0.5,1.34,5,35,0.15,19,18.4,3.2,0.12,15,0.16,771,0.01,26.9,900,0.08,15.7,0.005,26,73,3.3,ICM12B
555123,A,230561,324515,0.06,7.1,0.05,0.2,0.11,0.31,16.3,5.4,1.56,3.7,0.05,0.18,0.05,0.01,7.1,0.04,0.72,0.21,19.7,0.25,0.05,14.1,0.15,2.7,0.5,0.9,0.025,0.17,0.025,3.1,0.18,1.07,0.05,3.66,0.3,1.37,5,54,0.33,19,6.1,1.94,0.1,13,0.1,184,0.01,13.7,640,0.07,14.3,0.005,28,53,3.2,ICM12B
555124,A,229710,325507,0.09,8.7,0.05,0.4,0.22,1.03,35.4,7.1,1.61,4.6,0.1,0.37,0.18,0.01,15,0.12,1.68,0.32,25.2,0.25,0.05,16.5,0.38,5.7,2,1.7,0.025,0.48,0.025,3.9,0.22,2.77,0.05,10.7,0.9,1.63,5,113,1.3,22,120.2,1.83,0.11,10,0.11,337,0.02,25.5,1650,0.31,76.3,0.005,30,70,4.9,ICM12B
555125,A,227277,325492,0.05,6.9,0.05,0.1,0.12,0.29,14.1,15.4,1.14,3.1,0.05,0.18,0.06,0.01,6.1,0.04,0.91,0.22,30.5,0.25,0.05,8.3,0.2,2,0.5,0.8,0.025,0.16,0.025,2.6,0.13,1.07,0.05,3.88,0.4,1.01,5,57,0.33,15,17.5,3.16,0.1,11,0.08,1150,0.005,14.8,1300,0.07,13.3,0.005,36,54,3.1,ICM12B
555126,A,217626,339742,0.07,8.3,0.05,0.2,0.13,0.86,24.4,7.3,0.69,2.2,0.1,0.27,0.17,0.01,11.4,0.13,1.42,0.27,30.6,0.25,0.05,7.6,0.36,3.8,2,2.4,0.025,0.44,0.025,2.6,0.12,1.99,0.05,11.5,1,1,5,117,3.26,15,35.8,2.18,0.11,8,0.18,515,0.01,25,2500,0.32,129.4,0.005,18,72,3.7,ICM12B
555127,A,207739,339820,0.05,6.2,0.05,0.2,0.1,0.38,17.7,7.9,0.89,2.5,0.05,0.21,0.05,0.01,6.8,0.05,1.36,0.21,22.3,0.25,0.05,13.5,0.25,2.5,0.5,0.9,0.025,0.17,0.025,3.5,0.14,0.79,0.05,3.91,0.4,1.03,5,41,0.24,14,15.4,2.04,0.13,10,0.1,592,0.01,17.9,586,0.06,9.2,0.005,20,45,4,ICM12B
555128,A,228945,338229,0.09,9,0.05,0.5,0.16,0.62,42.4,13.8,1.21,5.5,0.2,0.39,0.09,0.01,19.9,0.16,0.56,0.56,32,0.25,0.05,22.4,0.21,6.2,0.5,1.1,0.025,0.53,0.025,5.5,0.19,1.36,0.05,13.7,1.3,1.94,11,125,0.56,39,22.3,3.01,0.23,25,0.52,527,0.02,46.8,1210,0.1,21.9,0.005,41,95,7.3,ICM12B
555129,A,224633,332310,0.06,5.4,0.05,0.3,0.12,0.64,23.9,5.9,1.58,3.7,0.05,0.21,0.06,0.01,8.9,0.07,0.9,0.21,23.2,0.25,0.05,16.2,0.15,3.6,0.5,1,0.025,0.28,0.025,3.3,0.19,1.59,0.05,6.68,0.6,1.42,5,73,0.32,18,12.4,1.74,0.11,14,0.15,1280,0.01,18,1100,0.09,19.2,0.005,26,68,3.2,ICM12B
555130,A,221457,341316,0.06,4.9,0.05,0.4,0.14,0.26,22.6,6.4,1.92,5.4,0.1,0.25,0.05,0.01,9.8,0.06,0.54,0.35,35.8,0.25,0.05,22.7,0.24,4.2,0.5,1.3,0.025,0.27,0.025,4.5,0.23,1.22,0.05,5.68,0.5,2.04,5,79,0.36,28,20.7,2.32,0.16,24,0.24,101,0.02,19.4,660,0.08,40.6,0.005,33,55,3.6,ICM12B
555131,A,223364,339485,0.07,7.5,0.05,0.4,0.15,0.49,36.6,10.9,1.13,4,0.1,0.33,0.09,0.01,14.4,0.14,1.42,0.32,34.8,0.25,0.05,21.5,0.22,5.3,0.5,1.8,0.025,0.44,0.025,5.2,0.19,1.4,0.05,11.2,1.1,1.67,5,69,0.25,28,19.9,3.11,0.15,16,0.26,720,0.02,30.5,795,0.07,14.9,0.005,30,73,5.8,ICM12B
555132,A,223338,341652,0.08,8.3,0.05,0.6,0.16,0.74,38.5,10.4,0.82,3.7,0.2,0.43,0.09,0.01,19.5,0.19,1.41,0.29,22.3,0.25,0.05,16.8,0.3,6.6,1,1.3,0.025,0.61,0.025,5.1,0.18,1.62,0.05,17.9,1.6,1.48,5,57,2.37,28,31,3.06,0.14,14,0.28,535,0.02,39,1430,0.09,70.9,0.005,29,71,7.3,ICM12B
555133,A,229665,319618,0.17,6.8,0.05,0.6,0.16,1.82,50.4,6.9,1.45,4.6,0.2,0.41,0.19,0.02,21.5,0.24,2.78,0.29,29.6,0.25,0.05,7.6,0.4,7.3,4,1.7,0.025,0.97,0.025,5.1,0.33,17.6,0.05,25.1,2,1.98,5,210,0.52,24,61,2.22,0.1,21,0.1,937,0.01,20.8,1870,0.17,22.7,0.005,35,60,4.9,ICM12B
555135,A,225420,329774,0.14,9.5,0.05,0.5,0.18,1.42,44.2,7.5,1.66,4.6,0.2,0.31,0.17,0.01,18.1,0.13,2.26,0.37,32.8,0.25,0.05,9.1,0.42,5.2,2,1.9,0.025,0.59,0.025,3.8,0.32,2.76,0.05,13,1.1,1.81,5,143,0.49,21,34.8,2.21,0.12,17,0.11,388,0.01,24.7,1840,0.23,38,0.005,38,84,4.2,ICM12B
555136,A,223632,331507,0.07,5.6,0.05,0.2,0.12,0.61,23.8,5.9,1.7,3.7,0.05,0.22,0.08,0.01,9.8,0.07,0.83,0.22,24.1,0.25,0.05,16.5,0.19,3.6,0.5,1,0.025,0.28,0.025,3.4,0.21,1.72,0.05,6.72,0.6,1.42,5,68,0.37,17,9.7,1.55,0.12,14,0.11,318,0.01,18.5,1020,0.1,17.5,0.005,27,55,3.5,ICM12B
555137,A,214465,338533,0.1,12.5,0.05,0.6,0.21,1.79,48.2,8.5,1.23,4.1,0.2,0.39,0.16,0.02,21.7,0.19,1.67,0.41,26.4,0.25,0.05,11.8,0.4,7.1,3,1.8,0.025,0.79,0.025,4.5,0.24,3.97,0.05,17.8,1.6,1.74,5,157,1.34,25,46.5,2.28,0.13,14,0.24,488,0.01,27.3,2540,0.3,58.9,0.005,42,80,5.2,ICM12B
555138,A,224708,328833,0.05,2.7,0.05,0.1,0.09,0.2,17.4,3.2,1.29,3.1,0.05,0.13,0.07,0.01,7.1,0.02,0.41,0.18,19.2,0.25,0.05,9.1,0.13,1.5,0.5,0.9,0.025,0.14,0.025,2,0.13,0.8,0.05,2.64,0.2,1.12,5,59,0.26,11,5.1,0.99,0.09,17,0.09,124,0.02,6.3,486,0.08,20.3,0.005,19,33,2.2,ICM12B
555139,A,228646,324421,0.07,13.7,0.05,0.3,0.11,0.54,20,3,1,2.4,0.1,0.23,0.13,0.01,8.6,0.05,2.55,0.28,23,0.25,0.05,6.2,0.31,2.5,2,4,0.025,0.22,0.025,2,0.13,1.56,0.05,5.01,0.4,0.89,5,354,1.17,11,49,2.42,0.09,7,0.07,336,0.01,13.7,1280,0.31,61.4,0.005,18,46,3.6,ICM12B
555140,A,224335,338208,0.08,7.9,0.05,0.5,0.24,0.8,37.2,9.6,0.97,5.1,0.2,0.39,0.13,0.01,18.8,0.16,0.84,0.44,42,0.25,0.05,28.1,0.32,6,1,2.2,0.025,0.52,0.025,5.5,0.22,1,0.05,14.5,1.3,1.86,11,124,1.05,31,47.3,3.04,0.24,25,0.44,391,0.02,38.9,3570,0.2,35.1,0.005,30,212,5.8,ICM12B
555141,A,230431,328351,0.06,6.7,0.05,0.6,0.12,0.73,34.9,6.1,0.96,3.5,0.1,0.27,0.06,0.01,14.8,0.15,1.63,0.21,19.8,0.25,0.05,22.1,0.21,5.4,0.5,1,0.025,0.54,0.025,4.7,0.18,1.61,0.05,13,1.3,1.37,5,74,0.53,23,17,2.9,0.14,11,0.1,305,0.02,21.4,1140,0.12,65.3,0.005,27,82,5.2,ICM12B
555142,A,226706,324437,0.06,2.7,0.05,0.1,0.09,0.14,10.7,1.1,0.8,2.2,0.05,0.3,0.08,0.01,5.1,0.01,0.44,0.23,12.8,0.25,0.05,5.4,0.14,0.8,0.5,0.8,0.06,0.08,0.025,1.1,0.09,0.57,0.1,1.53,0.1,0.57,5,35,0.11,8,4.8,0.63,0.06,4,0.04,105,0.01,3.6,653,0.08,6,0.005,19,17,1.3,ICM12B
555143,A,231687,327270,0.11,13.9,0.05,0.4,0.26,1.12,25.6,7.7,0.96,2.9,0.1,0.52,0.17,0.01,13.6,0.14,2.6,0.37,34,0.25,0.05,15.5,0.76,4.5,2,2.3,0.08,0.45,0.025,3.6,0.18,3.88,0.05,12.2,1.1,1.2,11,233,2.07,20,146,2.59,0.14,10,0.16,686,0.02,41.1,1710,0.53,165.1,0.005,23,92,6.1,ICM12B
555144,A,227791,327230,0.1,7,0.05,0.4,0.12,0.38,22.8,7.2,1.54,4.4,0.05,0.26,0.09,0.01,10.3,0.07,0.83,0.25,21.9,0.25,0.05,14.2,0.27,4.4,1,9.6,0.025,0.29,0.025,3.7,0.19,1.18,0.05,6.67,0.6,1.52,5,84,1.12,19,14,2.02,0.15,14,0.12,295,0.02,23.4,836,0.09,31.7,0.005,24,43,3.6,ICM12B
555145,A,222478,330931,0.07,6.8,0.05,0.3,0.12,0.41,22.4,6.5,1.83,4.5,0.05,0.2,0.06,0.01,9.4,0.06,1.04,0.25,20.4,0.25,0.05,11.4,0.16,3.8,0.5,1,0.025,0.26,0.025,3.8,0.24,1.86,0.05,5.48,0.5,1.61,5,71,0.36,20,8.1,2.05,0.1,18,0.11,230,0.01,14.1,805,0.08,35.2,0.005,34,50,3.1,ICM12B
555146,A,221210,333193,0.09,7.6,0.05,0.7,0.19,1.1,47.9,9.1,2.17,7,0.2,0.41,0.1,0.03,21.2,0.14,1.42,0.38,24.8,0.25,0.05,19.5,0.23,8.6,2,1.6,0.025,0.65,0.025,6.8,0.35,1.99,0.05,13.8,1.2,2.79,5,154,0.5,33,26,3.02,0.15,20,0.15,240,0.02,27.4,902,0.13,35.1,0.005,43,61,6.2,ICM12B
555148,A,220800,332814,0.05,7,0.05,0.3,0.14,0.42,14.9,5.3,1.34,3.5,0.05,0.21,0.08,0.01,6.7,0.06,0.67,0.27,22.5,0.25,0.05,11.4,0.21,3,0.5,1.1,0.025,0.2,0.025,3.4,0.2,1.39,0.05,5.34,0.5,1.35,5,58,0.38,19,7.6,1.88,0.1,13,0.11,137,0.02,14.3,892,0.09,19.3,0.005,29,44,4.5,ICM12B
555149,A,224687,334312,0.05,8.9,0.05,0.2,0.19,0.58,20.7,5.4,0.78,2.6,0.05,0.31,0.14,0.01,10.8,0.07,0.73,0.35,20.1,0.25,0.05,8.9,0.51,3,2,1.5,0.11,0.25,0.025,2.3,0.14,1.54,0.1,6.25,0.6,1.08,5,76,2.54,15,121.2,1.58,0.08,7,0.43,349,0.02,20.5,1520,0.29,118.7,0.005,19,47,3.4,ICM12B
555150,A,221572,329576,0.07,4,0.05,0.2,0.08,0.43,13.9,2.8,1.17,3.1,0.05,0.13,0.08,0.01,6.4,0.03,0.98,0.28,27.6,0.25,0.05,18.8,0.22,2.2,0.5,1.3,0.025,0.15,0.025,1.8,0.19,1.07,0.05,3.16,0.3,0.99,5,53,0.27,15,11.6,0.96,0.11,9,0.08,151,0.02,9.3,902,0.13,24.2,0.005,29,36,1.9,ICM12B
555151,A,229568,337786,0.06,6.4,0.05,0.3,0.1,0.34,27.3,4.1,1.31,4.7,0.1,0.19,0.05,0.01,12.4,0.07,0.56,0.53,23.3,0.25,0.05,10.7,0.13,3.2,0.5,0.8,0.025,0.29,0.025,3.6,0.19,1.43,0.05,6.52,0.6,1.67,5,81,0.37,27,9.6,1.85,0.1,18,0.21,93,0.02,18.7,745,0.09,16.1,0.005,35,55,2.8,ICM12B
555152,A,230715,322399,0.06,3.8,0.05,0.1,0.07,0.42,14.9,3.9,1.06,2.8,0.05,0.17,0.07,0.01,6.4,0.04,0.41,0.19,13.6,0.25,0.05,11.1,0.17,2.2,0.5,1.6,0.025,0.18,0.025,2.1,0.13,1.31,0.05,4.34,0.4,0.96,5,59,0.41,13,47.2,0.95,0.1,11,0.09,192,0.01,11,1260,0.12,21.5,0.005,17,70,2.4,ICM12B
555153,A,228481,336702,0.11,6.7,0.05,0.7,0.18,0.61,43,8.3,1.67,7.1,0.2,0.61,0.11,0.02,22,0.19,0.65,0.52,25.3,0.25,0.05,17.5,0.19,8.1,2,1.4,0.025,0.68,0.025,6.7,0.28,2.94,0.05,17.8,1.6,2.62,5,164,0.74,38,26.5,2.87,0.17,28,0.33,322,0.02,35.9,970,0.14,41.9,0.005,42,67,8.5,ICM12B
555154,A,220496,340550,0.08,6.5,0.05,0.5,0.16,0.71,40.2,8.8,1.31,5.2,0.1,0.33,0.13,0.01,18.4,0.13,1.37,0.61,41.4,0.25,0.05,14.1,0.98,5.5,1,3.3,0.025,0.51,0.025,4.8,0.22,1.72,0.05,12.1,1.1,2.05,5,158,0.7,28,35.1,2.68,0.12,14,0.21,485,0.02,27.7,1400,0.17,34,0.005,35,73,4.9,ICM12B
555155,A,225208,337728,0.08,11.2,0.05,0.8,0.23,1.23,50.1,11.4,1.79,7.9,0.2,0.67,0.11,0.02,27,0.23,1.5,0.72,22.1,0.25,0.05,24.6,0.31,8.1,3,1.5,0.025,0.74,0.025,7.7,0.39,9.07,0.05,20.3,1.9,2.97,12,167,1.1,44,47.6,3.86,0.25,25,0.44,403,0.02,53.3,1260,0.27,68.9,0.005,46,97,10.1,ICM12B
555156,A,227686,329364,0.08,5.3,0.05,0.1,0.09,0.38,14,2.9,1.15,2.7,0.05,0.17,0.07,0.01,6.6,0.04,0.58,0.22,26.5,0.25,0.05,7.6,0.18,2,0.5,1.1,0.025,0.16,0.025,2.1,0.15,1.41,0.05,3.84,0.3,0.97,5,70,0.45,12,17,1.1,0.08,9,0.08,140,0.01,11.9,974,0.09,17.4,0.005,22,46,2.8,ICM12B
555157,A,222554,332403,0.05,4.2,0.05,0.1,0.1,0.47,7.85,2.5,0.5,1.3,0.05,0.18,0.18,0.01,3.4,0.03,1.29,0.21,24.8,0.25,0.05,6,0.4,1.2,1,1.8,0.14,0.11,0.025,0.8,0.1,0.57,0.05,2.61,0.2,0.49,5,79,1.41,6,137.5,0.97,0.06,3,0.1,155,0.02,9.4,1060,0.38,154.4,0.005,9,38,1.6,ICM12B
555158,A,225523,333565,0.07,5,0.05,0.4,0.1,0.67,29.8,5.4,1.05,3.8,0.1,0.26,0.08,0.01,14.9,0.12,0.85,0.29,29.7,0.25,0.05,17,0.16,4.6,1,1.5,0.025,0.45,0.025,3.3,0.15,1.5,0.05,11.5,0.9,1.54,5,92,0.5,20,15.2,1.76,0.12,18,0.13,439,0.02,21.1,1120,0.13,39.3,0.005,26,50,3.9,ICM12B
555159,A,222361,326680,0.12,6.8,0.05,0.6,0.17,0.87,38.4,6.4,1.19,5.3,0.2,0.35,0.15,0.01,19,0.16,0.95,0.53,65.7,0.25,0.05,12.2,0.3,5.8,2,1.3,0.025,0.62,0.025,4.4,0.24,4.71,0.05,15.3,1.3,2.12,5,196,0.73,29,25.6,2.38,0.14,21,0.25,335,0.01,30.1,1630,0.22,54.3,0.005,41,59,5,ICM12B
555161,A,223600,329619,0.07,7.6,0.05,0.4,0.12,0.75,29.5,7.4,1.22,3.7,0.1,0.19,0.06,0.01,12.2,0.09,2.56,0.24,20.9,0.25,0.05,11.6,0.29,4,0.5,1.2,0.025,0.38,0.025,3.4,0.21,1.73,0.05,8.86,0.8,1.43,5,76,0.3,19,25.9,2.39,0.1,15,0.12,484,0.01,22.9,1410,0.08,31.2,0.005,35,87,3.3,ICM12B
555162,A,207733,343625,0.05,6,0.05,0.05,0.07,0.12,9.65,0.6,0.45,2.3,0.05,0.025,0.1,0.01,4.3,0.005,2.64,0.13,18.5,0.25,0.05,3.3,0.11,0.9,1,0.5,0.025,0.07,0.025,1,0.09,0.87,0.05,1.13,0.05,0.52,5,63,0.16,5,1.9,3.31,0.06,3,0.04,14,0.01,3.6,377,0.13,8.2,0.005,12,6,0.7,ICM12B
555163,A,227591,335687,0.09,9.8,0.05,0.6,0.16,1.14,40.3,7.5,1.49,5.4,0.2,0.48,0.15,0.01,21,0.18,1.62,0.47,26.5,0.25,0.05,11.8,0.32,7.4,3,1.6,0.025,0.68,0.025,4.7,0.27,5.21,0.05,17.7,1.5,2.07,5,168,1.16,29,68.8,2.77,0.1,15,0.15,450,0.02,34.6,1390,0.32,147.7,0.005,38,66,7.7,ICM12B
