Month,Location,Special Event,Avg age (outreach contacts),Programming,Date,Time,Contact type,Number,Notes,Lat,Long,
October,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,26,,40.424197,-80.163275,
November,Harrison Hills Park,,,Nature Journaling,11/1/2015,10:00:00 AM,Participants,0,,40.653058,-79.707376,
November,Deer Lakes Park,,,Guided Hike ,11/7/2015,10:00:00 AM,Participants,0,,40.621298,-79.820963,
November,South Park,,,Creepy Critters,11/7/2015,10:00 AM,Participants,33,,40.319854,-80.008436,
November,North Park,,,Guided Hike ,11/8/2015,10:00 AM,Participants,0,,40.600477,-80.005029,
November,South Park,,,Boy Scout Beaver Program,11/10/2015,,Outreach,14,,40.319854,-80.008436,
November,Boyce Park,,,Round Robin/Trail Clean Up,11/13/2015,8:30 AM,Outreach,90,,40.471959,-79.748357,
November,Boyce Park,,,Guided Hike ,11/15/2015,10:00 AM,Participants,0,,40.471959,-79.748357,
November,Courthouse,Tree Lighting,,Info Table ,11/20/2015,11:00 AM,Event contacts,50,Light Up Night,40.43892,-79.996951,
November,Station Square,Light Up Night,,Info Table ,11/20/2015,4:00 PM,Event contacts,500,Light Up Night,40.433558,-80.004714,
November,North Park,,,Dog Hike,11/22/2015,10:00 AM,Participants,9,,40.600477,-80.005029,
November,North Park,,,Visitor contacts,,,In-park contacts,368,,40.600477,-80.005029,
November,Hartwood Acres,,,Visitor contacts,,,In-park contacts,111,,40.569882,-79.90942,
November,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,57,,40.621298,-79.820963,
November,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,47,,40.653058,-79.707376,
November,Boyce Park,,,Visitor contacts,,,In-park contacts,103,,40.471959,-79.748357,
November,White Oak Park,,,Visitor contacts,,,In-park contacts,3,,40.336148,-79.798397,
November,Round Hill Park,,,Visitor contacts,,,In-park contacts,8,,40.241079,-79.858802,
November,South Park,,,Visitor contacts,,,In-park contacts,90,,40.319854,-80.008436,
November,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,37,,40.424197,-80.163275,
