Site,Site ID,Year,Electricity (kBtu),Natural Gas (kBtu),Steam (kBtu),Total Energy (kBtu),Total Energy Cost ($),Area (SqFt),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water (kGal),Sewer (kGal),Water Cost ($),Sewer Cost ($),Address Line 1,City,State,Zip Code,Zip Code +4,Department,Division/Department detail
Boyce Park Rental,BPRL,2014,0,0,0,0,0,0,,,,,"3,000",0,2,0, Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Rental,BPRL,2013,0,0,0,0,0,0,,,,,"7,041",0,247,0, Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Rental,BPRL,2012,0,0,0,0,0,0,,,,,52,0,341,0, Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Rental,BPRL,2011,0,0,0,0,0,0,,,,,54,0,295,0, Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Rental,BPRL,2010,0,0,0,0,0,0,,,,,56,0,384,0, Old Frankstown Rd,,PA,,,Parks,Boyce Park
Boyce Park Res 3-1,BPR31,2014,0,0,0,0,0,"1,194",0.00,0.00,0.00,0.00,0,0,14,0,790 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-1,BPR31,2013,"31,528",0,0,"31,528","1,430","1,194",26.41,82.91,26.41,82.86,6,2,185,99,790 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-1,BPR31,2012,"42,993",0,0,"42,993","1,944","1,194",36.01,113.06,35.68,112.35,14,14,438,668,790 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-1,BPR31,2011,"51,919","17,442",0,"69,361","2,475","1,194",58.09,151.88,57.56,150.45,20,20,715,604,790 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-1,BPR31,2010,"21,128","73,872",0,"95,000","2,034","1,194",79.56,120.53,78.83,119.39,19,19,294,364,790 Center Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-6,BPR36,2014,"3,480",0,0,"3,480",99,"1,285",2.71,8.50,2.68,8.45,0,0,0,0,740 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-6,BPR36,2013,"3,037",0,0,"3,037",91,"1,285",2.36,7.42,2.36,7.42,0,0,0,0,740 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-6,BPR36,2012,0,0,0,0,0,"1,285",0.00,0.00,0.00,0.00,0,0,0,0,740 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-6,BPR36,2011,0,0,0,0,0,"1,285",0.00,0.00,0.00,0.00,0,0,0,0,740 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Res 3-6,BPR36,2010,0,0,0,0,0,"1,285",0.00,0.00,0.00,0.00,0,0,0,0,740 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Lodge,BPSL,2014,0,"5,120,766",0,"5,120,766","20,720",0,,,,,"3,310","3,310",30,61,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Lodge,BPSL,2013,0,"3,772,602",0,"3,772,602","13,971",0,,,,,"6,954","6,954",134,275,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Lodge,BPSL,2012,0,"2,534,220",0,"2,534,220","11,083",0,,,,,13,7,229,345,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Lodge,BPSL,2011,0,"2,292,084",0,"2,292,084","15,671",0,,,,,13,13,223,391,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Lodge,BPSL,2010,0,"1,640,574",0,"1,640,574","16,884",0,,,,,29,0,281,515,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Slopes,BPSS,2014,0,"2,257,200",0,"2,257,200","9,369",0,,,,,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Slopes,BPSS,2013,0,"1,900,152",0,"1,900,152","8,051",0,,,,,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Slopes,BPSS,2012,0,"1,528,740",0,"1,528,740","6,963",0,,,,,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Slopes,BPSS,2011,0,"1,013,688",0,"1,013,688","10,141",0,,,,,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Ski Slopes,BPSS,2010,0,"773,604",0,"773,604","7,610",0,,,,,0,0,0,0,675 Old Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Wave Pool,BPWP,2014,"3,517,234",0,0,"3,517,234","107,985",0,,,,,0,0,0,0,675 Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Wave Pool,BPWP,2013,"3,025,886",0,0,"3,025,886","102,877",0,,,,,"1,618",519,"11,404","11,922",675 Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Wave Pool,BPWP,2012,"2,956,278","92,340",0,"3,048,618","103,118",0,,,,,"1,694",258,"10,123","9,066",675 Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Wave Pool,BPWP,2011,"3,382,113",0,0,"3,382,113","104,740",0,,,,,645,663,"10,181","9,515",675 Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Boyce Park Wave Pool,BPWP,2010,"3,287,938",0,0,"3,287,938","112,335",0,,,,,836,111,"5,024","8,799",675 Frankstown Rd,Pittsburgh,PA,15239,,Parks,Boyce Park
Campbell Run Repair Shop,MWCR,2014,"110,280",0,0,"110,280","3,217","15,475",7.13,22.38,7.06,22.23,0,0,0,0,Campbells Run Rd,Pittsburgh,PA,15205,,Public Works,
Campbell Run Repair Shop,MWCR,2013,"124,884",0,0,"124,884","3,417","15,475",8.07,25.34,8.07,25.32,0,0,0,0,Campbells Run Rd,Pittsburgh,PA,15205,,Public Works,
Campbell Run Repair Shop,MWCR,2012,"214,521",0,0,"214,521","4,161","15,475",13.86,43.53,13.73,43.25,0,0,0,0,Campbells Run Rd,Pittsburgh,PA,15205,,Public Works,
Campbell Run Repair Shop,MWCR,2011,"238,167",0,0,"238,167","3,986","15,475",15.39,48.33,15.25,47.87,0,0,0,0,Campbells Run Rd,Pittsburgh,PA,15205,,Public Works,
Campbell Run Repair Shop,MWCR,2010,"101,477",0,0,"101,477","3,173","15,475",6.56,20.59,6.50,20.40,0,0,0,0,Campbells Run Rd,Pittsburgh,PA,15205,,Public Works,
City County Building,CCB,2014,"9,826,100",0,"9,796,770","19,622,870","441,274","391,320",50.15,108.89,49.68,108.20,"10,729","9,876","58,979","53,754",414 Grant St,Pittsburgh,PA,15219,2469,Multiple,"Controller's Office, Court Records, Law Office"
City County Building,CCB,2013,"9,954,857",0,"9,298,872","19,253,729","454,032","391,320",49.20,108.39,49.20,108.33,"10,422","10,422","56,275","48,144",414 Grant St,Pittsburgh,PA,15219,2469,Multiple,"Controller's Office, Court Records, Law Office"
City County Building,CCB,2012,"10,943,187",0,"8,879,778","19,822,965","463,653","391,320",50.66,115.04,50.19,114.31,"26,352","26,352","144,947","113,130",414 Grant St,Pittsburgh,PA,15219,2469,Multiple,"Controller's Office, Court Records, Law Office"
City County Building,CCB,2011,"11,418,767",0,"11,511,354","22,930,121","540,747","391,320",58.60,126.93,58.06,125.73,"31,992","30,770","169,592","126,770",414 Grant St,Pittsburgh,PA,15219,2469,Multiple,"Controller's Office, Court Records, Law Office"
City County Building,CCB,2010,"12,453,806",0,"9,141,264","21,595,070","487,769","391,320",55.19,127.96,54.68,126.76,"20,092","24,009","81,996","102,318",414 Grant St,Pittsburgh,PA,15219,2469,Multiple,"Controller's Office, Court Records, Law Office"
Clack Center/Marine Hospital,CLK,2014,"4,045,010","1,197,342",0,"5,242,352","125,817","90,536",57.90,154.18,57.37,153.20,181,181,"10,456",927,3901 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Clack Center/Marine Hospital,CLK,2013,"4,351,161","929,556",0,"5,280,717","120,599","90,536",58.33,161.69,58.33,161.59,372,278,"10,914","1,318",3901 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Clack Center/Marine Hospital,CLK,2012,"7,192,109","1,199,394",0,"8,391,503","138,808","90,536",92.69,263.35,91.83,261.68,377,377,"10,012","1,698",3901 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Clack Center/Marine Hospital,CLK,2011,"8,533,080","1,400,490",0,"9,933,570","152,844","90,536",109.72,312.19,108.71,309.25,0,0,0,0,3901 Penn Ave,Pittsburgh,PA,15224,,Health Department,
Clack Center/Marine Hospital,CLK,2010,"5,132,029","1,274,292",0,"6,406,321","140,196","90,536",70.76,192.77,70.11,190.96,339,0,"8,446","1,458",3901 Penn Ave,Pittsburgh,PA,15224,,Health Department,
County Office Building,COB,2014,"14,468,156",0,"12,651,624","27,119,780","676,308","216,706",125.15,279.70,123.99,277.92,"5,996","5,781","59,992","30,153",542 Forbes Avenue,Pittsburgh,PA,15219,2946,Multiple,"Administrative Services, Facilities, Human Resources, MWDBE, Parks, Public Works, Public Defender, Real Estate"
County Office Building,COB,2013,"13,610,344",0,"10,461,828","24,072,172","601,565","216,706",111.08,255.14,111.08,254.98,"5,809","5,809","51,777","24,178",542 Forbes Avenue,Pittsburgh,PA,15219,2946,Multiple,"Administrative Services, Facilities, Human Resources, MWDBE, Parks, Public Works, Public Defender, Real Estate"
County Office Building,COB,2012,"15,749,756",0,"10,002,138","25,751,894","642,737","216,706",118.83,283.60,117.74,281.80,"7,346","6,794","69,422","29,839",542 Forbes Avenue,Pittsburgh,PA,15219,2946,Multiple,"Administrative Services, Facilities, Human Resources, MWDBE, Parks, Public Works, Public Defender, Real Estate"
County Office Building,COB,2011,"16,431,501",0,"12,453,420","28,884,921","828,099","216,706",133.29,307.05,132.06,304.16,"13,328","13,328","111,355","53,913",542 Forbes Avenue,Pittsburgh,PA,15219,2946,Multiple,"Administrative Services, Facilities, Human Resources, MWDBE, Parks, Public Works, Public Defender, Real Estate"
County Office Building,COB,2010,"17,231,989",0,"13,524,438","30,756,427","932,513","216,706",141.93,324.58,140.62,321.52,"14,942","18,760","102,118","75,592",542 Forbes Avenue,Pittsburgh,PA,15219,2946,Multiple,"Administrative Services, Facilities, Human Resources, MWDBE, Parks, Public Works, Public Defender, Real Estate"
Courthouse,CCH,2014,"9,532,154",0,"18,321,930","27,854,084","615,179","223,901",124.40,231.88,123.26,230.41,"10,192","10,192","101,204","50,902",439 Grant St,Pittsburgh,PA,15219,2499,Multiple,"Administrative Services, Budget & Finance, Controller's Office, County Council, County Executive, County Manager, Courts, District Attorney's Office, Sheriff's Office, Treasurer's Office"
Courthouse,CCH,2013,"10,322,406",0,"8,832,018","19,154,424","440,951","223,901",85.55,192.10,85.55,191.98,"6,197","6,197","55,362","26,932",439 Grant St,Pittsburgh,PA,15219,2499,Multiple,"Administrative Services, Budget & Finance, Controller's Office, County Council, County Executive, County Manager, Courts, District Attorney's Office, Sheriff's Office, Treasurer's Office"
Courthouse,CCH,2012,"10,211,853",0,"5,917,464","16,129,317","403,519","223,901",72.04,174.93,71.37,173.82,"7,290","6,259","81,652","27,399",439 Grant St,Pittsburgh,PA,15219,2499,Multiple,"Administrative Services, Budget & Finance, Controller's Office, County Council, County Executive, County Manager, Courts, District Attorney's Office, Sheriff's Office, Treasurer's Office"
Courthouse,CCH,2011,"10,109,488",0,"10,066,614","20,176,102","466,376","223,901",90.11,195.73,89.28,193.89,"8,929","8,929","74,893","35,887",439 Grant St,Pittsburgh,PA,15219,2499,Multiple,"Administrative Services, Budget & Finance, Controller's Office, County Council, County Executive, County Manager, Courts, District Attorney's Office, Sheriff's Office, Treasurer's Office"
Courthouse,CCH,2010,"10,224,136",0,"7,953,234","18,177,370","445,052","223,901",81.18,186.01,80.44,184.26,"17,675","20,789","117,363","82,288",439 Grant St,Pittsburgh,PA,15219,2499,Multiple,"Administrative Services, Budget & Finance, Controller's Office, County Council, County Executive, County Manager, Courts, District Attorney's Office, Sheriff's Office, Treasurer's Office"
Deer Lakes Aeration System,DL2,2014,"35,213",0,0,"35,213",880,0,,,,,0,0,0,0,,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Aeration System,DL2,2013,"31,907",0,0,"31,907",770,0,,,,,0,0,0,0,,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Aeration System,DL2,2012,"33,050",0,0,"33,050",909,0,,,,,0,0,0,0,,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Aeration System,DL2,2011,"25,850",0,0,"25,850",710,0,,,,,0,0,0,0,,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Aeration System,DL2,2010,"25,786",0,0,"25,786",824,0,,,,,0,0,0,0,,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Residence 5-2,DL52,2014,0,0,0,0,0,0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Residence 5-2,DL52,2013,0,0,0,0,"3,017",0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Residence 5-2,DL52,2012,"87,654",0,0,"87,654","3,537",0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Residence 5-2,DL52,2011,"154,587",0,0,"154,587","3,655",0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
