FID,OBJECTID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,Shape_Le_1,Bridge_Typ
218,166,DG06,Douglas Run #6,121,4.5,118.603703,Vehicle
219,92,CT18,Catfish Run Bridge #18,113,2.6,20.541886,Vehicle
220,167,DG13,Douglas Run Br #13,122,8,46.083664,Vehicle
221,311,BF07,Thompson's Run No.7,242,65.893758,65.893811,Vehicle
222,168,DG14,Douglas Run Br #14,123,1.4,54.903606,Vehicle
223,93,CT19,Catfish Run Bridge #19,114,2,21.54421,Vehicle
224,169,DG15,Douglas Run Br #15,124,2.6,25.22512,Vehicle
225,312,BF08,Thompson's Run No.8,243,79.462481,79.462501,Vehicle
226,94,BC05,Beck's Run #5,125,22.675346,64.194585,Vehicle
227,170,PR06,Pine Run Br #6,194,3,21.901493,Vehicle
228,95,CT21,Catfish Run Bridge #21,126,3,41.118159,Vehicle
229,313,BG01,Boggs Run #1,8,45.492767,80.052219,Vehicle
230,171,PF07,Piney Fork Creek Br #7,195,10,20.826826,Vehicle
231,96,CT24,Catfish Run Bridge #24,127,4,15.219249,Vehicle
232,314,BH06,Brush Creek #6,52,45.327941,45.327914,Vehicle
233,172,RE01,Reed's Run Br #1,196,5,20.952466,Vehicle
234,97,CT25,Catfish Run Bridge #25,128,3,23.727245,Vehicle
235,315,AL02,Sixth St Br,238,894.810826,894.810789,Vehicle
236,173,DG10,Round Hill Rd Br #10,197,9,62.237636,Vehicle
237,98,DG04,Douglas Run #4,130,5,172.837132,Vehicle
238,316,AL03,Seventh St Br,239,924.908151,924.908145,Vehicle
239,174,DG11,Round Hill Rd Br #11,198,22.021166,22.021126,Vehicle
240,99,DG16,Douglas Run Br #16,131,3,42.374161,Vehicle
241,317,AL04,Ninth St Br,240,897.454193,897.454166,Vehicle
242,100,DG18,Douglas Run Br #18,132,2.6,60.820184,Vehicle
243,175,DG12,Round Hill Rd Br #12,199,3,62.977538,Vehicle
244,318,AL05,Sixteenth St Bridge, ,1872.624307,2019.346172,Vehicle
245,101,CT06,East Dr Br #6,133,24.101797,24.1018,Vehicle
246,176,DG07,Round Hill Rd Br #7,201,5,60.748032,Vehicle
247,319,BH08,Brush Creek #8,56,63.111867,63.111905,Vehicle
248,320,BH07,Brush Creek #7,58,60.432002,60.431997,Vehicle
249,177,PL17,Little Pine Creek Br #17,202,3,18.073166,Vehicle
250,102,CT14,Edgebrook Br #14,134,6,36.730153,Vehicle
251,322,CC02,Windgap Avenue Bridge,73,790.775172,790.775112,Vehicle
252,178,SG01,Spring Garden Run Br #1,203,6,17.748928,Vehicle
253,103,FT07,Fallen Timber Run Br #7,135,2,4.024228,Vehicle
254,179,SG03,Spring Garden Run Br #3,205,7,36.371507,Vehicle
255,323,CC03,Chartiers Creek Br #3,75,310.015316,318.996729,Vehicle
256,104,FH02,Fish Run #2,136,7,16.363172,Vehicle
257,180,SG05,Spring Garden Run Br #5,206,6,19.557607,Vehicle
258,105,PI42,Gatehouse Box Culvert,137,5,38.36093,Vehicle
259,445,LK02,Lake Run Br #2,288,4,27.587246,Vehicle
260,325,OK03,Oakwood Run Br #3,355,385,70.001531,Vehicle
261,106,GI01,Girty's Run Br #1,138,12,43.713973,Vehicle
262,327,CC04,Chestnut Street Bridge #4,75,147.892634,223.737459,Vehicle
263,181,SG06,Spring Garden Run Br #6,207,6,9.7397,Vehicle
264,446,LN01,Lick's Run North Br. #1,153,14,41.663571,Vehicle
265,107,GI17,Girty's Run Br #17,139,5,64.827558,Vehicle
266,328,CC06,Chartiers Creek No. 6,80,146,173.79261,Vehicle
267,182,SQ04,Squaw Run Br #4,208,6,34.11028,Vehicle
268,108,GI22,Girty's Run Br #22,140,2,52.762651,Vehicle
269,183,SQ05,Squaw Run Br #5,209,4,21.521615,Vehicle
270,329,CM01,Campbell's Run #1,180,40,50.268352,Vehicle
271,184,SQ06,Squaw Run Br #6,210,9,23.051886,Vehicle
272,109,GI23,Girty's Run Br #23,141,2,26.445025,Vehicle
273,330,CM08,Campbells Run #8,180,9,69.42961,Vehicle
274,185,SQ08,Squaw Run Br #8,211,3,22.230375,Vehicle
275,110,GI24,Girty's Run Br #24,142,6,66.30666,Vehicle
276,186,SK01,Stillhouse Run Br #1,212,6,26.702383,Vehicle
277,111,GH05,Gourdhead Run Br #5,143,5,25.854444,Vehicle
278,447,LO10,Lowries Run Br #10,289,2,32.852698,Vehicle
279,187,SZ13,Street's Run Br #13,213,9.679906,9.679915,Vehicle
280,112,GS04,Graeser's Run Br #4,144,8,63.024022,Vehicle
281,113,JA05,Jack's Run #5,146,11,42.668705,Vehicle
282,188,HV03,HOMEVILLE CREEK NO. 3,300,24,53.024228,Vehicle
283,189,PF06,PINEY FORK NO. 6,301,35,68.618272,Vehicle
284,114,PL16,Kay St Br #16 (under Saxonbur,147,4,21.635211,Vehicle
285,190,LG03,LONG RUN NO. 3,302,32,65.694877,Vehicle
286,115,SS02,L.Sewickley Crk.S.Br. #2,148,14,20.253527,Vehicle
287,116,SS03,L.Sewickley Crk.S.Br. #3,149,13,20.085021,Vehicle
288,191,LG01,LONG RUN NO. 1,303,32,41.106039,Vehicle
289,448,LO11,Lowries Run Br #11,290,3,34.679448,Vehicle
290,192,HH01,HEATHS RUN NO. 1,304,20,42.68458,Vehicle
291,193,GS02,GRAESERS RUN NO. 2,305,18,28.639797,Vehicle
292,194,MS06,MILLERS RUN NO. 6,306,53,53.031744,Vehicle
293,195,MS05,MILLERS RUN NO. 5,307,57,91.861484,Vehicle
294,449,LO12,Lowries Run Br #12,291,2,27.773633,Vehicle
295,196,HT04,HARTMANS RUN NO. 4,308,310,339.594345,Vehicle
296,197,ML06,MCLAUGHLIN RUN NO.  6,309,35,59.340222,Vehicle
297,198,SZ02,STREETS RUN NO. 2,310,63.704504,63.70448,Vehicle
298,450,LW01,Lewis Run Br #1,291,27,43.342008,Vehicle
299,199,HV06,HOMEVILLE CREEK NO. 6,311,18,30.698617,Vehicle
300,200,GR01,GEORGE'S RUN NO. 1,312,21,44.775407,Vehicle
301,201,TL13,PATTON ST. BRIDGE,313,424,426.358541,Vehicle
302,202,HV08,HOMEVILLE CREEK NO. 8,314,15,24.100643,Vehicle
303,451,MA07TL,Rankin Bridge Talbot Ramp,292,344,358.340376,Vehicle
304,203,HV04,HOMEVILLE CREEK NO. 4,315,33,23.969486,Vehicle
305,204,TL06,TURTLE CREEK BR #6,316,824,921.659088,Vehicle
