Council/Group Name,Financial Item,FY Ending,Value ($000)
Rural,9002_Other assets,2015,$192722
Rural,9002_Other assets,2016,$192273
Rural,9002_Other assets,2017,$192311
Rural,9002_Other assets,2018,$193670
Rural,9002_Other assets,2019,$194948
Rural,9002_Other assets,2020,$197400
Rural,9002_Other assets,2021,$199065
Rural,9002_Other assets,2022,$201669
Rural,9003_Total fixed assets,2013,$9767564
Rural,9003_Total fixed assets,2014,$10125280
Rural,9003_Total fixed assets,2015,$10458960
Rural,9003_Total fixed assets,2016,$10717684
Rural,9003_Total fixed assets,2017,$11107989
Rural,9003_Total fixed assets,2018,$11502157
Rural,9003_Total fixed assets,2019,$11747530
Rural,9003_Total fixed assets,2020,$12183355
Rural,9003_Total fixed assets,2021,$12576498
Rural,9003_Total fixed assets,2022,$12878096
Rural,9004_Cash & financial investments/monetary assets,2013,$169178
Rural,9004_Cash & financial investments/monetary assets,2014,$178990
Rural,9004_Cash & financial investments/monetary assets,2015,$192255
Rural,9004_Cash & financial investments/monetary assets,2016,$206814
Rural,9004_Cash & financial investments/monetary assets,2017,$219867
Rural,9004_Cash & financial investments/monetary assets,2018,$243209
Rural,9004_Cash & financial investments/monetary assets,2019,$264616
Rural,9004_Cash & financial investments/monetary assets,2020,$290138
Rural,9004_Cash & financial investments/monetary assets,2021,$314747
Rural,9004_Cash & financial investments/monetary assets,2022,$339757
Rural,9005_Total assets (H),2013,$10165168
Rural,9005_Total assets (H),2014,$10532502
Rural,9005_Total assets (H),2015,$10878618
Rural,9005_Total assets (H),2016,$11150828
Rural,9005_Total assets (H),2017,$11555836
Rural,9005_Total assets (H),2018,$11974024
Rural,9005_Total assets (H),2019,$12244690
Rural,9005_Total assets (H),2020,$12707806
Rural,9005_Total assets (H),2021,$13126540
Rural,9005_Total assets (H),2022,$13455076
Rural,9006_Borrowing (total debt),2013,$409263
Rural,9006_Borrowing (total debt),2014,$434655
Rural,9006_Borrowing (total debt),2015,$452780
Rural,9006_Borrowing (total debt),2016,$461806
Rural,9006_Borrowing (total debt),2017,$465543
Rural,9006_Borrowing (total debt),2018,$467125
Rural,9006_Borrowing (total debt),2019,$456431
Rural,9006_Borrowing (total debt),2020,$433458
Rural,9006_Borrowing (total debt),2021,$415217
Rural,9006_Borrowing (total debt),2022,$399528
Rural,9007_Other liabilities,2013,$117956
Rural,9007_Other liabilities,2014,$119028
Rural,9007_Other liabilities,2015,$119060
Rural,9007_Other liabilities,2016,$119277
Rural,9007_Other liabilities,2017,$121193
Rural,9007_Other liabilities,2018,$123026
Rural,9007_Other liabilities,2019,$124986
Rural,9007_Other liabilities,2020,$127266
Rural,9007_Other liabilities,2021,$130032
Rural,9007_Other liabilities,2022,$131900
Rural,9008_Total liabilities (I),2013,$527218
Rural,9008_Total liabilities (I),2014,$553681
Rural,9008_Total liabilities (I),2015,$571840
Rural,9008_Total liabilities (I),2016,$581081
Rural,9008_Total liabilities (I),2017,$586738
Rural,9008_Total liabilities (I),2018,$590152
Rural,9008_Total liabilities (I),2019,$581416
Rural,9008_Total liabilities (I),2020,$560725
Rural,9008_Total liabilities (I),2021,$545250
Rural,9008_Total liabilities (I),2022,$531428
Rural,9009_Public equity (H-I),2013,$9637948
Rural,9009_Public equity (H-I),2014,$9978821
Rural,9009_Public equity (H-I),2015,$10306776
Rural,9009_Public equity (H-I),2016,$10569745
Rural,9009_Public equity (H-I),2017,$10969097
Rural,9009_Public equity (H-I),2018,$11383873
Rural,9009_Public equity (H-I),2019,$11663273
Rural,9009_Public equity (H-I),2020,$12147080
Rural,9009_Public equity (H-I),2021,$12581289
Rural,9009_Public equity (H-I),2022,$12923647
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2013,$670163
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2014,$674727
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2015,$679382
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2016,$684055
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2017,$688839
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2018,$693591
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2019,$698485
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2020,$703526
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2021,$708718
Auckland (Group),"9001_Investment in CCOs, CCTOs & other entities",2022,$714066
Auckland (Group),9002_Other assets,2013,$1085983
Auckland (Group),9002_Other assets,2014,$1122659
Auckland (Group),9002_Other assets,2015,$1169854
Auckland (Group),9002_Other assets,2016,$1255234
Auckland (Group),9002_Other assets,2017,$1279684
Auckland (Group),9002_Other assets,2018,$1326398
Auckland (Group),9002_Other assets,2019,$1357602
Auckland (Group),9002_Other assets,2020,$1398707
Auckland (Group),9002_Other assets,2021,$1434619
Auckland (Group),9002_Other assets,2022,$1466838
Auckland (Group),9003_Total fixed assets,2013,$35618400
Auckland (Group),9003_Total fixed assets,2014,$37218369
Auckland (Group),9003_Total fixed assets,2015,$39461403
Auckland (Group),9003_Total fixed assets,2016,$41240478
Auckland (Group),9003_Total fixed assets,2017,$43971942
Auckland (Group),9003_Total fixed assets,2018,$45958859
Auckland (Group),9003_Total fixed assets,2019,$48593652
Auckland (Group),9003_Total fixed assets,2020,$51072846
Auckland (Group),9003_Total fixed assets,2021,$53714851
Auckland (Group),9003_Total fixed assets,2022,$55570960
