"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065A0048_03 - DONAGHADEE RD42: WYNNDEL PK TO KERR'S RD -  ARDS","ARDS","Surface Type",2606,2606,352184,377158
"7065U0324_41 - CANNYREAGH RD1: HOGSTOWN RD U112 TO NORTH FIELD RD -  ARDS","ARDS","Surface Type",2253,2253,358648,379614
"7065U9011_03 - EAST ST2: NORTH ST TO ROUNDABOUT -  ARDS","ARDS","Surface Type",206,206,349192,374217
"7065U9014_01 - PENRHYN GDS1: CHESTERBROOK CRE TO END -  ARDS","ARDS","Surface Type",0,0,350135,374596
"7065A0022_16 - KILLINCHY RD 42: QUARRY RD C267 TO DRUMHIRK RD C268 -  ARDS","ARDS","Surface Type",2266,2266,347229,366529
"7065U0119_41 - CARDY RD1: CARDY RD E C256 TO CARROWDORE RD C255 -  ARDS","ARDS","Surface Type",1930,1930,358392,368603
"7065U0161_41 - MOUNTAIN RD1: CRAWFORDSBURN RD C251 TO WHITEWAYS -  ARDS","ARDS","?",5,5,347866,376589
"7065B0172_03 - MOVILLA RD3: LOUGHRIES RD U154 TO KILLAUGHEY RD C253 -  ARDS","ARDS","Footway Type",1622,1622,354386,375826
"7065U0319_41 - ABBACY RD1: DEERPARK RD A20 TO LOUGH COWEY RD U318 -  ARDS","ARDS","Surface Type",2763,2763,358468,354942
"7065U0013_41 - TUBBER RD1: GLASTRY RD C258 TO SHORE RD A20 -  ARDS","ARDS","Surface Type",1377,1377,360051,363290
"7065U9101_03 - CARNESURE TR1: BALLYGOWAN RD TO OLD BALLYGOWAN RD -  ARDS","ARDS","Surface Type",11,11,345529,368969
"7065U9014_28 - ST COLUMBAS VALE1: ST COLUMBAS DR TO END -  ARDS","ARDS","Surface Type",37,37,350385,374852
"7065U9400_04 - CHURCH RD2: MAIN ST TO CHURCH RD -  ARDS","ARDS","Surface Type",54,54,358195,372478
"7065U9107_08 - CASTLE ST 41: BRIDGE ST A0221 TO CASTLE LN -  ARDS","ARDS","Surface Type",210,210,345726,369327
