"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U6204_06 - DUNWELLAN PK 1ST CDS RHS: DUNWELLAN PK TO END -  DOWN","DOWN","Surface Type",25,25,337610,331731
"7065C0280_02 - QUOILE RD1: OLD BELFAST RD A22 TO STRANGFORD RD A25 -  DOWN","DOWN","Surface Type",583,583,349354,346380
"7065C0280_02 - QUOILE RD1: OLD BELFAST RD A22 TO STRANGFORD RD A25 -  DOWN","DOWN","Surface Type",636,636,349386,346338
"7065U0168_02 - RALEAGH RD1: BALLYNAHINCH RD B7 TO DRUMNACONAGHER RD -  DOWN","DOWN","Surface Type",1142,1142,341363,351591
"7065U0258_01 - BANNAGHAN RD1: ST PATRICK'S RD C281 TO CASTLEWARD RD A25 -  DOWN","DOWN","Surface Type",1359,1359,355146,348153
"7065C0308_02 - CLONVARAGHAN RD1: WOOD RD C324 TO SLIEVENISKY RD U152 -  DOWN","DOWN","Surface Type",227,227,335002,340754
"7065U0174_01 - OLD BELFAST RD5: LISBURN RD B6 TO OUGHLEY RD C296 -  DOWN","DOWN","Surface Type",2502,2502,339020,361391
"7065U0338_01 - ARDIGON RD1: BALLYTRIM RD B7 TO CLEALOUGH RD B6 -  DOWN","DOWN","Surface Type",240,240,349628,352921
"7065U6700_01 - THE WARD1: HIGH ST A2 TO HIGH GREEN -  DOWN","DOWN","Surface Type",23,23,355618,337213
"7065U6960_01 - OAKLANDS:  DARRAGH RD TO END -  DOWN","DOWN","Surface Type",86,86,345067,358191
"7065U1206_01 - MEARNE RD1: ST PATRICKS RD C281 TO PRIVATE BALLYSTOKES -  DOWN","DOWN","Surface Type",17,17,351538,346352
"7065B0175_02 - BALLYLOUGH RD1: CLONVARAGHAN RD C308 TO DRUMNAQUOILE RD C376 -  DOWN","DOWN","Surface Type",2292,2292,336764,341187
"7065A0002_18 - CHAPEL ST1: CHARLES SHIELS INSTITUTE ALMSHOUSES TO FISHERMANS ROW U241 -  DOWN","DOWN","Surface Type",260,260,353682,336152
"7065A0007_01 - BELFAST RD10: STRANGFORD RD A25 TO FINNEBROGUE RD C280 -  DOWN","DOWN","Surface Type",1820,1820,347378,346598
"7065U0251_01 - FLYING HORSE RD1: KILLOUGH RD B176 TO ARDGLASS RD B1 -  DOWN","DOWN","Surface Type",357,357,349354,343300
"7065U0332_03 - TULLYMACNOUS RD1: CLAY RD U331 TO COMBER RD A22 -  DOWN","DOWN","Surface Type",270,270,351823,355254
"7065C0274_04 - DARRAGH RD2: KILLYLEAGH RD B6 TO CARRICKMANNON RD C272 -  DOWN","DOWN","Surface Type",650,650,345204,358662
"7065U6102_10 - KINEDALE PK END RD:  SE TO NW END -  DOWN","DOWN","Surface Type",72,72,335778,352897
"7065B0007_14 - CROSSGAR RD3: DRUMCONNAGHER RD TO BALLYLONE RD C370 -  DOWN","DOWN","Surface Type",842,842,338777,352183
"7065U0206_01 - FLUSH RD1: BALLYLOUGHLIN RD B180 TO OLD RD C377 -  DOWN","DOWN","Surface Type",1069,1069,338816,334339
