Permit No.,Division,Event Date,Address,From,To
DPW1304754,2,7/28/2013,725 N EUCLID AVE,E LIBERTY BLVD,STANTON AVE
DPW1403865,2,7/28/2014,6611 JACKSON ST,HEBERTON ST,CONNECTING ROAD
DPW1304927,6,7/29/2013,0 STRAWBERRY WAY,WM PENN PL,MONTOUR WAY
DPW1404265,2,7/31/2014,7120 KELLY ST,N LANG,NADIR WAY
DPW1304617,4,8/2/2013,93 S 24TH ST,S 24TH ST,S 25TH ST
DPW1404429,3,8/2/2014,603 GETTYSBURG ST,GETTYSBURG ST,HASTINGS ST
DPW1403390,5,8/2/2014,508 GRACE ST,MANN,DEAD END
DPW1402893,2,8/2/2014,7120 KELLY ST,N LANG,NADIR WAY
DPW1404302,3,8/2/2014,1178 WINDERMERE DR,@ RAYMOND ST,
DPW1403498,1,8/2/2014,1240 RESACA PL,ELOISE,N TAYLOR
DPW1304318,5,8/3/2013,508 GRACE ST,MANN,DEAD END
DPW1305011,4,8/3/2013,137 ZARA ST,KNOX,AMANDA
DPW1303622,2,8/3/2013,703 MARYLAND AVE,ELMER ST,ELLWOOD ST
DPW1304575,3,8/3/2013,4537 CHATSWORTH ST,TULLYMET ST,GROVER WAY
DPW1403709,1,8/3/2014,1333 PAGE ST,FULTON ST,MANHATTAN ST
DPW1403558,2,8/3/2014,0 SAMOAN WAY,CHISLETT ST,SAMANTHA WAY
DPW1305049,2,8/4/2013,7302 MOUNT VERNON ST,STERRET STREET,COLLIER STREET
DPW1305019,1,8/4/2013,1240 RESACA PL,ELOISE,N TAYLOR
DPW1304938,1,8/4/2013,1325 PAGE ST,MANCHESTER,
DPW1304338,2,8/4/2013,7241 RACE ST,N HOMEWOOD AVE,IDLEWILD ST
DPW1404519,3,8/5/2014,6444 MONITOR ST,SANDALS WAY,SANDALS WAY
DPW1404107,2,8/5/2014,7324 MONTICELLO ST,STERRETT ST,BRUSHTON AVE
DPW1404469,2,8/5/2014,0 N EVALINE ST,DEARBORN ST,BROAD ST
DPW1404208,2,8/5/2014,232 S PACIFIC AVE,CORAL,FRIENDSHIP AVE
DPW1404477,1,8/5/2014,619 TRIPOLI ST,EAGLE WAY,RETAIL WAY
DPW1402935,1,8/5/2014,0 ARCH ST,ALPINE ST,SAMPSONIA ST
DPW1404546,2,8/5/2014,1596 VILLANOVA RD,CHISLETT STREET,DEAD END
DPW1305307,4,8/6/2013,181 S 17TH ST,EDWARDS WAY,DEAD END
DPW1304798,2,8/6/2013,7324 MONTICELLO ST,sterrett st,brushton ave
DPW1303260,3,8/6/2013,6536 DARLINGTON RD,MOWHATTAN ST,BEACON ST
DPW1304892,2,8/6/2013,232 S PACIFIC AVE,CORAL,FRIENDSHIP AVE
DPW1303424,1,8/6/2013,1226 PALO ALTO ST,SAMPSONIA ST,ALPINE ST
DPW1404674,2,8/7/2014,1105 CHISLETT ST,HAMPTON ST,BRYANT ST
DPW1305092,2,8/8/2013,6327 SHETLAND AVE,windfield,lowell st
DPW1404415,2,8/9/2014,285 45TH ST,45TH ST,WERNEBUDD WAY
DPW1403447,2,8/9/2014,346 SPAHR ST,ALDER ST,COLLEGE AVE
DPW1404577,,8/9/2014,0 CAREY WAY,S 27TH ST,S 28TH ST
DPW1402867,3,8/9/2014,671 BRYN MAWR RD,OSSIPEE ST,LYON ST
DPW1304886,2,8/10/2013,7151 MOUNT VERNON ST,N HOMEWOOD AVE,N LANG ST
DPW1304983,,8/10/2013,0 CAREY WAY,S 27TH ST,S 28TH ST
DPW1304427,2,8/10/2013,4900 HATFIELD ST,HATFIELD,HARRISON
