SAMPLE_NO,Easting,Northing,Au,Pt,Pd
550526,229730,353710,0.5,0.05,0.25
550527,251890,347980,2.0,0.05,0.25
550528,239380,355800,0.5,0.05,0.25
550530,250410,350880,0.5,0.30,0.25
550531,232430,361080,0.5,0.20,0.25
550532,233900,350490,0.5,0.05,0.25
550533,256270,347640,9.0,51.50,50.60
550534,228220,352740,1.0,0.10,0.25
550535,235860,354850,0.5,0.30,0.25
550536,234520,355290,15.0,27.60,18.80
550537,257610,349010,4.0,0.40,0.25
550538,229800,361570,2.0,0.40,0.25
550539,233670,365730,38.0,0.80,1.40
550540,257640,349600,3.0,0.30,0.25
550541,230700,360130,2.0,0.50,0.80
550542,234570,353920,2.0,0.50,0.60
550543,236310,361910,2.0,1.80,1.10
550545,229740,354400,2.0,0.60,0.25
550546,242250,357160,3.0,0.90,0.70
550547,252560,351800,3.0,1.30,0.70
550548,233320,364010,2.0,0.50,0.25
550549,240260,355500,2.0,0.50,0.25
550550,234180,364740,2.0,0.70,0.25
550551,249600,348900,4.0,0.70,1.00
550552,254550,350640,74.0,1.20,5.20
550554,232440,366100,8.0,45.90,21.80
550555,240400,357230,1.0,0.60,0.25
550556,224770,354770,2.0,0.40,0.25
550559,254650,349080,0.5,0.30,0.25
550560,256070,351460,0.5,0.30,0.60
550561,251520,349220,0.5,0.30,0.25
550563,230400,363250,2.0,0.50,0.80
550564,233100,354480,1.0,0.50,1.00
550565,251600,350370,0.5,0.30,0.25
550566,228080,361780,1.0,0.50,1.00
550567,242310,356120,0.5,0.50,0.90
550568,253020,351680,11.0,0.60,0.50
550569,236120,360270,2.0,0.80,1.00
550570,232720,359970,1.0,0.10,0.60
550571,228800,352770,2.0,0.30,0.25
550572,254930,350260,1.0,0.20,0.25
550573,235730,355300,1.0,0.30,0.25
550574,233680,359450,1.0,0.50,1.10
550576,255640,352740,0.5,0.10,0.25
550577,233810,354870,0.5,0.10,0.25
550578,240120,359110,0.5,0.20,0.25
550580,255210,347800,0.5,0.30,0.25
550581,229690,363510,0.5,0.40,0.25
550582,250720,348150,0.5,0.20,0.25
550583,250870,349680,0.5,0.50,0.25
550584,228520,361730,0.5,0.50,0.25
550585,232110,359980,0.5,0.20,0.25
550588,232190,363310,2.0,0.80,0.50
550589,259390,357260,3.0,0.30,0.25
550590,238510,357990,0.5,0.30,0.25
550591,224750,351930,2.0,0.30,0.25
550592,232780,355360,1.0,0.30,0.25
550593,231480,360200,0.5,0.30,0.25
550594,234190,362890,0.5,0.40,0.25
550595,242550,356300,0.5,0.30,0.25
550596,224610,353900,0.5,0.05,0.25
550597,240890,356050,1.0,0.30,0.25
550598,255940,348550,0.5,0.05,0.25
550599,254800,347080,0.5,0.50,0.50
550600,248770,350310,0.5,0.90,0.80
550601,235200,364780,1.0,1.10,1.40
550602,251320,354480,0.5,0.05,0.25
550603,236280,367240,2.0,0.20,0.25
550604,243620,364700,1.0,0.60,1.20
550605,252350,361800,0.5,0.40,0.25
550606,249420,354180,1.0,0.80,0.25
550607,237840,364530,2.0,0.50,1.20
550608,239460,361030,2.0,0.70,0.70
550609,259000,352500,19.0,0.40,0.25
550611,248440,357190,1.0,0.05,0.25
550612,249900,355020,2.0,0.05,0.25
550613,238290,359800,0.5,0.20,0.25
550614,253600,357040,0.5,0.70,0.25
550615,224650,356810,1.0,0.05,0.25
550616,242180,362400,2.0,0.50,0.70
550617,240970,363200,0.5,0.30,0.25
550618,222640,352030,0.5,0.30,0.25
550619,223320,356510,2.0,0.90,1.30
550620,257250,351070,0.5,0.05,0.25
550621,239720,363500,0.5,0.20,0.25
550623,248290,354280,0.5,0.05,0.25
550624,257480,353180,2.0,0.05,0.25
550625,253400,358180,0.5,0.05,0.25
550626,224940,357500,0.5,0.50,0.80
550627,253520,354080,0.5,0.50,0.50
550628,222700,357280,1.0,1.40,0.80
550629,256410,354780,0.5,0.05,0.25
550630,248850,356970,0.5,0.05,0.25
550631,250760,353630,0.5,0.05,0.25
550632,222080,355020,3.0,0.10,0.25
550633,258330,351190,0.5,0.60,1.00
550634,239930,366270,0.5,0.70,0.60
550635,238500,361250,1.0,0.10,0.25
550636,257500,356620,0.5,0.10,0.60
550637,241780,365400,1.0,0.60,1.30
550638,236780,366890,3.0,0.30,0.25
550639,223070,357180,6.0,0.40,0.60
550640,238800,363220,4.0,2.50,4.30
550641,221470,355700,3.0,0.40,0.70
550642,257600,350990,0.5,0.60,0.25
550644,255600,354740,2.0,0.05,0.25
550645,222780,355340,0.5,0.30,0.60
550646,221790,353900,2.0,0.70,0.90
550648,238170,359730,1.0,0.20,0.25
550649,220800,354800,2.0,1.10,1.20
550650,259150,350460,0.5,0.20,0.25
550651,240700,360990,0.5,0.40,0.25
550652,259570,354460,2.0,0.30,0.25
550653,252290,353620,0.5,0.10,0.25
550654,221840,357370,0.5,0.30,0.25
550655,254390,357050,0.5,0.20,0.25
550656,224930,356290,2.0,0.60,0.80
550657,237500,358360,3.0,1.90,2.30
550658,257100,351800,0.5,0.20,0.25
550659,257420,355500,5.0,0.30,0.25
550660,252620,359720,16.0,0.40,1.00
550661,237760,360010,1.0,0.20,0.25
550662,221390,357000,1.0,0.60,1.20
550663,250980,354410,0.5,0.10,0.25
550664,259690,353600,0.5,0.10,0.25
550665,240400,365510,0.5,0.05,0.25
550666,258400,354200,5.0,0.60,1.10
550667,237260,365500,2.0,0.40,0.80
550669,235890,364130,5.0,0.70,1.30
550670,258200,355970,3.0,0.80,1.40
550672,242630,362970,3.0,1.00,2.90
550673,256080,356400,2.0,0.50,0.25
550674,242320,359530,2.0,0.70,1.50
550677,258000,353040,2.0,0.50,0.25
550679,251020,361720,1.0,0.40,0.25
550680,241510,361980,3.0,0.90,1.40
550682,256120,357330,1.0,0.60,0.25
550683,238800,365310,3.0,0.80,1.10
550684,238300,363900,2.0,0.90,0.90
550685,259410,351600,5.0,0.20,0.25
550687,239510,358900,2.0,0.40,0.25
550688,258570,355200,2.0,0.50,0.90
550689,239500,365730,1.0,0.60,0.80
550690,244410,362930,2.0,0.50,0.90
550691,238000,366660,5.0,0.50,0.25
550692,250660,355080,213.0,0.10,0.25
550693,237950,363200,3.0,0.30,0.25
550694,227630,355880,2.0,0.80,1.70
550695,239710,364760,0.5,0.20,0.25
550696,253380,359870,1.0,0.30,0.25
550697,242180,361050,1.0,0.40,0.80
550698,225600,355690,1.0,0.30,0.25
550699,235900,365890,2.0,0.40,0.90
550700,255210,358770,0.5,0.20,0.25
550701,213700,369160,1.0,0.80,1.40
550703,247020,355810,2.0,0.05,0.25
550704,215600,367780,3.0,0.05,0.25
550705,228070,369820,3.0,1.70,2.10
550706,202730,362100,0.5,0.05,0.25
550707,250880,363150,0.5,0.30,0.25
550708,249170,362490,0.5,0.05,0.25
550710,250820,364700,2.0,0.50,0.25
550711,212140,365640,1.0,0.60,0.25
550712,203540,362390,0.5,0.05,0.25
550713,200120,364100,0.5,1.60,2.70
550714,213100,368430,1.0,0.30,0.25
550715,250330,363360,3.0,2.20,2.10
550716,231450,368370,4.0,0.80,0.80
550718,245830,356090,0.5,0.60,0.25
550719,230500,369350,0.5,0.50,0.50
550720,248730,358780,12.0,1.90,2.00
550721,248900,361200,1.0,0.30,0.25
550722,245900,357870,1.0,0.40,0.80
550723,249880,356170,0.5,0.20,0.25
550724,243120,358210,0.5,0.20,0.25
550725,231770,368400,0.5,0.50,0.25
550726,232360,367570,1.0,0.50,0.25
550727,199460,361650,0.5,0.90,0.70
550728,247930,360350,0.5,0.30,0.25
550729,252870,355040,2.0,0.40,0.25
550730,201900,364930,0.5,0.70,0.25
550731,230500,369100,0.5,0.40,0.25
