OBJECTID_1,DISTRICT,WARD,MUNICODE,YRAPPROV,MWD_NOPAD,PSEUDONUM,OPA_MUNI,OBJECTID,LABEL,Shape_Leng
1315,2,4,0,2014, , ,0,14,"Ward 4, District 2",17968.949422
1316,2,5,0,2014, , ,0,15,"Ward 5, District 2",16669.711546
1317,3,4,0,2014, , ,0,16,"Ward 4, District 3",20038.184449
1318,1,5,0,2014, , ,0,17,"Ward 5, District 1",25581.876829
1319,3,5,0,2014, , ,0,18,"Ward 5, District 3",14333.735078
1320,8,4,194,1990,19406,1034,938,0, ,0
1321,5,3,194,1990,19404,1032,938,0, ,0
1322,6,3,194,1990,19406,1034,938,0, ,0
1323,4,2,194,1990,19403,1031,938,0, ,0
1332,,,,,,,,,,
1335,,,,,,,,,,
1346,,,,,,,,,,
1355,,,,,,,,,,
1359,1,3,884,2014, , ,0,0, ,0
1366,,,,,,,,,,
1369,,,,,,,,,,
1,1,1,194,1990,19401,1029,938,0, ,0
2,3,2,194,1990,19403,1031,938,0, ,0
3,1,0,219,1992,21901,1231,952,0, ,0
4,2,0,219,1992,21902,1232,952,0, ,0
5,8,0,219,1992,21908,1238,952,0, ,0
6,1,0,140,0,14001,0201,909,0, ,0
7,2,0,140,0,14002,0202,909,0, ,0
8,1,3,152,1993,15231,0264,916,0, ,0
9,5,0,219,1992,21905,1235,952,0, ,0
10,2,4,152,1993,15242,0267,916,0, ,0
11,1,0,115,0,11501,0078,809,0, ,0
12,1,0,146,1990,14601,0231,913,0, ,0
13,2,5,152,1993,15252,0269,916,0, ,0
14,2,1,194,1990,19408,1036,938,0, ,0
15,7,4,194,1990,19406,1034,938,0, ,0
16,1,4,152,1993,15241,0266,916,0, ,0
17,2,3,152,1993,15232,0265,916,0, ,0
18,2,1,152,1993,15212,0260,916,0, ,0
19,7,0,219,1992,21907,1237,952,0, ,0
20,3,1,152,1993,15213,0261,916,0, ,0
21,6,0,219,1992,21906,1236,952,0, ,0
22,4,0,219,1992,21904,1234,952,0, ,0
23,1,5,152,1993,15251,0268,916,0, ,0
24,3,0,219,1992,21903,1233,952,0, ,0
25,2,2,152,1993,15222,0263,916,0, ,0
26,1,1,152,1993,15211,0259,916,0, ,0
27,11,0,150,1992,150011,0253,914,0, ,0
28,9,0,150,1992,15009,0251,914,0, ,0
29,3,0,150,1992,15003,0245,914,0, ,0
30,1,2,166,1993,16621,0317,927,0, ,0
31,1,0,106,0,10601,0031,883,0, ,0
32,2,3,211,1990,21132,1197,855,0, ,0
33,0,2,112,0,11220,0071,807,0, ,0
34,1,2,152,1993,15221,0262,916,0, ,0
35,2,2,166,1993,16622,0318,927,0, ,0
36,5,0,165,2005,16505,0312,923,0, ,0
37,1,0,165,2005,16501,0308,923,0, ,0
38,3,2,166,1993,16623,0319,927,0, ,0
39,0,3,112,0,11230,0072,807,0, ,0
40,2,0,150,1992,15002,0244,914,0, ,0
41,2,1,211,1990,21112,1194,855,0, ,0
