FID,WARD93_ID,NAME,SHAPE_AREA
391,208,DONAGHADEE NORTH,30.018561
392,2411,CRAIGAVAD,74.917077
393,1211,DRUMGASK,2885204.0702
394,1401,ALTMORE,60571918.6934
395,1518,LISNASKEA,5588243.11791
396,1308,DERRYBOY,75107656.1229
397,1804,BLARIS,8919868.13954
398,1612,HARBOUR,3052565.54664
399,1830,BALLINDERRY,57697601.2054
400,418,KELLS,21798294.3125
401,2313,DOAGH,27138205.8776
402,2113,KINBANE,38333278.7852
403,2009,MAGHERA,1899602.63341
404,1601,ANTIVILLE,552327.608078
405,1711,MAGILLIGAN,78708379.0761
406,2111,GLENSHESK,120689677.093
407,705,BALLYNAFEIGH,671359.051472
408,1501,BALLINAMALLARD,44566317.2521
409,1422,MULLAGHMORE,4017728.79471
410,1114,STEWARTSTOWN,43017085.3416
411,322,THE MALL,1049032.09987
412,510,KILLOQUIN UPPER,24123725.7364
413,2308,BURNTHILL,469250.593047
414,2103,BONAMARGY AND RATHLIN,2310705.97021
415,2515,LISANELLY,1842168.19995
416,208,DONAGHADEE NORTH,81777.637738
417,1418,KILLYMAN,35214837.669
418,1817,LAGAN VALLEY,1058851.86426
419,801,BLACKHEAD,2369644.78067
420,1325,BALLYMOTE,3595345.40839
421,2401,BALLYHOLME,779254.823717
422,2318,HIGHTOWN,535098.12155
423,2510,FAIRY WATER,94311492.3837
424,2615,WEST,1280552.6844
425,712,BOTANIC,1304284.76002
426,2006,KNOCKCLOGHRIM,41324186.9425
427,2224,SEAVIEW,1271930.3178
428,2507,DRUMNAKILLY,73351408.0981
429,1304,BALLYNAHINCH EAST,2082118.49589
430,1320,SEAFORDE,73252406.1562
431,720,DUNCAIRN,9244616.76814
432,514,SEACON,18838112.1238
433,601,BALLYDOWN,7950278.61378
434,116,STILES,534349.199828
435,208,DONAGHADEE NORTH,1253115.77656
436,813,VICTORIA,1101101.72328
437,1707,FEENY,94586728.8962
438,1502,BELCOO AND GARRISON,202301874.117
439,2222,DONAGHMORE,65724071.7855
440,1710,GRESTEEL,19611251.4296
441,1314,KILLOUGH,58625332.7496
442,1936,SPRINGTOWN,1106189.48576
443,2211,DERRYMORE,7305083.36746
444,619,RATHFRILAND,6119518.22709
445,915,LOWER BRANIEL,891348.904204
446,226,LISBANE,42328551.9729
447,2219,LISNACREE,79440321.3228
448,2411,CRAIGAVAD,153.474904
449,313,KILLYLEA,63966484.5865
450,1024,DUNDOOAN,47639110.001
451,412,FAIR GREEN,642077.405232
452,2413,CULTRA,6447733.68577
453,1916,EGLINTON,29177433.6405
454,223,CARROWDORE,62833978.6603
455,2605,EAST,888716.971374
456,2412,CRAWFORDSBURN,33.211862
457,209,DONAGHADEE SOUTH,1882217.4192
458,2411,CRAIGAVAD,34.314125
459,410,DUNCLUG,706070.217261
460,2110,GLENDUN,89272430.6021
461,108,FOUNTAIN HILL,947260.335178
462,1301,ARDGLASS,34799796.3473
463,1824,OLD WARREN,750824.178311
464,415,GLENWHIRRY,115798658.394
465,1213,EDENDERRY,1714724.25797
466,1202,ANNAGH,9443718.5971
467,2501,BERAGH,60990108.1313
468,753,MUSGRAVE,1778377.91817
469,1705,DUNGIVEN,2282549.99725
470,1822,MAZE,15670563.9325
471,1009,GARVAGH,53298292.5568
472,1802,BALLYMACBRENNAN,69608137.1617
473,1406,BENBURB,41115460.4323
474,746,UPPER SPRINGFIELD,2502599.89863
475,2227,ST MARY'S,1986266.43581
476,1208,CORCRAIN,1080563.74418
477,503,CARNANY,891275.510453
478,1303,BALLYMAGLAVE,5172563.73083
479,610,GILFORD,15477892.9539
480,912,HILLFOOT,1525976.71388
481,425,ACADEMY,2210252.28485
482,315,LOUGHGALL,32642611.5016
483,2324,VALLEY,1972967.90015
484,1309,DONARD,25.804329
485,1812,HILDEN,1078514.87104
486,208,DONAGHADEE NORTH,13903.975743
487,1616,CENTRAL,1012832.31924
488,814,WHITEHEAD,6453951.66115
489,710,BLACKSTAFF,1924942.48095
490,717,CLIFTONVILLE,1182558.69841
491,1206,BROWNSTOWN,7353865.84833
492,1112,POMEROY,39063511.0487
493,1309,DONARD,10012341.8973
494,1504,"BOHO, CLEENISH and LETTERBREEN",139979712.521
495,2102,BALLYLOUGH,12495477.5574
496,2317,HAWTHORNE,744138.684168
497,1414,DONAGHMORE,27651107.8314
498,1806,DERRYAGHY,5191027.75247
499,615,SEAPATRICK,3907235.5285
500,1419,KILLYMEAL,6084579.41041
501,1506,CASTLECOOLE,6837418.90434
502,402,ARDEEVIN,3434807.55854
503,2416,HARBOUR,712220.505074
504,114,SPRINGFARM,4336545.35488
505,306,DEMESNE,3404589.64571
506,515,STRANOCUM,40103202.0803
507,1911,CREGGAN CENTRAL,940564.436818
508,502,BENVARDIN,36040339.635
509,2202,BALLYBOT,1385237.19306
510,2002,BELLAGHY,28184013.0619
511,606,DROMORE SOUTH,12108153.7717
512,208,DONAGHADEE NORTH,11625.839447
513,1934,HOLLY MOUNT,52506280.1881
514,2225,SILVER BRIDGE,56830984.5741
515,725,GLEN ROAD,1574304.65315
516,1832,POLEGLASS,755818.242787
517,1411,COALISLAND SOUTH,4105733.03172
518,2305,BALLYHENRY,878125.617464
519,749,WINDSOR,918564.454489
520,2109,GLENARIFF,53024453.2963
521,732,LEGONIEL,8823305.61409
522,1510,DONAGH,109052190.945
523,2226,SPELGA,78676689.6605
524,751,WOODVALE,572061.270657
525,2230,WINDSOR HILL,1562076.15329
526,2213,DRUMALANE,2051934.91679
527,2210,DAISY HILL,1524861.16583
528,618,GRANSHA,51537735.4179
529,807,KILLYCROT,1080402.28928
530,711,BLOOMFIELD,742256.962455
531,2518,SIXMILECROSS,78615054.8817
532,924,CARRYDUFF EAST,4067975.22293
533,104,CLADY,80184846.4322
534,729,ISLAND,3809484.83914
535,1813,HILLHALL,6898532.77846
536,1905,BRANDYWELL,662270.144729
537,1928,THE DIAMOND,834550.973827
538,208,DONAGHADEE NORTH,1.004731
539,2309,CARNMONEY,828684.9861
540,607,EDENDERRY,917039.28833
541,1605,CARNCASTLE,406.340565
542,917,MONEYREAGH,36301681.8677
543,1517,LISBELLAW,52292719.1469
544,1101,ARDBOE,61570825.5259
545,709,BELMONT,1787243.59833
546,1908,CLAUDY,82574286.4003
547,1108,MONEYMORE,21972978.2003
548,602,BANBRIDGE WEST,1315166.07088
549,423,SUMMERFIELD,1626770.34926
550,1003,BALLYSALLY,923460.271043
551,422,SLEMISH,135936202.264
552,1821,MAGHERALAVE,1693714.25495
553,1015,PORTSTEWART,789021.513612
554,1204,BALLYORAN,9896567.038
555,504,CLOGH MILLS,24143478.2829
556,224,COMBER EAST,13294676.9304
557,1925,SHANTALLOW WEST,5844919.42353
558,1914,CULMORE,9905427.89057
559,320,RICH HILL,5090970.28453
560,403,BALLEE,1521323.38932
561,1203,BALLYBAY,6506377.39951
562,2403,BALLYMAGEE,793924.393973
563,509,KILLOQUIN LOWER,40077169.6346
564,1907,CAW,1242346.13017
565,307,DERRYNOOSE,69816511.6526
566,613,LOUGHBRICKLAND,42014928.37
567,301,ABBEY PARK,3471196.46181
568,1318,QUOILE,12485126.3366
569,2423,SPRING HILL,1024367.62749
570,218,SCRABO,7744068.50654
571,744,THE MOUNT,746453.314985
572,2214,DRUMGULLION,1506736.61134
573,1102,COAGH,28959434.6117
574,406,BROUGHSHANE,11983818.3356
575,911,GRAHAM'S BRIDGE,923217.570616
576,730,KNOCK,1120476.3246
577,2504,COOLNAGARD,2194289.88531
578,2412,CRAWFORDSBURN,4.869349
579,803,CLIPPERSTOWN,521134.558971
580,204,CENTRAL,2797449.1137
581,1116,TULLAGH,1079922.0394
582,2101,ARMOY,27894355.3116
583,210,GLEN,4637096.21847
584,908,ENLER,521138.867989
585,2421,RATHGAEL,484412.755589
586,1002,ATLANTIC,4544320.2084
587,2422,SILVERSTREAM,556701.571665
588,419,MOAT,440759.52898
589,1932,CREVAGH,26159981.1825
590,1106,KILLYMOON,1898272.56643
591,508,GLEBE,933154.640013
592,1404,BALLYGAWLEY,57098636.6865
593,1113,SANDHOLES,40213236.9745
594,1408,CASTLECAULFIELD,39084174.2748
595,1522,ROSSORRY,5768872.27379
596,1421,MOYGASHEL,6017186.00673
597,802,BONEYBEFORE,565065.155035
598,2314,DUNANNEY,644602.808425
599,411,DUNMINNING,52763814.1074
600,1229,DONAGHCLONEY,33427358.3288
601,1508,DERRYLIN,105632568.637
602,1306,CATHEDRAL,5596226.13363
603,723,FINAGHY,2593621.29888
604,1316,KILMORE,60399103.0017
605,745,UPPER MALONE,4323140.83835
606,1523,TEMPO,90488791.605
607,1021,WATERSIDE,2380740.22531
608,2610,PLUMBRIDGE,205112130.68
609,420,PARK,961979.042322
610,1935,KILFENNAN,825372.691378
611,1001,AGIVEY,67330116.6448
612,1011,KILREA,26372281.1526
613,714,CAVEHILL,3409096.25192
614,1816,KNOCKMORE,4303909.57064
615,1226,WOODVILLE,1396117.11647
616,1809,DUNMURRY,1465563.89093
617,1301,ARDGLASS,38.113126
618,719,CRUMLIN,826704.149272
619,2411,CRAIGAVAD,21.755456
620,2612,SLIEVEKIRK,66081988.2579
621,2103,BONAMARGY AND RATHLIN,14411804.9067
622,2312,COOLE,473276.206537
623,1322,STRANGFORD,79029446.5406
624,1228,DERRYTRASNA,71589905.0005
