Facility,Division,Total Acreage,Maintainable Acreage,Shelter,Rec Center,Senior Center,Pool,Spray Pool,Play Area,Tennis Court with Lights,Tennis Court without NO Lights,Basketball Full Court with Lights,Basketball Full Court without Lights,Basketball half Court with Lights,Basketball Half Court without Lights,Basketball Standards,Multi-Purpose Court,Funnel Ball,Baseball Field with Lights,Baseball Field without lights,Volleball Court,Boccie Court,Hockey Court,Horseshoe,Drinking Fount,Neighborhood,Census Tract,Council Dist,CD Area,Bleachers,Benches,Tables,Grill,Decorative Foutain,Flag Pole,Grandstand,Control Link for Basketball Courts,Control Link for Tennis Court,Control Linkl for Hockey Court,Dek Hockey Court,Dog Park,Spray Park,Ownership of Facility,Buildings
Fineview Park,Northern,3.13,2,1,,,,,1,,1,,,,,,1,1,1,,,,1,,1,Fineview,2509,1,Yes,2,6,6,1,,,,No,No,No,,,,,
Fairywood Park,Western,3.55,1.1,,,,1,,1,,,2,,,,4,,,,,,,,,,Fairywood,2808,2,Yes,,16,,,,,,Yes,No,No,,,,,
Granville Park,Schenley,0.64,0.5,,,,,1,1,,,1,,,,2,,,,,,,,,1,Crawford Roberts,305,6,Yes,1,2,4,,,,,No,No,No,,,,,
Morrow Triangle Park,Northeast,0.4,,,,,,,,,,,,,,,,,,,,,,,,Bloomfield,806,8,Yes,,3,,,,,,No,No,No,,,,,
Washburn Square Park,Northern,,,,0,0,,,0,0,0,,,,,,,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,,No,No,No,,,,,
Beechview Senior Center,Western,,,,0,0,,,0,0,0,,,,,,,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,,No,No,No,,,,,
Troy Hill Citizen's Park,Northern,,,,0,0,,,0,0,0,,,,,,,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,,No,No,No,,,,,
Tuxedo Street Skate Park,Western,,,,0,0,,,0,,,,,,,,,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,,No,No,No,,,,,
Denny Park,State,,,,,,,,1,,,,,,1,1,,,,,,,,,1,Strip District,203,7,Yes,,3,,,,,,No,No,No,,,,,
Alpine Park,Northern,,,,,,,,,,,,,,,,,,,,,,,,,Central Northside,2503,6,Yes,,5,,,,,,No,No,No,,,,,
Able Long Park,Western,1.66,1.5,,,,,,1,,,,,,,,,,,,,,,,1,Beechview,1920,4,No,,4,,,,,,No,No,No,,,,,
Alcoa Park,State,,,,,,,,,,,,,,,,,,,,,,,,,North Shore,2205,6,No,,,,,,,,No,No,No,,,,,
Buhl Community Park at Allegheny Square,State,2.51,5.1,,,1,,,,,,,,,,,,,,,,,,,,Allegheny Center,2204,1,Yes,,40,,,1,,,No,No,No,,,,,
Emerald View Park (Bigbee Field),Southern,,,,,,,,,,,,,,,,,,,,,,,,,Allentown,1808,3,Yes,,,,,,,,No,No,No,,,,,
Woods Run Park,Northern,,,,,,,,1,,,,,,,,,,,,,,,,1,Marshall Shadeland,2715,1,Yes,,6,,,,,,No,No,No,,,,,
Crafton Heights Park,Western,,,,,,,,1,,,,,,,,,,,,,,,,,Westwood,2811,2,No,,2,,,,,,No,No,No,,,,,
Arsenal Park,Northeast,10.6,8.81,,,1,,,1,4,,1,,,,2,,,1,2,,,1,,1,Lower Lawrenceville,603,7,Yes,3,41,,,1,1,,No,Yes,No,,,,,
Arlington Gym,Southern,,0.3,,1,,,,,,,,,,,,,,,,,,,,1,Southside Slopes,1608,3,Yes,,,,,,,,No,No,No,,,,,
Alton Park,Western,4.03,3.2,,,,,,1,,,,2,,,4,,,,,,,,,1,Beechview,1916,4,No,2,3,1,,,,,No,No,No,,,,,
Emerald View Park (Grandview Park),Southern,34.18,9.2,Band Stand,,,,,1,,,,1,,,2,,,,,,,,,2,Allentown,1803,3,Yes,,10,2,,,1,,No,No,No,,,,,
Shiloh Street Park,Western,,,,,,,,,,,,,,,,,,,,,,,,,Mount Washington,1903,2,Yes,,,,,,,,No,No,No,,,,,
East Hills Park,Eastern,11.14,4.7,,,,,,,,,2,,,,4,,,1,,,,,,1,East Hills,1306,9,Yes,1,5,2,,,,,Yes,No,No,,,,,
Cobden Street Park,Southern,0.87,0.2,,,,,,,,,,,,1,1,,,,,,,,,,Southside Slopes,1608,3,Yes,,,,,,,,No,No,No,,,,,
Gardner Park,Northern,3.43,3.4,,,,,,,,,,,1,,1,,,1,,,,,,1,Troy Hill,2406,1,Yes,2,,,,,,,No,No,No,,,,,
