Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CA Total Claimants (2015),ca Claimants Male 16-34 (2015),ca Claimants Male 35-49 (2015),ca Claimants Male 50-64 (2015),ca Claimants Male 65+ (2015),ca Claimants Female 16-34 (2015),ca Claimants Female 35-49 (2015),ca Claimants Female 50-64 (2015),ca Claimants Female 65+ (2015)
95OO18,KILLYMEAL,DUNGANNON,80,0,0,10,20,0,10,10,20
95OO19,MOY,DUNGANNON,80,10,0,10,10,10,20,10,20
95OO20,MOYGASHEL,DUNGANNON,60,0,0,10,20,10,10,0,10
95OO21,MULLAGHMORE,DUNGANNON,90,0,10,10,20,0,10,20,20
95OO22,WASHING BAY,DUNGANNON,160,0,10,20,20,10,40,30,30
95PP01,BALLINAMALLARD,FERMANAGH,60,0,0,10,10,0,10,10,10
95PP02,BELCOO AND GARRISON,FERMANAGH,70,0,10,10,10,0,10,20,10
95PP03,BELLEEK AND BOA,FERMANAGH,80,10,10,10,10,10,10,20,10
95PP04,BOHO CLEENISH AND LETTERBREEN,FERMANAGH,80,10,0,10,10,0,10,20,20
95PP05,BROOKEBOROUGH,FERMANAGH,70,0,0,10,10,0,20,10,20
95PP06,CASTLECOOLE,FERMANAGH,120,0,10,10,10,20,30,30,20
95PP07,DERRYGONNELLY,FERMANAGH,70,0,10,10,10,10,20,10,20
95PP08,DERRYLIN,FERMANAGH,60,0,0,10,10,0,10,10,20
95PP09,DEVENISH,FERMANAGH,90,0,10,10,10,10,20,10,30
95PP10,DONAGH,FERMANAGH,60,0,0,10,10,10,10,0,20
95PP11,ERNE,FERMANAGH,120,10,10,20,10,20,20,20,20
95PP12,FLORENCECOURT AND KINAWLEY,FERMANAGH,60,10,0,0,0,0,20,20,10
95PP13,IRVINESTOWN,FERMANAGH,120,0,10,10,20,10,30,10,30
95PP14,KESH EDERNEY AND LACK,FERMANAGH,110,0,10,10,10,10,20,20,20
95PP15,LISBELLAW,FERMANAGH,80,0,10,10,10,10,10,10,20
95PP16,LISNARRICK,FERMANAGH,50,0,0,10,10,0,10,10,10
95PP17,LISNASKEA,FERMANAGH,120,10,10,10,20,10,20,30,20
95PP18,MAGUIRESBRIDGE,FERMANAGH,100,0,10,10,10,10,30,20,10
95PP19,NEWTOWNBUTLER,FERMANAGH,100,10,10,10,10,10,20,20,20
95PP20,PORTORA,FERMANAGH,80,0,10,10,10,10,20,20,10
95PP21,ROSSLEA,FERMANAGH,60,0,10,10,10,0,10,20,10
95PP22,ROSSORRY,FERMANAGH,100,0,0,10,20,10,20,20,30
95PP23,TEMPO,FERMANAGH,100,10,10,10,10,10,20,20,10
95QQ01,ANTIVILLE,LARNE,70,10,10,10,0,10,10,10,10
95QQ02,BALLYCARRY,LARNE,80,0,0,10,10,10,10,20,20
95QQ03,BALLYLORAN,LARNE,60,0,0,10,10,10,10,10,10
95QQ04,BLACKCAVE,LARNE,90,0,10,10,10,10,20,20,10
95QQ05,CARNCASTLE,LARNE,80,0,0,10,20,10,10,20,20
95QQ06,CARNLOUGH,LARNE,80,0,0,10,10,10,20,20,20
95QQ07,CENTRAL (LARNE),LARNE,70,0,10,10,10,0,10,10,10
95QQ08,CRAIGY HILL,LARNE,100,0,10,10,20,10,20,20,20
95QQ09,GARDENMORE,LARNE,70,0,0,10,10,10,10,10,20
95QQ10,GLENARM,LARNE,60,0,10,0,0,0,20,10,20
95QQ11,GLYNN,LARNE,50,0,0,10,10,0,10,10,10
95QQ12,HARBOUR (LARNE),LARNE,60,0,10,10,10,0,20,10,10
95QQ13,ISLAND MAGEE,LARNE,60,0,0,10,10,10,10,10,20
95QQ14,KILWAUGHTER,LARNE,130,10,10,10,20,20,30,20,20
95QQ15,TOWN PARKS,LARNE,50,0,10,10,10,0,10,10,10
95RR01,AGHANLOO,LIMAVADY,160,10,10,20,20,10,30,40,20
95RR02,BALLYKELLY,LIMAVADY,90,10,10,10,10,10,20,10,20
95RR03,COOLESSAN,LIMAVADY,110,10,10,10,10,10,30,20,10
95RR04,DUNGIVEN,LIMAVADY,120,0,20,10,10,10,20,20,20
95RR05,ENAGH (LIMAVADY),LIMAVADY,130,10,10,10,20,10,20,30,20
95RR06,FEENY,LIMAVADY,110,0,0,10,20,10,20,20,30
95RR07,FOREST,LIMAVADY,80,0,0,10,10,0,10,20,10
95RR08,GLACK,LIMAVADY,90,0,10,10,20,0,10,20,20
95RR09,GRESTEEL,LIMAVADY,140,10,20,20,20,10,30,30,20
95RR10,GREYSTONE (LIMAVADY),LIMAVADY,80,10,10,10,10,10,10,10,10
95RR11,MAGILLIGAN,LIMAVADY,70,0,0,10,10,10,10,10,20
95RR12,RATHBRADY,LIMAVADY,80,10,10,10,20,0,10,10,20
95RR13,ROESIDE,LIMAVADY,70,0,0,0,10,10,10,10,20
95RR14,THE HIGHLANDS,LIMAVADY,100,0,10,10,10,10,20,20,20
95RR15,UPPER GLENSHANE,LIMAVADY,100,0,10,10,10,10,20,20,20
95SS01,BALLINDERRY,LISBURN,100,0,10,10,20,0,10,30,20
95SS02,BALLYMACASH,LISBURN,70,0,0,10,10,10,20,20,10
95SS03,BALLYMACBRENNAN,LISBURN,60,0,0,0,10,0,10,10,20
95SS04,BALLYMACOSS,LISBURN,260,10,10,20,30,30,80,40,30
95SS05,BLARIS,LISBURN,60,0,0,10,10,0,20,10,10
95SS06,COLLIN GLEN,LISBURN,520,40,50,60,30,100,130,90,30
95SS07,DERRYAGHY,LISBURN,370,30,50,40,20,50,100,50,40
95SS08,DROMARA,LISBURN,90,0,10,10,10,10,30,10,10
95SS09,DRUMBO,LISBURN,50,0,0,0,10,0,10,20,10
95SS10,DUNMURRY,LISBURN,110,10,10,10,20,10,20,30,20
95SS11,GLENAVY,LISBURN,150,0,10,10,20,10,30,30,30
95SS12,HARMONY HILL,LISBURN,70,0,0,10,20,0,10,10,20
95SS13,HILDEN,LISBURN,110,0,0,10,10,20,20,20,20
95SS14,HILLHALL,LISBURN,100,10,10,10,10,10,20,10,20
95SS15,HILLSBOROUGH,LISBURN,70,0,0,10,10,0,10,10,20
95SS16,KILWEE,LISBURN,200,20,20,20,30,20,30,40,20
95SS17,KNOCKMORE,LISBURN,150,10,10,10,20,10,40,30,20
95SS18,LAGAN VALLEY,LISBURN,100,0,0,10,10,10,30,20,20
95SS19,LAMBEG,LISBURN,90,10,10,10,20,10,20,10,10
95SS20,LISNAGARVY,LISBURN,70,0,0,10,10,0,10,10,20
95SS21,MAGHABERRY,LISBURN,100,0,10,10,20,0,10,20,20
95SS22,MAGHERALAVE,LISBURN,80,0,0,10,10,0,20,20,20
95SS23,MAZE,LISBURN,90,0,10,10,10,10,10,20,20
95SS24,MOIRA,LISBURN,90,0,10,10,20,10,10,10,20
95SS25,OLD WARREN,LISBURN,120,10,10,10,10,20,30,20,20
95SS26,POLEGLASS,LISBURN,250,10,20,40,20,30,50,50,20
95SS27,SEYMOUR HILL,LISBURN,100,0,10,10,20,10,20,10,20
95SS28,TONAGH,LISBURN,130,10,10,10,20,10,20,20,30
95SS29,TWINBROOK,LISBURN,220,20,20,20,30,20,40,40,30
95SS30,WALLACE PARK,LISBURN,50,0,10,0,10,0,10,10,10
95TT01,BALLYMAGUIGAN,MAGHERAFELT,80,0,10,10,10,10,20,10,20
95TT02,BELLAGHY,MAGHERAFELT,100,0,10,10,10,10,20,10,30
95TT03,CASTLEDAWSON,MAGHERAFELT,110,0,10,10,10,10,30,20,20
95TT04,DRAPERSTOWN,MAGHERAFELT,110,0,10,10,20,10,20,20,20
95TT05,GLEBE (MAGHERAFELT),MAGHERAFELT,100,0,10,10,20,10,30,30,10
95TT06,GULLADUFF,MAGHERAFELT,90,0,10,10,10,10,20,20,20
95TT07,KNOCKCLOGHRIM,MAGHERAFELT,80,0,0,10,20,0,10,20,20
95TT08,LECUMPHER,MAGHERAFELT,80,0,0,10,10,0,20,10,20
95TT09,LOWER GLENSHANE,MAGHERAFELT,110,10,10,10,20,10,20,20,20
95TT10,MAGHERA,MAGHERAFELT,140,10,10,20,20,20,30,20,20
95TT11,SWATRAGH,MAGHERAFELT,120,0,10,10,20,0,30,30,20
95TT12,TOBERMORE,MAGHERAFELT,100,10,10,0,20,10,20,20,20
95TT13,TOWN PARKS EAST,MAGHERAFELT,100,0,10,10,10,10,20,20,20
95TT14,TOWN PARKS WEST,MAGHERAFELT,80,0,0,10,10,10,20,20,20
95TT15,UPPERLANDS,MAGHERAFELT,90,0,10,10,10,10,20,10,30
95TT16,VALLEY (MAGHERAFELT),MAGHERAFELT,100,0,0,10,20,10,20,10,30
95UU01,ARMOY,MOYLE,40,0,0,10,10,0,10,10,10
95UU02,BALLYLOUGH,MOYLE,30,0,0,0,10,0,10,0,10
95UU03,BONAMARGY AND RATHLIN,MOYLE,20,0,0,0,0,0,0,0,0
95UU04,BUSHMILLS,MOYLE,30,0,0,0,0,0,0,10,0
95UU05,CARNMOON,MOYLE,40,0,0,0,0,0,10,0,10
95UU06,DALRIADA,MOYLE,50,0,10,0,10,10,0,10,10
95UU07,DUNSEVERICK,MOYLE,30,0,0,10,0,0,0,10,10
95UU08,GLENAAN,MOYLE,40,0,0,0,10,0,0,10,10
95UU09,GLENARIFF,MOYLE,60,0,0,10,10,10,10,10,10
95UU10,GLENDUN,MOYLE,30,0,0,10,0,0,10,0,10
95UU11,GLENSHESK,MOYLE,20,0,0,0,0,0,0,10,10
95UU12,GLENTAISIE,MOYLE,50,0,0,10,10,10,10,10,10
95UU13,KINBANE,MOYLE,40,0,0,10,10,0,10,10,10
95UU14,KNOCKLAYD,MOYLE,90,0,10,10,10,10,10,10,20
95UU15,MOSS-SIDE AND MOYARGET,MOYLE,40,0,0,10,10,0,0,10,10
95VV01,ANNALONG,NEWRY AND MOURNE,170,0,10,20,30,10,30,30,40
95VV02,BALLYBOT,NEWRY AND MOURNE,140,10,20,20,20,10,30,20,20
95VV03,BESSBROOK,NEWRY AND MOURNE,190,10,20,20,20,20,40,30,30
95VV04,BINNIAN,NEWRY AND MOURNE,110,10,0,10,10,10,20,30,30
95VV05,BURREN AND KILBRONEY,NEWRY AND MOURNE,120,0,0,20,20,10,30,30,20
95VV06,CAMLOUGH,NEWRY AND MOURNE,150,10,20,20,20,10,40,30,20
95VV07,CLONALLAN,NEWRY AND MOURNE,200,10,20,30,20,20,30,50,20
95VV08,CREGGAN,NEWRY AND MOURNE,170,10,20,20,20,10,30,30,20
95VV09,CROSSMAGLEN,NEWRY AND MOURNE,170,10,20,20,20,10,40,40,20
95VV10,DAISY HILL,NEWRY AND MOURNE,210,20,20,20,30,20,40,40,20
95VV11,DERRYLECKAGH,NEWRY AND MOURNE,150,0,10,10,20,10,30,30,20
95VV12,DERRYMORE,NEWRY AND MOURNE,180,10,20,20,20,20,30,30,40
95VV13,DONAGHMORE (NEWRY AND MOURNE),NEWRY AND MOURNE,110,0,10,10,20,0,20,20,20
95VV14,DRUMALANE,NEWRY AND MOURNE,150,0,10,20,20,10,20,40,20
95VV15,DRUMGULLION,NEWRY AND MOURNE,160,10,20,20,20,10,30,30,20
95VV16,FATHOM,NEWRY AND MOURNE,150,10,20,20,20,10,30,30,20
95VV17,FORKHILL,NEWRY AND MOURNE,200,10,20,20,20,10,50,50,30
95VV18,KILKEEL CENTRAL,NEWRY AND MOURNE,160,10,10,20,20,20,30,30,20
95VV19,KILKEEL SOUTH,NEWRY AND MOURNE,170,10,20,10,20,30,40,20,30
95VV20,LISNACREE,NEWRY AND MOURNE,130,0,10,10,20,10,20,20,40
95VV21,MAYOBRIDGE,NEWRY AND MOURNE,140,0,20,10,20,10,30,20,40
95VV22,NEWTOWNHAMILTON,NEWRY AND MOURNE,120,0,10,20,10,10,30,20,20
95VV23,ROSTREVOR,NEWRY AND MOURNE,110,0,10,10,20,0,20,30,20
95VV24,SEAVIEW,NEWRY AND MOURNE,120,10,10,10,20,0,10,30,30
95VV25,SILVER BRIDGE,NEWRY AND MOURNE,150,0,20,20,20,10,40,20,30
95VV26,SPELGA,NEWRY AND MOURNE,170,0,20,20,20,10,30,30,30
95VV27,ST MARYS,NEWRY AND MOURNE,130,10,10,20,30,10,20,20,20
95VV28,ST PATRICKS,NEWRY AND MOURNE,160,10,20,20,20,10,30,30,20
95VV29,TULLYHAPPY,NEWRY AND MOURNE,80,0,0,10,10,0,10,20,20
95VV30,WINDSOR HILL,NEWRY AND MOURNE,110,10,10,20,20,10,20,30,20
95WW01,ABBEY,NEWTOWNABBEY,110,0,10,10,20,10,20,20,20
95WW02,BALLYCLARE NORTH,NEWTOWNABBEY,120,10,10,10,20,20,20,20,20
95WW03,BALLYCLARE SOUTH,NEWTOWNABBEY,110,0,10,10,10,10,30,20,20
95WW04,BALLYDUFF,NEWTOWNABBEY,100,0,10,10,10,10,20,20,20
95WW05,BALLYHENRY,NEWTOWNABBEY,100,0,0,10,20,10,20,20,20
95WW06,BALLYNURE,NEWTOWNABBEY,60,0,0,10,10,0,10,10,20
95WW07,BALLYROBERT,NEWTOWNABBEY,100,0,0,0,20,10,20,20,30
95WW08,BURNTHILL,NEWTOWNABBEY,80,0,10,10,20,0,10,10,20
95WW09,CARNMONEY,NEWTOWNABBEY,100,0,10,10,10,10,10,20,30
95WW10,CLOUGHFERN,NEWTOWNABBEY,100,0,10,10,20,10,20,20,20
95WW11,COLLINBRIDGE,NEWTOWNABBEY,80,10,0,10,20,0,10,10,20
95WW12,COOLE,NEWTOWNABBEY,110,10,10,10,10,10,30,20,10
95WW13,DOAGH,NEWTOWNABBEY,100,0,10,10,10,10,10,20,30
95WW14,DUNANNEY,NEWTOWNABBEY,130,10,10,10,20,20,30,20,20
95WW15,GLEBE (NEWTOWNABBEY),NEWTOWNABBEY,100,0,10,10,30,10,10,20,20
95WW16,GLENGORMLEY,NEWTOWNABBEY,110,0,10,10,20,10,20,30,20
95WW17,HAWTHORNE,NEWTOWNABBEY,110,0,10,10,20,10,30,20,20
95WW18,HIGHTOWN,NEWTOWNABBEY,100,0,0,10,20,10,10,10,30
95WW19,JORDANSTOWN,NEWTOWNABBEY,100,0,10,10,20,0,20,10,20
95WW20,MALLUSK,NEWTOWNABBEY,150,10,10,10,20,10,40,30,20
95WW21,MONKSTOWN,NEWTOWNABBEY,120,10,10,10,20,20,20,10,20
95WW22,MOSSLEY,NEWTOWNABBEY,120,0,10,10,10,20,30,20,20
95WW23,ROSTULLA,NEWTOWNABBEY,70,10,0,10,10,10,10,20,10
95WW24,VALLEY (NEWTOWNABBEY),NEWTOWNABBEY,190,10,20,10,30,10,40,30,40
95WW25,WHITEHOUSE,NEWTOWNABBEY,120,10,10,10,30,10,10,20,20
95XX01,BALLYCROCHAN,NORTH DOWN,100,0,0,10,10,10,20,30,20
95XX02,BALLYHOLME,NORTH DOWN,30,0,0,0,10,0,0,10,10
95XX03,BALLYMACONNELL,NORTH DOWN,60,0,0,10,10,0,10,10,10
95XX04,BALLYMAGEE,NORTH DOWN,80,0,0,10,10,0,20,10,10
95XX05,BANGOR CASTLE,NORTH DOWN,70,0,0,10,20,10,10,10,20
95XX06,BLOOMFIELD (NORTH DOWN),NORTH DOWN,120,0,0,20,20,10,30,30,10
95XX07,BROADWAY,NORTH DOWN,40,0,0,0,10,0,10,10,10
95XX08,BRYANSBURN,NORTH DOWN,50,0,0,0,10,10,0,10,10
95XX09,CHURCHILL,NORTH DOWN,80,0,0,10,10,10,10,20,20
95XX10,CLANDEBOYE,NORTH DOWN,100,10,10,0,10,10,30,20,10
95XX11,CONLIG,NORTH DOWN,190,0,10,20,20,20,60,40,20
95XX12,CRAIGAVAD,NORTH DOWN,50,0,0,10,10,0,0,10,20
95XX13,CRAWFORDSBURN,NORTH DOWN,50,0,10,10,10,0,0,10,10
95XX14,CULTRA,NORTH DOWN,40,0,0,0,10,0,10,10,10
95XX15,DUFFERIN,NORTH DOWN,90,0,10,10,20,10,10,10,30
95XX16,GROOMSPORT,NORTH DOWN,100,0,0,10,30,0,10,20,30
95XX17,HARBOUR (NORTH DOWN),NORTH DOWN,60,0,10,10,10,10,10,10,10
95XX18,HOLYWOOD DEMESNE,NORTH DOWN,70,10,0,10,10,10,10,20,10
95XX19,HOLYWOOD PRIORY,NORTH DOWN,50,0,0,10,10,0,0,10,10
95XX20,LOUGHVIEW,NORTH DOWN,100,10,10,10,20,10,10,20,20
95XX21,PRINCETOWN,NORTH DOWN,50,0,0,0,10,0,10,10,20
95XX22,RATHGAEL,NORTH DOWN,50,0,0,10,10,0,10,10,10
95XX23,SILVERSTREAM,NORTH DOWN,70,0,10,0,10,10,10,10,20
95XX24,SPRING HILL,NORTH DOWN,90,0,0,10,20,0,10,10,30
95XX25,WHITEHILL,NORTH DOWN,80,0,0,20,10,10,20,10,10
95YY01,BERAGH,OMAGH,80,10,10,10,10,0,10,10,10
95YY02,CAMOWEN,OMAGH,120,0,10,10,20,10,20,20,30
95YY03,CLANABOGAN,OMAGH,80,0,0,10,10,0,20,10,20
95YY04,COOLNAGARD,OMAGH,170,10,20,20,20,20,30,30,30
95YY05,DERGMONEY,OMAGH,60,0,10,10,10,0,10,10,10
95YY06,DROMORE,OMAGH,100,10,10,10,10,10,20,20,20
95YY07,DRUMNAKILLY,OMAGH,140,10,20,20,20,10,20,20,20
95YY08,DRUMQUIN,OMAGH,100,10,10,10,10,0,20,20,20
95YY09,DRUMRAGH,OMAGH,70,10,10,0,10,10,20,10,10
95YY10,FAIRY WATER,OMAGH,60,0,0,10,10,0,10,20,10
95YY11,FINTONA,OMAGH,90,0,10,10,10,0,30,20,20
95YY12,GORTIN,OMAGH,80,0,10,0,10,10,20,10,20
95YY13,GORTRUSH,OMAGH,150,10,20,10,20,10,30,20,20
95YY14,KILLYCLOGHER,OMAGH,140,10,10,20,20,10,30,30,10
95YY15,LISANELLY,OMAGH,120,10,10,10,0,20,40,20,10
95YY16,NEWTOWNSAVILLE,OMAGH,90,0,10,10,10,10,10,20,30
95YY17,OWENKILLEW,OMAGH,90,0,10,0,20,0,20,20,10
95YY18,SIXMILECROSS,OMAGH,90,10,10,10,20,10,20,20,20
95YY19,STRULE,OMAGH,80,10,10,10,10,10,10,10,10
95YY20,TERMON,OMAGH,150,10,10,30,20,10,20,30,30
95YY21,TRILLICK,OMAGH,70,0,10,10,20,10,10,10,20
95ZZ01,ARTIGARVAN,STRABANE,140,10,10,20,20,10,30,20,20
95ZZ02,BALLYCOLMAN,STRABANE,160,0,10,20,20,10,30,30,40
95ZZ03,CASTLEDERG,STRABANE,160,0,10,20,30,10,20,30,40
95ZZ04,CLARE,STRABANE,150,10,20,20,20,10,30,30,30
95ZZ05,DUNNAMANAGH,STRABANE,120,0,20,20,10,10,20,20,20
95ZZ06,EAST,STRABANE,130,0,10,20,20,10,30,20,30
95ZZ07,FINN,STRABANE,150,10,10,20,20,10,30,30,30
95ZZ08,GLENDERG,STRABANE,200,10,20,20,30,20,30,40,40
95ZZ09,NEWTOWNSTEWART,STRABANE,130,10,20,10,20,10,30,20,20
95ZZ10,NORTH,STRABANE,150,10,10,10,20,20,30,20,20
95ZZ11,PLUMBRIDGE,STRABANE,90,0,10,10,10,10,10,20,30
95ZZ12,SION MILLS,STRABANE,180,10,10,20,40,10,30,20,40
95ZZ13,SLIEVEKIRK,STRABANE,100,10,10,10,20,0,20,10,20
95ZZ14,SOUTH,STRABANE,170,10,10,20,30,20,20,40,30
95ZZ15,VICTORIA BRIDGE,STRABANE,130,10,10,10,30,10,20,20,30
95ZZ16,WEST,STRABANE,180,10,20,10,40,10,30,30,40
