Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CGA Total Claimants (2015),CGA Claimants Male 16-34 (2015),CGA Claimants Male 35-49 (2015),CGA Claimants Male 50-64 (2015),CGA Claimants Male 65+ (2015),CGA Claimants Female 16-34 (2015),CGA Claimants Female 35-49 (2015),CGA Claimants Female 50-59 (2015),CGA Claimants Female 60-64 (2015),CGA Claimants Female 65+ (2015)
95GG29,ISLAND,BELFAST,1570,140,120,170,230,170,170,140,70,360
95GG30,KNOCK,BELFAST,1490,60,50,110,420,70,70,90,70,560
95GG31,LADYBROOK,BELFAST,2280,200,170,220,420,200,220,200,110,540
95GG32,LEGONIEL,BELFAST,2310,210,180,240,380,250,210,180,100,550
95GG33,MALONE,BELFAST,1410,40,50,60,460,30,40,50,90,600
95GG34,MUSGRAVE,BELFAST,1500,80,70,110,390,60,90,100,110,510
95GG35,NEW LODGE,BELFAST,2460,300,280,370,310,230,230,240,100,420
95GG36,ORANGEFIELD,BELFAST,1520,80,60,100,380,60,100,100,80,560
95GG37,RAVENHILL,BELFAST,1390,80,90,100,320,80,70,80,90,480
95GG38,ROSETTA,BELFAST,1630,90,90,100,380,70,100,90,100,620
95GG39,SHAFTESBURY,BELFAST,2670,360,330,350,390,250,250,190,110,440
95GG40,SHANKILL,BELFAST,1930,210,160,210,320,230,190,160,80,370
95GG41,STORMONT,BELFAST,1590,40,30,50,520,30,40,60,90,730
95GG42,STRANMILLIS,BELFAST,1190,50,30,50,400,20,40,40,90,490
95GG43,SYDENHAM,BELFAST,1600,90,80,150,360,110,130,110,80,490
95GG44,THE MOUNT,BELFAST,2060,270,250,250,280,230,250,160,80,310
95GG45,UPPER MALONE,BELFAST,1660,80,70,130,410,100,90,120,90,570
95GG46,UPPER SPRINGFIELD,BELFAST,2330,290,220,310,260,250,250,260,110,390
95GG47,WATER WORKS,BELFAST,2920,430,390,390,320,340,290,240,100,410
95GG48,WHITEROCK,BELFAST,2490,290,260,320,250,310,330,260,130,350
95GG49,WINDSOR,BELFAST,1180,130,120,110,220,90,80,50,40,340
95GG50,WOODSTOCK,BELFAST,1800,180,200,200,260,220,210,150,60,340
95GG51,WOODVALE,BELFAST,1950,200,180,200,310,210,190,170,80,420
95HH01,BLACKHEAD,CARRICKFERGUS,740,30,30,50,220,30,40,40,40,280
95HH02,BLUEFIELD,CARRICKFERGUS,650,30,30,40,190,30,40,30,60,200
95HH03,BONEYBEFORE,CARRICKFERGUS,660,20,10,30,230,10,20,30,50,270
95HH04,BURLEIGH HILL,CARRICKFERGUS,810,30,20,60,250,30,40,70,60,260
95HH05,CLIPPERSTOWN,CARRICKFERGUS,620,60,60,40,110,80,60,40,30,140
95HH06,EDEN,CARRICKFERGUS,1000,60,50,80,240,70,100,80,80,240
95HH07,GORTALEE,CARRICKFERGUS,540,60,50,60,100,50,40,30,20,130
95HH08,GREENISLAND,CARRICKFERGUS,770,20,30,50,220,30,50,40,50,290
95HH09,KILLYCROT,CARRICKFERGUS,1200,60,80,120,270,60,80,80,60,400
95HH10,KNOCKAGH,CARRICKFERGUS,610,30,20,30,190,10,30,30,40,240
95HH11,LOVE LANE,CARRICKFERGUS,650,50,50,40,130,60,50,40,30,220
95HH12,MILEBUSH,CARRICKFERGUS,530,30,20,40,140,30,40,40,40,160
95HH13,NORTHLAND,CARRICKFERGUS,520,70,40,40,70,80,60,50,20,90
95HH14,SUNNYLANDS,CARRICKFERGUS,670,50,40,60,140,60,50,40,40,200
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,790,50,40,50,190,40,60,60,40,260
