SAMPLENO,AG,AL,AS_,AU,BA,BE,BI,BR,CD,CE,CO,CR,CS,CU,HO,K,LA,LI,LU,MN,MO,ND,NI,P,PB,PD,PT,RB,RH,SB,SE,SN,SR,TH,TI,TL,U,V,W,Y,ZN,ZR,B,CA,FE,MG,NA,SI,SO4,EASTING,NORTHING
550723,0.0000,51.8400,1.5600,,218.8300,0.0000,,,0.0100,0.6500,0.2100,0.4400,,4.6700,,7.6060,0.3900,3.5400,,0.2560,0.3100,,1.3900,0.0480,0.4400,,,4.8900,,0.1700,-3.1200,,0.0880,0.0000,,0.0000,3.0700,2.5600,,0.2700,23.8800,0.2700,0.0780,34.6720,0.4140,6.3070,15.4850,6.7490,12.3720,249880,356170
550724,0.0000,10.8100,0.6200,,266.3800,-0.0100,,,0.0200,0.0500,0.3300,0.2600,,0.9300,,8.0490,0.0300,2.2400,,0.1840,0.2400,,1.8900,0.1370,0.0000,,,4.6500,,0.0300,-2.5200,,0.1620,-0.0100,,0.0000,0.4700,0.2200,,0.0800,3.6200,0.0700,0.0240,56.1790,0.4690,6.9230,14.1030,4.3160,4.2200,243120,358210
550725,-0.0100,4.2400,0.7600,,13.2300,-0.0200,,,0.0000,0.0200,0.6000,0.2100,,0.3400,,0.9610,0.0000,1.6300,,0.4320,0.1100,,1.0900,0.0160,0.0200,,,0.4700,,-0.0100,-1.5000,,0.0940,-0.0500,,-0.0100,0.1600,0.0700,,0.0100,0.7700,0.0200,0.0050,39.7140,0.1290,10.5390,10.4440,6.2460,1.9670,231770,368400
550726,0.0000,6.5300,1.2100,,8.7100,-0.0100,,,0.0100,0.0300,0.1300,0.1500,,0.7400,,0.9130,0.0300,1.0100,,0.1100,0.1000,,0.9500,0.0150,-0.0100,,,1.1700,,0.0400,-0.3900,,0.0830,-0.0600,,0.0000,0.3900,0.1400,,0.0400,0.7700,0.0200,0.0070,25.9750,0.0840,7.5020,9.3530,2.7240,3.3720,232360,367570
550727,-0.0100,28.9300,3.2600,,6.1600,0.0100,,,0.0200,0.3100,0.2500,0.4000,,0.7300,,1.3910,0.1400,0.5200,,0.0760,0.0200,,0.8500,0.0460,0.1300,,,3.3500,,0.0000,1.9100,,0.0370,0.0300,,0.0100,0.0700,0.5100,,0.4200,5.6000,0.1800,0.0110,12.6240,0.5630,3.8980,11.4110,3.0080,3.9750,199460,361650
550729,0.0000,8.2300,0.5600,,253.7200,-0.0100,,,0.0600,0.0100,0.2400,0.1600,,0.7900,,2.1430,0.0300,0.9600,,0.0810,0.4200,,1.2800,0.0320,0.0200,,,0.9000,,0.1300,-1.1600,,0.1130,-0.0300,,0.0000,0.3000,0.0600,,0.0400,2.2800,0.0100,0.0130,64.7360,0.1290,8.7100,11.1570,4.4090,9.3770,252870,355040
550730,0.0000,7.4000,0.4600,,13.8500,0.0000,,,0.0200,0.0500,0.1200,0.2300,,0.7500,,0.7300,0.0200,0.5400,,0.0280,0.0600,,0.4700,0.0090,0.0300,,,1.4500,,0.0400,-1.9300,,0.0670,-0.0500,,0.0000,0.0400,0.1000,,0.0600,0.7700,0.0700,0.0050,15.0490,0.3240,4.6960,10.2030,2.4640,2.4170,201900,364930
550731,0.0000,143.0700,1.8700,,87.8700,0.0100,,,0.0300,1.4500,27.1100,0.4500,,2.0600,,0.6550,0.3700,0.7200,,8.6440,0.0400,,2.9500,0.1200,0.7000,,,1.6900,,0.0300,1.1600,,0.0290,0.2500,,0.0000,0.0400,0.4100,,0.6400,64.0600,0.3400,0.0160,6.1590,6.3370,3.5620,7.9420,2.4970,2.1220,230500,369100
550732,0.0100,49.2300,4.2500,,15.3100,-0.0100,,,0.0200,0.3400,0.2900,0.3800,,2.1500,,0.7100,0.1700,0.4800,,0.0490,0.1700,,3.5500,0.0310,0.2600,,,0.9000,,0.1800,-2.3100,,0.0310,0.0300,,0.0000,0.0300,0.1200,,0.2800,1.3500,0.1900,0.0080,10.4220,0.4910,4.8560,7.0660,2.0130,7.2330,231150,368700
550733,0.0100,205.2800,3.5600,,376.6800,-0.0100,,,0.0800,0.4600,0.5500,0.7500,,6.3600,,17.3260,0.2600,3.4400,,0.0560,1.0900,,4.3700,0.9500,0.2100,,,12.3800,,0.0800,1.7500,,0.2550,0.1700,,0.0000,0.3100,1.7500,,0.2400,6.7600,1.2000,0.0600,67.3970,0.1940,10.2310,17.0990,3.6260,36.1890,222720,355420
550734,-0.0100,14.2800,2.1000,,70.0300,-0.0200,,,0.0100,0.0600,1.2200,0.3200,,0.7800,,2.8680,0.0200,1.6200,,0.7350,0.2300,,1.8000,0.0540,0.0700,,,3.1400,,0.0200,1.5500,,0.1430,0.0600,,-0.0100,0.1900,0.2200,,0.0600,0.7700,0.1200,0.0220,38.3190,1.4240,8.1710,14.8090,3.5330,2.4410,233570,366800
550735,-0.0100,19.0800,0.7800,,455.5300,-0.0200,,,0.0100,0.1400,0.1600,0.3900,,2.6800,,5.2180,0.1100,1.2600,,0.0100,0.2400,,1.4500,0.2160,0.0900,,,3.0600,,0.0200,0.4100,,0.1550,-0.0300,,-0.0100,0.7100,0.9800,,0.1200,1.8600,0.1300,0.0400,48.4210,0.1850,6.3390,12.0090,4.6460,9.5150,250480,358860
550736,0.0000,13.6300,0.9300,,291.4200,0.0100,,,-0.0100,0.1200,0.1300,0.3300,,1.1800,,5.3860,0.1000,1.9000,,0.0060,0.1700,,1.4900,0.1590,0.0100,,,3.3900,,0.0700,-2.7400,,0.1250,-0.0300,,-0.0100,1.2500,0.6000,,0.1100,0.7700,0.0900,0.0220,40.8230,0.1600,7.3580,12.6470,5.3580,7.0600,252260,357720
550739,0.0000,8.5200,0.1200,,134.4300,0.0100,,,0.0100,0.1000,0.1000,0.1900,,0.3300,,0.8080,0.0500,1.2600,,0.0760,0.0600,,0.8100,0.0160,0.0000,,,0.8500,,0.0300,-2.3600,,0.0680,-0.0300,,-0.0100,0.0800,0.3300,,0.1600,0.7700,0.1700,0.0100,26.8510,0.3930,4.4670,10.1160,2.2850,2.8590,245300,355200
550740,0.0000,21.2500,1.6800,,39.6800,0.0000,,,0.0100,0.1700,0.6200,0.1500,,0.9900,,2.9340,0.0600,1.7500,,0.0890,0.2700,,2.4600,0.0360,0.0500,,,4.0000,,0.0600,-0.7800,,0.1220,-0.0100,,0.0000,0.0900,0.0800,,0.1800,1.4100,0.1700,0.0390,41.4050,0.8260,7.3430,9.6980,2.9230,15.9010,227580,369880
550741,0.0100,9.2800,0.5400,,336.3200,-0.0100,,,0.0100,0.0200,0.2100,0.3800,,0.9900,,6.4800,0.0100,1.9700,,0.8800,0.0000,,1.0200,0.0280,-0.0100,,,0.3900,,0.0200,-3.3400,,0.0810,-0.0100,,0.0000,-0.0300,0.1700,,0.1600,2.1200,0.3400,0.0550,54.7910,0.9020,4.3660,11.4280,6.2060,4.3810,244550,354870
550742,-0.0100,20.4300,2.3500,,246.3900,-0.0100,,,0.0400,0.4000,0.3800,0.5800,,3.1800,,12.4590,0.2200,2.6400,,0.1630,0.3600,,2.7600,0.5300,0.1300,,,11.1400,,0.0400,0.6300,,0.1510,-0.0100,,-0.0100,2.9400,1.9500,,0.1800,3.9700,0.2300,0.0320,71.4990,0.3530,9.4990,16.1520,4.2910,5.5110,249600,359880
550743,0.0100,56.8900,1.2200,,35.9800,0.0200,,,0.0100,0.7000,0.2700,0.7600,,1.8600,,2.8590,0.3600,1.0600,,0.0610,0.1900,,1.8600,0.0650,0.1800,,,1.3600,,0.0300,-0.3900,,0.0340,0.1700,,0.0100,0.0400,1.4700,,0.4300,2.0400,0.3600,0.0100,17.0140,0.4790,2.6860,9.6140,6.3170,4.5560,249000,356410
550745,0.0000,10.8800,2.2000,,44.9300,-0.0200,,,0.0100,0.0500,0.7700,0.2500,,1.0800,,3.9460,0.0100,0.8900,,0.4160,0.2200,,1.9400,0.0560,0.0100,,,3.4100,,0.0300,-2.3300,,0.1190,-0.0300,,-0.0100,0.1700,0.1000,,0.0800,0.7700,0.1200,0.0180,34.1810,2.2130,7.4620,15.4350,2.9680,3.3310,234290,367560
550747,0.0000,10.6300,-0.1800,,136.3100,0.0000,,,0.0100,0.0500,0.4400,0.2100,,2.1400,,7.2260,0.0400,3.7100,,0.0270,0.5500,,2.7400,0.0800,0.0200,,,9.3600,,0.0200,-3.5200,,0.3450,0.0000,,0.0000,0.1700,0.1500,,0.0900,1.6900,0.1800,0.0600,61.6940,0.4320,9.3810,17.2630,3.5910,9.4670,219760,369020
550748,0.0000,25.2500,0.3700,,217.0100,-0.0200,,,0.0000,0.1300,0.1400,0.5100,,1.0300,,2.4390,0.0700,2.1400,,0.0390,0.0300,,1.6600,0.0330,0.0100,,,1.8900,,0.0400,-3.7300,,0.0880,-0.0100,,-0.0100,0.0900,0.6200,,0.2100,0.7700,0.3500,0.0100,25.1290,0.2880,6.3920,10.6200,6.2510,1.8010,246930,353800
550750,0.0000,16.1300,1.3300,,225.7400,0.0200,,,0.0200,0.0500,0.0800,0.3800,,0.8200,,2.9460,0.0300,3.0100,,0.0070,0.0800,,1.4300,0.0280,-0.0300,,,1.6600,,0.0400,-0.9800,,0.0920,0.0100,,0.0000,0.2500,0.6800,,0.1700,0.7700,0.1300,0.0190,35.5990,0.0240,6.0030,13.7030,5.8830,4.2050,246260,354680
550751,0.0200,38.3800,0.8900,,18.9900,0.0100,,,0.0000,0.1800,0.5200,0.4200,,0.3300,,0.2890,0.0800,0.3000,,0.0010,0.0400,,0.2900,0.0210,0.2100,,,0.4800,,0.0400,-2.2600,,0.0280,0.0700,,0.0000,0.0000,0.3400,,0.2500,0.7700,0.0800,0.0040,6.1850,0.5490,2.5530,11.4030,3.1630,2.1830,203250,363870
550752,0.0100,5.6500,0.9400,,83.7400,-0.0100,,,0.0000,0.0100,0.3300,0.4100,,1.1800,,2.8610,0.0100,3.8300,,0.1000,0.7600,,2.9300,0.0400,0.0000,,,4.4600,,0.0300,1.5200,,0.4890,0.0100,,0.0000,0.1900,0.2100,,0.0700,0.7700,0.2800,0.0440,103.3900,0.0550,6.7510,16.5260,3.4550,5.1730,214600,367430
550754,0.0100,8.5300,0.4900,,128.2400,-0.0100,,,-0.0100,0.0400,0.0500,0.3000,,0.4300,,1.5080,0.0400,1.4900,,0.0150,0.0500,,1.3100,0.0180,-0.0100,,,1.2300,,0.0200,-2.2900,,0.0570,-0.0200,,0.0000,0.1400,0.2800,,0.1200,0.7700,0.1300,0.0080,26.6560,0.1120,3.5310,8.4320,5.3530,3.3690,245560,354700
550755,0.0000,48.4300,1.5700,,445.7000,0.0000,,,0.0500,0.3500,2.2600,1.1000,,5.5500,,36.0590,0.1900,1.5600,,8.7740,0.8300,,5.5200,0.7370,0.1100,,,29.2500,,0.1100,-2.2500,,0.1040,0.0100,,-0.0100,0.3900,1.9900,,0.3500,5.1000,0.6900,0.0420,67.0890,0.8200,9.7180,23.8900,5.4220,26.6210,247550,358730
550756,0.0000,69.1600,2.0500,,126.2700,-0.0100,,,0.0200,0.6800,0.3400,0.4300,,3.0800,,10.9230,0.3300,1.2100,,0.1520,0.3900,,1.4300,0.1650,0.2500,,,9.6200,,0.0600,-0.3800,,0.2150,0.0000,,-0.0100,0.3300,1.9400,,0.2200,18.7900,0.1700,0.0160,26.1850,0.3070,6.0290,10.5400,4.2240,10.9550,248300,362390
550757,0.0000,10.2200,0.7100,,101.3400,-0.0100,,,-0.0100,0.1100,0.1000,0.3500,,0.4700,,1.7750,0.0400,1.3700,,0.1230,0.0700,,1.1700,0.1010,-0.0100,,,1.2100,,0.0300,-1.7000,,0.0660,-0.0400,,0.0000,0.0900,0.3500,,0.1300,0.7700,0.1500,0.0160,35.2680,0.4220,5.2540,10.6840,5.6750,3.4060,246070,357230
550758,0.0000,9.2300,0.1400,,13.2200,-0.0300,,,-0.0100,0.0700,0.1100,0.3100,,0.4300,,1.1440,0.0300,0.6100,,0.0230,0.1100,,0.4400,0.0210,0.0100,,,1.9200,,0.0100,0.3700,,0.0640,-0.0200,,0.0000,0.2700,0.0400,,0.0500,0.7700,0.0400,0.0050,16.8230,0.5560,4.7920,10.9650,1.9240,2.9130,200900,363400
550759,0.0000,11.2200,0.1200,,8.3200,-0.0100,,,0.0300,0.1400,0.0900,0.2800,,0.5600,,1.4070,0.0600,0.5700,,0.0080,0.1700,,0.6100,0.0160,0.0300,,,2.8300,,0.0300,-1.5200,,0.0590,-0.0300,,0.0000,0.2100,0.3000,,0.0800,0.7700,0.0500,0.0130,16.1710,0.5010,4.5270,11.2910,1.9390,3.4300,200760,361500
550761,0.0000,22.8400,0.2500,,3.7800,0.0200,,,0.0100,0.1800,0.0800,0.3000,,0.4800,,0.4090,0.0700,0.3100,,0.0520,0.0100,,0.2800,0.0210,0.1000,,,0.7200,,0.0300,-2.2800,,0.0260,-0.0300,,-0.0100,-0.0300,0.2100,,0.1900,1.3000,0.0900,0.0110,6.0390,1.8710,2.8210,10.2230,1.9850,2.4820,198700,361010
550763,0.0100,30.2500,0.7600,,119.0000,0.0000,,,0.0300,0.1500,0.1400,0.3300,,0.3900,,1.0060,0.0900,1.4500,,0.0760,0.0500,,1.1400,0.0190,0.0600,,,1.1300,,0.0300,-1.3300,,0.0640,-0.0200,,-0.0100,0.0700,0.3600,,0.1300,0.7700,0.1700,0.0140,27.3250,0.2810,4.3680,9.8540,1.7250,2.9230,246130,355430
550764,0.0000,9.7300,1.3900,,169.5700,-0.0300,,,0.0200,0.0200,0.5000,0.2200,,1.1800,,7.9240,0.0200,2.5000,,0.1210,0.3200,,2.8500,0.3270,0.4400,,,4.1500,,0.1000,-0.9300,,0.1780,0.1100,,-0.0100,1.4300,0.8600,,0.3300,12.8300,0.1400,0.0270,81.0830,0.2030,9.2190,19.2730,6.3220,8.1010,249810,360470
550765,0.0100,20.1200,0.9700,,43.0700,0.0100,,,0.0200,0.2100,1.2400,0.4200,,0.3500,,0.4130,0.0600,0.7700,,0.6320,0.1000,,0.9400,0.0280,0.0500,,,0.5600,,0.0200,-0.5700,,0.0610,0.0300,,0.0000,-0.0100,0.3100,,0.2000,0.7700,0.1100,0.0110,16.6780,1.7940,4.3260,10.7440,3.7720,2.1430,200850,364730
550766,0.0000,14.2200,0.3900,,201.7700,-0.0200,,,0.0100,0.1000,0.2700,0.3200,,0.3000,,0.8470,0.0500,5.6900,,0.1760,0.0600,,1.1700,0.0240,-0.0100,,,0.9800,,0.0300,-3.4700,,0.2960,-0.0500,,-0.0100,0.5400,0.4600,,0.1100,0.7700,0.2200,0.0200,49.2520,0.5560,7.6290,12.9830,3.9840,1.2860,243720,355230
550767,0.0100,6.0200,0.9600,,146.2000,-0.0100,,,0.0200,0.0200,0.1400,0.4900,,0.9600,,4.2190,0.0200,1.8700,,0.0070,0.3300,,1.8500,0.1110,0.0100,,,2.7900,,0.0600,-1.3300,,0.2230,0.0200,,0.0000,0.2500,0.4300,,0.0800,0.7700,0.2300,0.1030,48.3190,0.1710,6.4700,15.6220,3.2730,10.0230,244390,359830
550768,0.0000,7.6000,0.5200,,114.7400,0.0000,,,0.0200,0.0500,0.4200,0.2800,,1.3100,,5.0340,0.0500,3.2100,,0.1590,0.8200,,3.3200,0.0590,-0.0100,,,7.2800,,0.0600,-1.6900,,0.4350,-0.0300,,0.0000,0.2800,0.2700,,0.0800,1.3900,0.1800,0.0570,80.8440,0.3980,8.6080,16.4740,1.7560,14.8510,218290,368600
550769,0.0100,47.5200,1.0700,,301.3300,-0.0100,,,-0.0100,0.0100,0.0600,0.2300,,0.7400,,2.2160,0.0100,1.7700,,0.0040,0.2300,,0.8400,0.0410,0.0100,,,1.3600,,0.0500,-2.2900,,0.1380,-0.0300,,0.0000,0.6000,0.5700,,0.0400,0.7700,0.0300,0.0220,35.1410,0.0220,8.6320,14.3670,3.6420,10.0780,253280,355080
550770,0.0000,19.2900,0.7700,,100.5600,0.0100,,,-0.0100,0.1000,0.3400,0.4700,,1.0500,,2.2180,0.0400,2.4600,,0.2880,0.2200,,1.5700,0.2590,0.0200,,,1.8600,,0.0200,-2.5000,,0.0690,0.0200,,-0.0100,0.1300,0.7400,,0.1700,1.6600,0.4500,0.0230,55.8100,0.2930,6.6670,11.0780,7.4930,3.2110,245210,357090
550771,0.0000,16.5400,3.5600,,100.3900,-0.0100,,,-0.0100,0.0900,2.3500,0.2800,,4.2200,,2.0150,0.0500,1.4800,,1.2010,0.1900,,1.5400,0.0780,0.0600,,,3.1200,,0.0300,-1.6900,,0.1220,0.0400,,-0.0100,0.0800,0.2800,,0.0800,4.0200,0.0700,0.0350,36.8980,2.9920,8.0900,13.4630,5.4520,1.7870,234100,367700
550772,0.0000,6.5800,0.7800,,74.3700,-0.0200,,,0.0000,0.0600,0.4500,0.3300,,1.1600,,5.3730,0.0400,1.9600,,0.1060,0.9300,,3.6100,0.0570,-0.0100,,,6.5600,,0.0700,-1.1200,,0.3810,-0.0200,,0.0000,0.3000,0.1200,,0.1000,1.1700,0.2300,0.0420,79.4230,0.2530,6.8130,16.4910,0.8280,8.0320,214930,366500
550773,0.0100,24.2100,1.4900,,246.8800,-0.0100,,,0.0200,0.1400,0.1500,0.3100,,1.0200,,3.3170,0.1000,1.3700,,0.0370,0.1000,,1.1000,0.1900,0.1000,,,2.1400,,0.0300,-0.1900,,0.0730,-0.0400,,-0.0100,0.3100,0.9500,,0.0900,5.9900,0.0800,0.0220,40.1950,0.0880,4.7440,10.3450,4.1420,11.1720,249150,358340
550774,0.0000,38.0500,0.7500,,216.3000,0.0100,,,0.0300,0.1400,0.0900,0.3600,,1.4000,,2.6360,0.0900,1.9800,,0.0270,0.1100,,1.4800,0.0980,0.0600,,,1.6300,,0.0600,-1.3500,,0.0790,-0.0100,,-0.0100,0.2200,0.8300,,0.1500,0.7700,0.1100,0.0160,19.1550,0.0900,6.4740,9.5790,4.7010,6.3780,244700,358310
550776,0.0000,34.1500,0.1200,,53.5300,0.0000,,,0.0000,0.1400,0.5100,0.1500,,0.9600,,2.9880,0.0700,2.4700,,0.0760,0.1500,,2.0800,0.0300,0.0000,,,4.2300,,0.0700,-2.2600,,0.1300,-0.0200,,-0.0100,0.0000,0.1000,,0.1200,1.7900,0.1200,0.0240,40.2270,0.4220,6.8370,9.6860,3.0170,15.0280,228010,370990
550777,0.0000,7.6400,0.5500,,261.3300,-0.0100,,,0.0100,0.0400,0.1300,0.2400,,1.3300,,4.4890,0.0500,0.8400,,0.0430,0.1000,,1.5300,0.1800,-0.0100,,,2.5900,,0.0500,-1.6800,,0.0880,0.0200,,0.0000,0.1400,0.3900,,0.0700,1.2100,0.0600,0.0330,35.4520,0.1820,6.2280,11.8260,4.7300,11.4050,251780,358790
550778,0.0000,14.3200,0.4700,,233.6400,-0.0200,,,0.0500,0.4700,0.1600,0.3900,,1.5300,,4.6210,0.4800,1.2300,,0.0550,0.0800,,1.7400,0.0570,0.0900,,,2.2300,,0.0700,-1.3400,,0.0770,-0.0300,,0.0000,0.2200,0.8200,,0.7700,1.5400,0.1200,0.0080,30.7590,0.1490,5.7790,9.3960,3.4610,9.3610,252010,364020
550779,0.0100,15.3500,1.1800,,372.5400,0.0100,,,0.0000,0.0900,0.1900,0.2400,,1.5200,,6.7230,0.0700,1.9500,,0.0220,0.4000,,2.3400,0.2080,-0.0200,,,4.7900,,0.0300,-1.5300,,0.1610,-0.0500,,0.0000,0.6200,0.7400,,0.1500,1.9500,0.1800,0.0280,54.9900,0.1280,6.4540,14.5560,4.2010,6.1190,246250,358180
550780,0.0000,39.4000,4.1200,,35.2600,0.0100,,,0.0200,0.7600,1.6400,0.4900,,1.7900,,1.3910,0.2600,0.9600,,0.1560,0.1600,,2.7700,0.0220,0.1600,,,1.9200,,0.0700,-2.4700,,0.0490,0.0600,,0.0000,0.0000,0.3000,,0.5600,2.9200,0.3800,0.0110,11.6600,1.4650,3.8420,7.7310,2.6990,14.9560,228410,370300
550781,0.0200,64.8200,2.0200,,62.8000,0.0200,,,0.0200,0.1700,0.6000,1.3800,,0.5100,,0.2660,0.0600,1.8000,,0.5040,0.0300,,0.7100,0.0480,0.3300,,,0.3400,,0.0200,0.0000,,0.0500,0.0500,,0.0000,0.0200,1.7000,,0.3800,2.5300,0.8100,0.0090,16.1150,2.8580,3.0700,7.5770,4.9180,1.9990,243460,354690
550782,0.0000,8.5000,0.9600,,76.6100,-0.0100,,,0.0100,0.0800,0.3900,0.2100,,0.8600,,1.6430,0.0200,0.2700,,0.1260,0.0400,,1.5200,0.0150,-0.0200,,,4.1500,,0.0000,0.5700,,0.0750,-0.0400,,0.0700,0.0100,0.0600,,0.1900,0.7700,0.0300,0.0090,18.8190,0.1810,4.9230,12.8930,4.5190,4.0400,204270,362500
550783,0.0000,39.1000,1.0400,,26.1500,0.0400,,,0.0000,0.4100,0.8300,0.8400,,1.1700,,0.6070,0.0800,0.4300,,0.1320,0.0600,,0.8900,0.0360,0.4100,,,0.8900,,0.0200,-0.3800,,0.0450,0.0100,,0.0000,-0.0200,0.5600,,0.2100,1.2200,0.2100,0.0070,8.6550,2.7400,3.4080,11.2650,3.8690,1.4720,201850,363280
550784,0.0100,19.9900,1.5500,,91.0500,-0.0100,,,0.0100,0.1000,1.1400,0.4600,,0.2300,,0.1790,0.0600,1.4500,,2.7970,0.0700,,1.5000,0.0440,0.0300,,,0.5800,,0.0300,-2.0800,,0.0700,0.2400,,0.0000,-0.0100,0.2700,,0.2300,1.6300,0.5100,0.0090,35.9850,3.3150,4.7950,9.5760,3.3050,1.2500,243560,356390
550785,0.0000,11.4500,0.4400,,97.8100,-0.0200,,,0.0200,0.1000,0.1100,0.5000,,0.8300,,0.6720,0.0700,1.8600,,0.1580,0.0600,,1.1000,0.0210,0.0300,,,1.0400,,0.0100,-1.3400,,0.0680,-0.0300,,-0.0100,0.0500,0.4500,,0.2400,0.7700,0.3800,0.0160,40.9040,0.5420,5.1220,10.3150,6.1210,1.3300,245290,356500
550786,0.0000,65.7600,3.7700,,191.6300,-0.0100,,,0.0200,0.5000,1.3800,0.6400,,0.6900,,1.4790,0.2100,1.0700,,4.1040,0.0300,,0.9200,0.1760,0.0900,,,2.0000,,0.0400,-2.6200,,0.0440,0.1100,,-0.0100,-0.0200,0.6200,,0.4000,8.0200,0.3500,0.0120,16.2930,7.9570,2.9840,8.5470,6.5110,1.5590,247920,356490
550788,0.0000,23.2500,1.7800,,553.6400,0.0300,,,0.0000,0.2700,0.2000,0.7800,,0.4300,,1.6160,0.1500,3.5800,,0.1910,0.0900,,1.2600,0.0400,0.0200,,,1.3600,,0.0300,-0.3800,,0.1250,0.0100,,0.0000,0.1700,0.6700,,0.3600,0.7700,0.6500,0.0150,31.1770,1.0330,5.1150,10.6750,7.0240,2.4430,247260,355120
550789,0.0000,82.0100,0.0400,,27.4600,0.0200,,,-0.0100,0.5900,0.2000,0.3500,,0.8900,,0.5240,0.1700,0.2600,,0.0450,0.0200,,0.7300,0.0090,0.1500,,,1.3400,,0.0700,-2.8200,,0.0300,0.0400,,0.0000,0.0300,0.3600,,0.3200,0.7700,0.1000,0.0130,7.2050,0.7350,2.1510,8.5020,1.3150,4.7600,206560,364900
550790,0.0000,6.2600,0.2500,,348.5900,-0.0100,,,0.0100,0.0600,0.1700,0.2400,,0.8800,,3.8650,0.0400,1.3100,,0.0410,0.0600,,1.3100,0.0540,-0.0200,,,2.4800,,0.0200,-2.6900,,0.1000,0.0700,,-0.0100,0.4800,0.3000,,0.0900,1.0800,0.0700,0.0330,48.2130,0.1160,7.4320,12.8770,4.6610,11.5510,250190,361630
550791,0.0500,8.5600,0.1000,,106.4700,-0.0200,,,0.0200,0.0400,0.4000,0.2100,,4.6400,,2.8190,0.0300,3.0300,,0.1110,0.3800,,2.1800,0.0370,0.0200,,,3.6500,,0.0500,-2.4800,,0.2490,0.1000,,0.0000,0.1900,0.1300,,0.0900,1.5400,0.2200,0.0400,59.4620,0.8090,8.9800,15.7550,1.9190,8.2210,220630,368850
550792,0.0000,5.8400,0.1000,,354.1500,0.0000,,,0.0000,0.0500,0.1300,0.2700,,0.8200,,3.7150,0.0500,1.2300,,0.0990,0.1100,,1.2400,0.0980,-0.0100,,,2.2500,,0.0100,-2.8800,,0.0910,0.0000,,-0.0100,0.4100,0.3200,,0.1000,0.7700,0.1000,0.0250,44.3120,0.5830,6.9850,12.4830,4.5880,10.2240,250770,360780
550793,0.0000,10.9300,0.7100,,168.9000,-0.0100,,,0.0300,0.1100,0.1800,0.6200,,0.4000,,2.4720,0.0600,2.5600,,0.3180,0.1000,,0.9900,0.1890,-0.0100,,,1.4500,,0.0200,-2.5000,,0.0500,0.0100,,-0.0100,0.0200,0.6300,,0.2200,1.1000,0.4000,0.0060,40.9090,1.0800,5.0590,11.2130,7.3560,2.3690,245000,355910
550794,0.0000,9.9400,0.1000,,120.4400,0.0000,,,0.0100,0.0900,0.0800,0.4200,,0.5400,,1.5850,0.0400,1.3400,,0.0520,0.0300,,0.8800,0.0200,-0.0200,,,1.2500,,0.0500,-2.0500,,0.0540,0.0500,,0.0000,0.0300,0.2500,,0.1300,0.7700,0.1500,0.0150,28.1500,0.1840,3.9930,9.3220,2.9330,3.9370,247110,356360
550795,0.0000,80.9900,1.4900,,274.0700,-0.0200,,,0.0200,0.2200,0.7800,0.5400,,6.7200,,10.4160,0.1100,2.8700,,1.6150,0.6700,,3.9000,0.1530,1.6500,,,9.0700,,0.0900,-0.3800,,0.1540,0.0000,,0.0000,3.0100,0.7400,,0.0900,2.7000,0.1100,0.0250,63.8070,0.2040,9.6130,18.5120,3.4980,6.5260,245970,359660
550796,0.0000,14.3400,0.4400,,79.9200,-0.0300,,,0.0100,0.1100,0.4000,0.3000,,2.7000,,7.7470,0.0800,3.2300,,0.0900,0.7100,,3.1900,0.0610,0.0100,,,10.4600,,0.0600,-1.3500,,0.4140,0.0300,,0.0000,0.2300,0.2100,,0.1300,1.8400,0.2700,0.0500,71.3540,0.4790,6.9530,19.4410,1.6160,15.5440,215600,367780
550797,0.0000,8.1400,0.3800,,122.2800,-0.0100,,,0.0100,0.0200,0.1500,0.3900,,1.2900,,1.8130,0.0200,1.0200,,0.0270,0.1900,,1.6900,0.0300,-0.0300,,,1.2800,,0.0500,-1.5100,,0.1190,0.0100,,-0.0100,0.3900,0.4700,,0.0400,0.7700,0.0800,0.0340,41.1560,0.0350,5.9390,13.8200,3.3780,4.1790,246650,361300
550798,0.0100,33.2500,0.8200,,144.4400,0.0200,,,0.0500,0.5600,0.7300,0.4100,,2.3700,,12.0770,0.2500,6.2200,,0.0940,2.3900,,5.2400,0.1090,0.1700,,,17.9700,,0.1000,-3.1900,,0.8910,0.0600,,0.0100,0.9600,0.5200,,0.2200,10.3000,0.5500,0.0790,88.1030,0.2490,11.8120,28.4550,1.4470,7.7570,215430,369300
550799,0.0100,16.9700,0.3300,,96.5300,-0.0100,,,0.0100,0.4400,2.2200,0.2200,,5.1400,,3.8900,0.1800,1.5600,,0.7480,0.4500,,4.3600,0.0520,0.1500,,,2.4000,,0.4200,-3.5800,,0.2160,-0.0300,,0.0100,2.3900,0.8500,,0.8900,60.5100,0.0700,0.0230,61.0550,0.3500,8.8980,12.3340,5.2540,6.8840,207620,364410
550800,0.0200,13.6600,0.9800,,278.3200,-0.0300,,,0.0400,0.0400,0.2900,0.5800,,4.3500,,13.0390,0.0500,2.5100,,0.0230,0.2300,,2.3700,0.2170,0.0300,,,6.3700,,0.0600,-2.8300,,0.1340,-0.0400,,-0.0100,3.5800,1.5000,,0.1400,4.8400,0.1900,0.0560,51.5800,0.0690,7.2260,16.8840,5.0500,6.4730,249980,359600
