SAMPLE_NO,YEAR,LABNO,EASTING,NORTHING,TIO2,V,CO,GA,RB,SR,Y,ZR,NB,BI,TH,AG,CS,LA
563289,2005,11329,319331,330064,0.934,91.3,15.3,18.3,109.1,262.5,21.4,433.6,15.8,0.15,15.20,0.25,6.0,49.0
563290,2005,11329,316600,326006,0.800,104.0,21.3,19.1,96.0,198.6,26.8,391.9,15.4,0.15,9.80,0.25,6.0,40.0
563292,2005,11329,317481,326748,0.774,86.2,14.9,17.2,87.4,179.2,25.0,348.0,14.5,0.30,8.50,0.25,6.0,36.0
563293,2005,11329,335672,319291,0.702,73.5,25.6,14.5,122.0,99.7,66.1,485.8,20.0,0.15,22.10,0.25,4.0,61.0
563294,2005,11329,331430,317062,0.472,34.7,4.7,13.8,179.1,69.0,26.4,576.5,15.5,0.40,19.90,0.25,3.0,33.0
563295,2005,11329,319425,323890,0.503,48.2,20.6,22.8,248.4,66.1,125.8,840.7,43.6,0.15,106.70,0.25,15.0,81.0
563297,2005,11329,316440,323560,0.757,91.7,33.8,16.7,83.9,173.9,33.9,412.5,15.0,0.15,8.80,0.25,9.0,46.0
563298,2005,11329,322729,331199,0.785,108.0,14.1,20.3,88.2,222.8,20.0,447.9,13.4,0.30,13.30,0.25,6.0,31.0
563299,2005,11387,319470,331380,0.495,80.5,20.3,11.4,50.3,116.5,31.5,105.6,10.1,0.15,10.60,0.25,4.0,37.0
563300,2005,11329,311491,326242,0.589,97.6,17.4,13.9,40.8,109.3,39.8,107.3,11.1,0.15,11.00,0.25,4.0,68.0
563301,2005,11329,287532,432233,1.093,160.2,35.5,20.1,66.7,135.2,24.6,248.8,14.6,0.15,6.50,0.25,3.0,28.0
563304,2005,11329,281292,432048,1.392,249.3,47.0,18.6,31.1,166.5,24.0,190.4,11.1,0.30,3.50,0.25,1.0,15.0
563305,2005,11329,290408,438306,1.175,246.1,39.2,18.4,32.7,139.3,28.5,239.6,11.9,0.70,3.50,0.25,1.0,20.0
563306,2005,11329,282566,434590,1.509,206.3,29.8,14.7,26.5,118.8,20.6,441.7,12.5,0.30,2.90,0.25,1.0,13.0
563309,2005,11329,293807,436424,1.147,178.3,42.2,16.8,47.2,128.2,25.7,206.1,13.3,0.30,4.70,0.25,2.0,22.0
563311,2005,11329,292525,441670,1.238,213.4,40.7,20.2,51.9,161.4,26.7,194.3,13.4,0.15,5.70,0.25,3.0,24.0
563312,2005,11329,294231,433602,1.116,177.1,40.7,18.1,46.2,140.1,25.2,162.4,13.3,0.40,4.50,0.25,2.0,20.0
563313,2005,11329,290303,439730,1.150,168.8,29.1,15.0,42.6,142.2,22.3,311.9,12.3,0.70,3.80,0.25,2.0,18.0
563314,2005,11329,293422,440094,1.134,161.4,25.4,15.6,43.6,169.3,22.0,273.4,12.6,0.40,3.90,0.25,2.0,19.0
563315,2005,11387,291140,430217,1.133,167.5,41.8,15.3,30.2,128.8,21.9,186.6,12.1,0.50,3.50,0.25,2.0,14.0
563316,2005,11329,284111,439433,1.332,219.3,44.4,18.6,33.8,155.4,27.2,269.2,12.5,0.50,3.70,0.25,2.0,22.0
563317,2005,11329,279248,432724,1.123,164.8,30.5,19.1,68.0,142.4,25.3,232.0,14.6,0.70,6.70,0.25,3.0,28.0
563318,2005,11329,281740,434309,1.227,185.4,44.4,20.6,63.3,133.8,25.2,276.6,14.5,0.60,6.40,0.25,3.0,27.0
563319,2005,11387,322743,439887,1.157,202.5,26.7,24.6,113.5,107.7,31.8,292.2,17.3,0.40,7.40,0.50,6.0,25.0
563321,2005,11387,285506,436223,0.986,190.2,38.3,15.8,39.7,159.0,25.7,168.3,11.3,0.70,4.10,0.25,2.0,22.0
563322,2005,11387,288848,436042,1.179,200.8,43.0,15.0,22.5,115.1,19.2,221.2,11.2,0.15,2.80,0.25,1.0,10.0
563323,2005,11329,286060,438497,1.331,205.3,35.7,17.3,39.3,199.7,25.9,251.5,12.8,0.80,4.70,0.25,2.0,22.0
563324,2005,11329,286284,434460,1.112,191.5,37.5,16.2,31.0,128.8,22.8,157.6,10.6,0.50,3.40,0.25,1.0,14.0
563325,2005,11329,283094,434425,1.270,199.1,42.5,18.1,53.2,152.2,25.1,248.1,14.1,0.15,5.70,0.25,2.0,24.0
563327,2005,11329,288545,432942,1.374,212.8,38.5,16.3,34.3,154.8,26.2,559.8,13.7,0.15,4.90,0.25,1.0,23.0
563329,2005,11329,282863,430374,1.556,222.8,34.4,16.5,38.3,136.0,22.5,603.2,13.2,0.70,3.80,0.25,2.0,19.0
563331,2005,11329,293125,435407,1.123,170.4,33.5,18.0,50.6,138.1,21.9,221.5,13.5,0.40,4.30,0.25,2.0,21.0
563333,2005,11329,287410,432537,1.170,197.6,41.9,17.8,43.9,152.5,26.0,228.6,12.5,0.15,4.40,0.25,2.0,22.0
563335,2005,11329,282742,432570,1.213,192.1,36.6,16.6,43.3,139.3,25.7,264.3,12.8,0.15,4.60,0.25,1.0,21.0
563336,2005,11387,280552,428460,1.361,254.9,72.4,16.0,13.4,162.3,21.0,183.2,8.1,0.15,2.50,0.25,0.5,9.0
563337,2005,11329,290853,436278,1.112,176.7,35.3,16.7,26.9,139.7,21.3,173.0,10.8,0.15,2.80,0.25,1.0,13.0
563338,2005,11329,283112,431406,1.150,174.7,35.6,19.2,57.5,158.0,27.0,244.2,13.8,0.60,4.90,0.25,3.0,25.0
563342,2005,11329,280429,433781,1.279,188.5,36.1,16.8,47.9,124.6,23.3,257.2,13.9,0.15,4.90,0.25,1.0,21.0
563343,2005,11329,293086,439727,1.172,158.9,28.5,20.7,88.1,165.3,29.6,211.5,17.8,0.30,9.20,0.25,5.0,36.0
563344,2005,11329,285159,436353,1.176,226.4,36.8,15.6,25.9,129.5,30.1,167.1,11.5,0.40,3.30,0.25,1.0,17.0
563345,2005,11329,292459,430654,1.245,189.1,35.8,15.9,32.8,152.7,20.3,254.3,12.0,0.80,2.90,0.25,2.0,15.0
563346,2005,11329,291913,437507,1.246,220.8,40.1,19.1,42.8,146.8,25.3,212.9,11.9,0.40,3.20,0.25,2.0,21.0
563349,2005,11329,295924,433737,1.348,237.0,45.9,17.3,19.3,201.7,27.5,217.2,10.3,0.70,2.60,0.25,1.0,13.0
563350,2005,11329,290115,430325,1.065,164.2,38.7,14.9,28.7,140.7,21.7,152.8,10.6,0.50,2.70,0.25,1.0,15.0
563351,2005,11329,322473,440339,1.362,143.8,19.6,22.7,87.8,160.7,35.6,531.5,24.7,0.15,10.00,0.25,3.0,46.0
563352,2005,11329,286680,438087,1.157,164.4,30.5,17.5,59.6,179.9,28.4,266.7,14.7,0.40,5.80,0.25,3.0,28.0
563354,2005,11329,319600,437100,1.171,191.0,43.8,18.2,49.2,178.2,25.1,309.3,13.8,1.00,5.10,0.25,2.0,21.0
563355,2005,11329,295177,435912,1.281,204.4,36.4,18.0,54.9,213.6,25.0,257.9,14.4,0.40,5.10,0.25,3.0,24.0
563356,2005,11387,281067,434913,1.409,220.3,43.0,15.8,39.3,141.4,24.8,461.3,13.1,0.80,4.80,0.25,1.0,22.0
563357,2005,11387,292801,431254,1.087,179.3,39.0,17.5,25.5,143.7,24.1,122.9,10.6,0.40,3.40,0.25,2.0,15.0
563358,2005,11329,322178,440517,1.457,122.4,20.8,19.2,80.4,156.5,38.3,771.2,26.0,0.40,10.50,0.25,3.0,48.0
563362,2005,11387,290592,440886,1.188,206.8,47.0,18.3,35.1,166.4,28.0,164.2,10.9,0.15,4.20,0.25,1.0,20.0
563363,2005,11387,292655,432421,1.060,187.7,65.2,15.7,24.3,141.8,24.4,109.8,10.1,0.30,2.40,0.25,1.0,14.0
563364,2005,11387,288192,440086,1.150,186.7,39.1,14.1,28.1,148.8,20.4,227.5,10.9,0.15,3.60,0.25,1.0,14.0
563367,2005,11329,292635,431826,1.070,157.6,33.0,19.4,60.7,155.8,23.4,177.5,14.4,0.70,5.60,0.25,3.0,26.0
563368,2005,11329,292146,432733,1.302,204.2,43.5,15.0,36.0,199.7,25.6,227.6,11.9,0.30,3.50,0.25,1.0,18.0
563372,2005,11329,282092,432336,1.104,206.2,30.6,14.4,36.0,136.9,24.9,288.8,12.3,0.15,4.30,0.25,2.0,19.0
563373,2005,11329,279069,432078,1.314,211.6,35.0,19.7,52.7,175.5,26.1,220.1,13.3,0.60,4.50,0.25,2.0,23.0
563374,2005,11329,279030,429030,1.618,260.0,51.1,16.6,20.7,206.6,25.3,216.6,10.0,0.15,3.20,0.25,1.0,12.0
563375,2005,11329,289761,437511,1.190,176.4,34.7,17.2,32.5,106.9,21.3,214.5,12.2,1.10,3.40,0.25,2.0,15.0
563376,2005,11387,285064,438888,1.394,226.6,38.6,16.5,27.9,171.1,23.2,371.6,11.2,1.00,3.00,0.25,1.0,15.0
563377,2005,11387,288654,430506,1.183,192.4,52.4,17.4,35.6,132.5,25.5,258.9,11.4,0.15,3.80,0.25,2.0,19.0
563378,2005,11387,294784,434743,1.063,171.1,40.2,15.6,38.5,150.1,20.5,199.6,11.5,0.50,3.90,0.25,1.0,17.0
563380,2005,11329,280124,431528,1.404,273.7,35.8,15.6,39.7,181.8,25.8,546.5,12.7,0.50,4.50,0.25,2.0,19.0
563381,2005,11329,280169,433246,1.263,178.2,35.5,17.4,56.2,119.1,26.0,290.4,14.5,0.15,5.70,0.25,2.0,24.0
563384,2005,11329,291209,441427,1.124,163.0,26.6,16.6,58.6,223.5,23.7,223.3,14.3,0.80,5.60,0.25,3.0,26.0
563385,2005,11329,292671,438356,1.266,213.5,34.6,19.9,41.4,144.1,25.0,222.8,13.3,0.40,4.50,0.25,1.0,20.0
563387,2005,11329,289194,433893,1.167,197.5,33.1,14.6,32.8,113.3,20.5,247.8,12.1,0.50,3.40,0.25,2.0,16.0
563388,2005,11329,288889,430328,1.167,178.8,48.5,18.1,42.5,146.7,26.3,184.6,12.1,0.40,3.80,0.25,2.0,20.0
563389,2005,11329,289787,432400,1.357,208.7,38.5,17.0,38.5,186.4,25.1,297.6,12.9,1.20,3.20,0.25,1.0,18.0
563390,2005,11329,292136,439652,1.387,217.4,29.3,20.1,51.5,198.6,35.7,389.9,14.1,0.40,6.50,0.25,3.0,31.0
563391,2005,11387,293288,432769,1.032,171.9,73.1,14.6,25.8,112.4,24.4,204.9,10.2,0.50,3.10,0.25,1.0,16.0
563392,2005,11329,320334,440212,1.047,165.6,23.6,22.2,75.7,177.6,56.3,390.7,20.8,0.60,10.10,0.25,1.0,68.0
563393,2005,11329,293135,440649,1.181,177.2,28.3,21.8,58.3,107.1,25.2,193.8,15.1,0.15,7.00,0.25,3.0,26.0
563394,2005,11387,279658,434887,1.001,158.3,25.8,15.8,55.2,118.7,24.3,246.3,13.2,0.15,5.60,0.25,2.0,23.0
563395,2005,11329,283030,428604,1.757,277.0,68.1,21.3,12.5,183.4,24.3,182.0,8.8,0.15,0.90,0.25,0.5,9.0
563397,2005,11329,278048,432894,1.179,250.9,44.7,16.4,32.7,143.2,24.0,276.7,11.4,0.40,3.40,0.25,1.0,17.0
563400,2005,11387,296185,434589,1.019,189.0,40.9,11.8,20.7,164.6,21.1,191.9,9.3,0.30,2.60,0.25,1.0,10.0
563401,2005,11298,321998,322362,0.559,41.9,5.2,21.1,233.2,20.0,101.7,1119.6,28.6,0.15,69.80,0.25,7.0,119.0
563402,2005,11298,327914,333920,0.933,117.4,27.3,18.4,91.8,204.6,25.2,390.9,16.0,0.15,11.80,0.25,6.0,44.0
563403,2005,11298,321163,322376,0.874,45.7,4.4,21.7,275.5,22.1,83.3,1870.6,41.6,0.70,95.20,0.25,7.0,127.0
563404,2005,11298,316179,332081,0.876,111.7,24.8,17.7,80.5,230.3,22.7,799.6,15.0,0.30,15.00,0.25,5.0,34.0
563405,2005,11298,330146,324329,0.439,26.0,8.8,24.0,310.4,16.8,94.1,916.9,37.4,0.15,104.80,0.25,11.0,112.0
563406,2005,11298,330491,332803,0.856,97.7,37.9,17.1,75.9,169.1,29.2,303.2,14.8,0.15,9.00,0.25,5.0,40.0
563407,2005,11298,314392,331043,0.752,83.1,22.0,17.3,79.4,246.0,17.3,343.5,13.7,0.15,10.00,0.25,5.0,28.0
563408,2005,11298,332068,321485,0.701,63.3,19.6,19.3,185.7,60.2,112.6,857.3,33.0,0.15,63.40,0.25,7.0,103.0
563409,2005,11298,325293,321442,0.421,29.1,5.0,24.7,348.6,14.2,75.2,643.1,31.8,0.15,69.50,0.25,11.0,90.0
563412,2005,11298,330831,331437,0.828,92.0,22.9,17.3,84.9,113.6,24.7,345.0,15.8,0.30,8.20,0.25,6.0,37.0
563413,2005,11298,327168,335606,0.827,86.9,19.1,16.2,73.9,215.6,23.6,336.2,14.9,0.60,11.10,0.25,5.0,36.0
563414,2005,11298,328796,332804,0.886,90.3,20.6,15.3,71.3,343.7,21.3,503.5,15.8,0.15,10.35,0.25,5.0,39.0
563415,2005,11298,327341,326815,0.783,115.1,62.8,18.2,116.0,67.4,35.8,357.1,16.9,0.50,24.00,0.25,9.0,49.0
563417,2005,11298,314727,329533,0.809,100.1,23.5,18.3,72.6,214.1,25.8,450.8,14.5,0.15,12.40,0.25,7.0,35.0
563418,2005,11298,329644,326639,0.501,34.6,7.3,29.4,333.3,23.3,131.5,688.5,48.9,0.15,126.80,0.25,16.0,88.0
563419,2005,11298,326317,326363,0.700,86.8,11.4,17.1,99.2,155.4,32.6,672.7,16.4,0.60,38.20,0.25,9.0,40.0
563420,2005,11298,320610,327070,0.848,96.5,16.9,18.1,87.9,177.6,25.7,631.6,15.9,0.15,13.90,0.25,5.0,39.0
563421,2005,11298,317075,333071,0.761,81.0,17.5,17.7,79.7,280.8,19.1,432.4,13.9,0.15,10.50,0.25,4.0,28.0
563423,2005,11298,323936,324210,0.588,28.4,6.0,33.1,324.5,13.5,128.6,988.8,56.1,0.15,165.00,0.25,15.0,210.0
563425,2005,11298,329036,325135,0.526,42.8,8.1,28.9,273.0,17.6,132.4,920.2,40.4,0.15,116.70,0.25,12.0,154.0
563426,2005,11298,327022,325915,0.539,109.1,20.7,12.6,60.0,81.1,23.3,171.1,11.6,1.20,8.00,0.25,5.0,30.0
563427,2005,11298,320780,337301,0.856,99.2,14.5,18.1,74.7,229.0,20.2,612.9,14.1,0.15,12.40,0.25,4.0,30.0
563428,2005,11298,324145,325390,0.417,37.5,8.4,24.5,298.6,14.8,107.0,711.1,34.5,0.15,103.40,0.25,11.0,147.0
563429,2005,11298,325038,327837,0.432,48.4,9.5,21.1,257.1,32.1,126.2,577.9,34.9,0.15,95.40,0.25,9.0,74.0
563430,2005,11298,322171,336086,0.831,92.4,23.2,17.8,96.7,204.4,26.0,521.6,15.6,0.15,17.40,0.25,6.0,39.0
563431,2005,11298,319558,336896,0.946,110.8,22.5,19.1,87.4,233.7,19.4,399.8,14.7,0.40,12.10,0.25,5.0,33.0
563432,2005,11298,331189,330167,0.451,23.5,6.2,27.2,329.7,17.3,200.4,1523.2,51.2,0.90,143.80,0.25,13.0,148.0
563433,2005,11298,312251,322267,0.762,104.4,19.7,17.9,86.8,131.9,22.4,335.3,14.8,0.15,8.70,0.25,5.0,30.0
563434,2005,11298,313844,329965,0.792,69.8,11.0,17.5,70.5,300.8,19.2,699.7,15.6,0.60,9.80,0.25,4.0,31.0
563436,2005,11298,322217,324115,0.695,54.4,21.5,24.6,208.9,31.8,80.1,935.6,35.2,1.10,73.40,0.25,11.0,95.0
563437,2005,11298,315792,332125,0.790,89.3,16.8,17.7,77.3,241.8,22.3,519.0,14.3,0.40,12.60,0.25,6.0,36.0
563440,2005,11298,325363,322662,0.532,21.3,4.3,29.4,225.8,17.5,188.3,465.3,29.9,0.15,105.70,0.25,11.0,134.0
563441,2005,11298,329375,329564,0.590,59.7,11.5,19.6,179.5,80.9,43.8,475.8,21.7,0.15,30.50,0.25,11.0,50.0
563442,2005,11298,312686,326445,0.996,100.9,13.6,16.6,74.8,237.1,25.8,1044.8,17.4,0.15,13.00,0.25,6.0,34.0
563443,2005,11298,326283,329466,0.848,101.3,43.0,18.8,97.9,154.2,26.3,379.7,15.6,0.70,9.90,0.25,6.0,40.0
563445,2005,11298,330715,331055,0.751,96.4,24.9,17.9,118.0,137.5,32.6,335.4,16.6,0.15,14.40,0.25,11.0,44.0
563446,2005,11298,329914,330308,0.656,85.3,23.0,17.7,120.3,105.5,39.1,324.6,16.2,0.50,16.50,0.25,7.0,42.0
563447,2005,11298,328879,323502,0.469,63.4,11.7,20.8,221.5,21.7,273.4,329.2,27.8,1.60,68.30,0.25,9.0,175.0
563448,2005,11298,326454,338803,0.878,100.3,15.2,15.9,75.4,207.6,22.6,500.7,14.3,0.40,10.60,0.25,5.0,34.0
563449,2005,11298,328445,328114,0.764,113.3,34.5,19.3,154.0,58.2,44.2,299.6,18.6,0.15,23.90,0.25,11.0,52.0
563453,2005,11298,319559,337530,0.925,107.8,18.6,18.8,76.0,221.1,19.6,492.6,15.1,0.15,11.30,0.25,5.0,30.0
563454,2005,11298,325099,324833,0.595,43.2,11.6,29.2,282.2,29.8,171.5,1137.1,65.2,0.15,202.90,0.25,13.0,170.0
563456,2005,11298,327440,327258,0.938,135.6,32.9,19.0,102.3,90.4,28.0,243.7,16.0,0.15,10.00,0.25,13.0,41.0
563457,2005,11298,327083,322693,0.693,102.0,36.4,15.2,83.8,90.6,54.2,216.3,14.6,0.15,15.20,0.25,9.0,42.0
563458,2005,11298,320395,327118,0.832,102.0,21.8,20.3,100.6,149.9,23.6,346.2,15.1,0.15,9.90,0.25,5.0,36.0
563459,2005,11298,325487,334117,0.759,75.2,10.0,15.6,78.7,265.0,19.1,677.2,14.6,0.15,12.10,0.25,4.0,29.0
563461,2005,11298,326823,338738,0.884,98.2,17.5,15.4,71.5,245.1,22.0,691.7,14.6,0.50,11.30,0.25,4.0,31.0
563462,2005,11298,324510,326134,0.541,47.7,29.2,25.2,215.5,60.1,134.9,593.2,39.7,0.90,114.90,0.25,11.0,122.0
563463,2005,11298,319566,335482,0.800,101.2,16.8,18.2,83.6,242.7,20.7,477.1,13.8,0.15,13.20,0.25,7.0,33.0
563465,2005,11298,315330,332450,0.786,87.3,17.7,17.5,75.6,248.6,18.6,490.2,14.1,0.15,11.20,0.25,5.0,28.0
563466,2005,11298,327871,334982,0.930,102.7,25.7,17.7,71.6,263.8,23.4,527.3,16.3,0.30,13.20,0.25,5.0,40.0
563467,2005,11298,319318,324308,0.744,106.2,58.5,15.9,80.3,150.5,24.2,281.5,14.3,0.40,8.60,0.25,7.0,36.0
563469,2005,11298,322498,322209,0.469,30.3,7.0,25.5,312.2,19.8,91.1,813.9,34.0,0.15,103.40,0.25,11.0,132.0
563470,2005,11298,325039,334734,0.820,97.8,24.7,16.4,74.2,162.9,25.3,210.7,14.1,0.15,11.30,0.25,6.0,37.0
563472,2005,11298,314295,330620,0.811,118.5,36.1,18.0,76.0,217.5,25.3,587.4,15.3,0.30,13.60,0.25,6.0,38.0
563473,2005,11298,326076,328890,0.960,98.2,32.9,18.5,92.8,81.6,24.6,447.7,16.8,2.90,8.90,0.25,11.0,36.0
563474,2005,11298,323782,324190,0.438,33.9,10.2,27.3,383.0,11.1,80.1,580.9,37.6,0.15,95.80,0.25,12.0,133.0
563476,2005,11298,322714,338735,0.893,107.3,13.5,15.3,79.3,259.7,22.5,670.8,14.4,0.40,11.30,0.25,3.0,30.0
563477,2005,11298,325208,321023,0.659,51.7,23.8,25.0,144.8,22.4,80.9,705.3,33.5,0.15,80.00,0.25,9.0,103.0
563480,2005,11298,330674,325325,0.401,13.8,3.2,32.0,388.0,18.3,124.2,955.6,52.9,0.15,136.80,0.25,15.0,128.0
563482,2005,11298,328257,332510,0.880,113.7,22.1,19.9,93.8,205.2,26.6,351.4,16.0,0.15,11.30,0.25,7.0,40.0
563483,2005,11298,316959,332461,0.745,82.5,16.8,18.7,83.0,282.5,18.6,576.8,14.5,0.15,11.50,0.25,6.0,29.0
563484,2005,11298,313249,331235,0.939,117.7,17.4,19.5,80.3,164.9,25.7,272.1,14.7,0.15,12.50,0.25,11.0,37.0
563485,2005,11298,325476,320214,0.532,35.0,7.4,18.6,239.0,27.8,139.9,2001.0,34.3,0.15,112.70,0.25,7.0,157.0
563487,2005,11298,331197,333316,0.860,83.2,15.3,15.3,70.4,323.8,30.6,409.1,15.2,0.15,11.40,0.25,5.0,43.0
563488,2005,11298,325505,333129,0.854,91.3,16.9,14.6,71.2,269.0,20.9,511.6,15.5,0.50,11.60,0.25,4.0,34.0
563489,2005,11298,313211,329989,0.768,92.0,24.0,17.7,77.0,233.3,19.8,494.1,13.8,0.40,10.90,0.25,5.0,29.0
563490,2005,11298,316393,333057,0.973,114.4,16.8,20.9,99.9,161.8,36.9,223.7,14.8,0.15,14.00,0.25,6.0,57.0
563491,2005,11298,320133,323118,0.494,54.3,25.4,15.9,150.8,66.5,64.8,323.9,20.4,0.60,34.20,0.25,7.0,69.0
563492,2005,11298,328204,333978,0.842,77.3,12.5,14.6,72.4,375.3,18.8,1361.9,16.2,0.40,14.40,0.25,4.0,42.0
563493,2005,11298,325598,323210,0.679,67.4,19.5,21.5,211.0,57.1,89.2,586.7,32.6,0.15,87.10,0.25,11.0,73.0
563495,2005,11298,317286,332781,1.061,135.0,23.5,22.1,99.8,146.0,25.1,150.1,14.8,0.15,15.70,0.25,11.0,49.0
563496,2005,11298,331277,322810,0.256,15.9,15.7,16.7,180.7,12.5,188.8,545.9,22.7,0.15,54.60,0.25,5.0,100.0
563497,2005,11298,323325,324559,0.475,17.5,4.4,25.1,358.1,11.4,83.4,762.5,36.5,0.15,98.60,0.25,11.0,135.0
563498,2005,11298,327017,327809,0.890,99.4,31.9,17.0,79.0,100.6,24.5,364.3,15.2,0.15,8.10,0.25,6.0,33.0
563499,2005,11298,321828,322004,0.749,26.5,2.4,22.4,276.3,21.0,82.2,1683.0,37.8,0.15,80.10,0.25,7.0,113.0
563501,2005,11387,319348,439312,1.044,136.1,38.4,22.2,95.2,161.2,31.8,426.1,22.0,0.15,10.70,0.25,2.0,40.0
563502,2005,11387,303531,439424,1.054,198.9,42.0,15.4,23.3,131.5,24.3,268.3,10.6,0.15,3.20,0.25,1.0,14.0
563503,2005,11329,302339,443406,1.710,370.4,100.4,25.1,16.5,54.1,53.4,187.0,9.6,0.90,1.40,0.25,0.5,19.0
563504,2005,11329,298381,442980,1.290,205.4,39.3,17.2,28.2,148.5,22.9,290.5,12.4,0.60,3.20,0.25,1.0,17.0
563505,2005,11387,298192,443968,1.117,190.0,67.2,15.4,35.5,144.7,24.4,334.9,12.7,0.15,5.00,0.25,1.0,20.0
563506,2005,11329,305576,441131,1.102,243.6,40.7,16.5,23.6,154.7,22.5,272.1,10.9,0.70,2.40,0.25,1.0,17.0
563507,2005,11387,293606,428329,0.800,122.3,12.9,11.8,21.8,77.3,22.5,139.1,9.9,0.15,2.40,0.25,2.0,12.0
563509,2005,11387,309035,436547,1.133,148.4,28.5,22.2,99.9,173.6,34.9,306.1,16.9,0.40,10.20,0.25,2.0,45.0
563511,2005,11387,319781,437245,1.375,209.7,45.6,19.0,48.8,196.1,22.6,278.7,13.7,0.30,5.10,0.25,2.0,19.0
563513,2005,11329,290494,426847,1.090,165.0,37.9,18.0,46.5,100.2,26.9,171.7,12.5,0.15,4.80,0.25,3.0,20.0
563515,2005,11387,297459,445252,0.718,215.5,102.7,11.6,22.1,101.2,58.1,170.9,9.6,0.15,3.80,0.25,1.0,28.0
563517,2005,11387,304742,444576,1.297,211.7,51.9,16.4,25.8,203.7,27.6,137.0,10.5,0.40,2.80,0.25,1.0,21.0
563518,2005,11329,286560,421569,1.425,244.2,44.4,19.9,31.5,132.4,29.2,195.4,12.1,0.15,4.00,0.25,1.0,19.0
563519,2005,11329,304044,440439,0.939,172.7,35.1,13.3,36.0,150.2,21.8,227.7,11.3,0.40,3.00,0.25,1.0,18.0
563520,2005,11329,298022,435892,0.942,159.5,36.9,14.8,32.6,156.2,20.9,142.3,10.9,0.30,3.10,0.25,1.0,15.0
563522,2005,11329,295203,441833,1.668,285.0,53.9,25.8,44.5,99.8,46.6,198.9,12.3,0.80,3.70,0.25,1.0,26.0
563523,2005,11329,306066,441381,1.327,237.2,39.2,17.7,26.2,201.3,22.4,376.3,12.5,0.50,3.50,0.25,1.0,17.0
563524,2005,11329,292135,427687,1.216,197.4,44.5,17.8,35.6,160.8,27.5,249.1,11.8,0.15,4.20,0.25,1.0,18.0
563526,2005,11329,300750,436513,1.070,225.2,40.7,14.7,19.3,161.3,25.0,149.8,9.5,0.15,2.30,0.25,1.0,11.0
563527,2005,11329,297295,442382,1.455,249.4,70.6,19.7,25.4,104.6,31.4,245.7,11.2,0.15,3.50,0.25,1.0,18.0
563529,2005,11329,303598,442123,1.026,160.3,26.1,15.0,48.7,127.8,25.2,258.1,13.4,0.40,4.50,0.25,2.0,21.0
563530,2005,11387,318087,435265,1.534,189.1,37.2,22.0,72.4,159.9,25.8,599.5,18.6,0.50,6.10,0.25,2.0,24.0
563532,2005,11387,319841,436005,1.088,160.9,36.0,21.0,72.2,168.8,24.5,295.4,15.6,0.15,6.00,0.25,3.0,22.0
563534,2005,11329,294461,440157,1.263,182.3,23.0,21.9,73.7,159.4,31.1,238.2,16.7,0.50,7.90,0.25,4.0,34.0
563535,2005,11329,300436,443603,1.749,276.2,47.6,19.3,25.1,99.0,24.0,278.0,12.6,0.40,3.00,0.25,1.0,15.0
563539,2005,11329,294781,438296,1.353,228.7,38.2,17.7,32.8,181.2,25.5,176.7,12.0,0.40,3.20,0.25,1.0,17.0
563540,2005,11329,316993,438972,1.209,123.7,34.4,17.6,68.3,126.1,28.5,937.8,19.0,1.30,6.90,0.25,2.0,31.0
563542,2005,11387,286461,422861,1.352,212.3,53.3,18.5,31.1,161.7,24.9,164.4,10.6,0.15,3.50,0.25,2.0,14.0
563544,2005,11387,303171,443757,1.367,243.2,47.5,17.1,24.4,119.1,25.6,193.9,10.8,0.90,2.30,0.25,1.0,16.0
563545,2005,11387,309130,437522,1.250,123.1,27.9,17.5,50.2,152.7,33.4,233.7,13.4,0.15,6.20,0.25,1.0,30.0
563546,2005,11329,294207,428281,1.411,185.7,11.9,10.4,23.5,134.7,20.7,453.1,12.9,0.15,2.70,0.25,1.0,10.0
563547,2005,11329,295556,441504,1.215,231.2,56.6,18.5,28.4,150.7,25.4,199.6,10.6,0.60,2.80,0.25,1.0,19.0
563550,2005,11329,315923,437210,0.807,111.3,38.1,19.8,90.8,137.3,73.4,342.6,17.7,0.15,12.60,0.25,1.0,114.0
563551,2005,11387,318943,434924,0.984,137.3,15.4,21.5,87.1,118.6,23.7,285.9,17.8,0.30,8.40,0.25,3.0,25.0
563552,2005,11329,288330,428201,1.174,189.0,52.8,18.5,49.8,142.1,24.9,226.1,12.3,0.15,5.10,0.25,2.0,22.0
563553,2005,11329,299168,435872,1.156,211.2,28.9,16.9,59.9,145.8,30.0,328.4,15.1,0.15,6.20,0.25,3.0,27.0
563554,2005,11387,294201,429018,0.599,102.0,26.0,8.9,22.4,78.6,16.0,107.3,9.2,0.15,3.00,0.25,1.0,9.0
563555,2005,11387,299083,435411,0.954,186.1,55.4,14.2,25.0,146.4,24.3,197.3,10.2,1.00,2.40,0.25,1.0,14.0
563557,2005,11387,319409,435203,1.100,139.1,18.9,22.8,99.1,154.1,26.8,660.5,19.7,0.90,6.50,0.25,4.0,20.0
563559,2005,11329,301681,443208,1.531,293.5,57.0,19.8,24.9,155.8,30.4,231.9,11.5,0.50,3.00,0.25,1.0,21.0
563561,2005,11387,298461,436120,0.995,186.5,50.6,14.6,22.6,151.0,22.1,174.9,10.8,0.15,3.50,0.25,1.0,13.0
563564,2005,11329,298510,437939,1.085,182.8,41.2,16.0,27.3,144.6,21.9,274.7,12.3,0.50,2.50,0.25,2.0,18.0
