Council,Date,Financial,Value ($000)
Waikato Region,2015,33 Renewals,0
Waikato Region,2015,34 Purchasing of Other Investments,470
Waikato Region,2015,35 Net Investing Cash Flows,-8262
Waikato Region,2015,36 Cash Receipts from Financing Activities,0
Waikato Region,2015,37 Cash Outgoings from Financing Activities,0
Waikato Region,2015,38 Net Financing Cash Flows,0
Waikato Region,2016,27 Operating receipts,125979
Waikato Region,2016,28 Operating Payments,115287
Waikato Region,2016,29 Net Operating Cash Flows,10692
Waikato Region,2016,30 Receipts from Investing Activities,0
Waikato Region,2016,31 Purchase of Property Plant & Equipment,7917
Waikato Region,2016,32 Fixed Asset Purchases,0
Waikato Region,2016,33 Renewals,0
Waikato Region,2016,34 Purchasing of Other Investments,469
Waikato Region,2016,35 Net Investing Cash Flows,-8386
Waikato Region,2016,36 Cash Receipts from Financing Activities,0
Waikato Region,2016,37 Cash Outgoings from Financing Activities,0
Waikato Region,2016,38 Net Financing Cash Flows,0
Waikato Region,2017,27 Operating receipts,131727
Waikato Region,2017,28 Operating Payments,121246
Waikato Region,2017,29 Net Operating Cash Flows,10481
Waikato Region,2017,30 Receipts from Investing Activities,0
Waikato Region,2017,31 Purchase of Property Plant & Equipment,8076
Waikato Region,2017,32 Fixed Asset Purchases,0
Waikato Region,2017,33 Renewals,0
Waikato Region,2017,34 Purchasing of Other Investments,465
Waikato Region,2017,35 Net Investing Cash Flows,-8541
Waikato Region,2017,36 Cash Receipts from Financing Activities,0
Waikato Region,2017,37 Cash Outgoings from Financing Activities,0
Waikato Region,2017,38 Net Financing Cash Flows,0
Waikato Region,2018,27 Operating receipts,137954
Waikato Region,2018,28 Operating Payments,127148
Waikato Region,2018,29 Net Operating Cash Flows,10806
Waikato Region,2018,30 Receipts from Investing Activities,0
Waikato Region,2018,31 Purchase of Property Plant & Equipment,8189
Waikato Region,2018,32 Fixed Asset Purchases,0
Waikato Region,2018,33 Renewals,0
Waikato Region,2018,34 Purchasing of Other Investments,463
Waikato Region,2018,35 Net Investing Cash Flows,-8652
Waikato Region,2018,36 Cash Receipts from Financing Activities,0
Waikato Region,2018,37 Cash Outgoings from Financing Activities,0
Waikato Region,2018,38 Net Financing Cash Flows,0
Waikato Region,2019,27 Operating receipts,140174
Waikato Region,2019,28 Operating Payments,129188
Waikato Region,2019,29 Net Operating Cash Flows,10986
Waikato Region,2019,30 Receipts from Investing Activities,0
Waikato Region,2019,31 Purchase of Property Plant & Equipment,8302
Waikato Region,2019,32 Fixed Asset Purchases,0
Waikato Region,2019,33 Renewals,0
Waikato Region,2019,34 Purchasing of Other Investments,462
Waikato Region,2019,35 Net Investing Cash Flows,-8764
Waikato Region,2019,36 Cash Receipts from Financing Activities,0
Waikato Region,2019,37 Cash Outgoings from Financing Activities,0
Waikato Region,2019,38 Net Financing Cash Flows,0
Bay of Plenty Region,2010,27 Operating receipts,67340
Bay of Plenty Region,2010,28 Operating Payments,67526
Bay of Plenty Region,2010,29 Net Operating Cash Flows,-186
Bay of Plenty Region,2010,30 Receipts from Investing Activities,295
Bay of Plenty Region,2010,31 Purchase of Property Plant & Equipment,8303
Bay of Plenty Region,2010,32 Fixed Asset Purchases,0
Bay of Plenty Region,2010,33 Renewals,0
Bay of Plenty Region,2010,34 Purchasing of Other Investments,814
Bay of Plenty Region,2010,35 Net Investing Cash Flows,-8822
Bay of Plenty Region,2010,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2010,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2010,38 Net Financing Cash Flows,0
Bay of Plenty Region,2011,27 Operating receipts,77820
Bay of Plenty Region,2011,28 Operating Payments,74469
Bay of Plenty Region,2011,29 Net Operating Cash Flows,3351
Bay of Plenty Region,2011,30 Receipts from Investing Activities,6079
Bay of Plenty Region,2011,31 Purchase of Property Plant & Equipment,8508
Bay of Plenty Region,2011,32 Fixed Asset Purchases,0
Bay of Plenty Region,2011,33 Renewals,0
Bay of Plenty Region,2011,34 Purchasing of Other Investments,923
Bay of Plenty Region,2011,35 Net Investing Cash Flows,-3352
Bay of Plenty Region,2011,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2011,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2011,38 Net Financing Cash Flows,0
Bay of Plenty Region,2012,27 Operating receipts,83785
Bay of Plenty Region,2012,28 Operating Payments,92653
Bay of Plenty Region,2012,29 Net Operating Cash Flows,-8868
Bay of Plenty Region,2012,30 Receipts from Investing Activities,13785
Bay of Plenty Region,2012,31 Purchase of Property Plant & Equipment,10655
Bay of Plenty Region,2012,32 Fixed Asset Purchases,0
Bay of Plenty Region,2012,33 Renewals,0
Bay of Plenty Region,2012,34 Purchasing of Other Investments,678
Bay of Plenty Region,2012,35 Net Investing Cash Flows,2452
Bay of Plenty Region,2012,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2012,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2012,38 Net Financing Cash Flows,0
Bay of Plenty Region,2013,27 Operating receipts,85706
Bay of Plenty Region,2013,28 Operating Payments,90718
Bay of Plenty Region,2013,29 Net Operating Cash Flows,-5012
Bay of Plenty Region,2013,30 Receipts from Investing Activities,12116
Bay of Plenty Region,2013,31 Purchase of Property Plant & Equipment,14229
Bay of Plenty Region,2013,32 Fixed Asset Purchases,0
Bay of Plenty Region,2013,33 Renewals,0
Bay of Plenty Region,2013,34 Purchasing of Other Investments,370
Bay of Plenty Region,2013,35 Net Investing Cash Flows,-2483
Bay of Plenty Region,2013,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2013,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2013,38 Net Financing Cash Flows,0
Bay of Plenty Region,2014,27 Operating receipts,84713
Bay of Plenty Region,2014,28 Operating Payments,83341
Bay of Plenty Region,2014,29 Net Operating Cash Flows,1372
Bay of Plenty Region,2014,30 Receipts from Investing Activities,18395
Bay of Plenty Region,2014,31 Purchase of Property Plant & Equipment,17844
Bay of Plenty Region,2014,32 Fixed Asset Purchases,0
Bay of Plenty Region,2014,33 Renewals,0
Bay of Plenty Region,2014,34 Purchasing of Other Investments,1398
Bay of Plenty Region,2014,35 Net Investing Cash Flows,-847
Bay of Plenty Region,2014,36 Cash Receipts from Financing Activities,0
Bay of Plenty Region,2014,37 Cash Outgoings from Financing Activities,0
Bay of Plenty Region,2014,38 Net Financing Cash Flows,0
Bay of Plenty Region,2015,27 Operating receipts,85863
Bay of Plenty Region,2015,28 Operating Payments,90516
Bay of Plenty Region,2015,29 Net Operating Cash Flows,-4653
Bay of Plenty Region,2015,30 Receipts from Investing Activities,12228
Bay of Plenty Region,2015,31 Purchase of Property Plant & Equipment,5446
