Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Sum,Maledlarecipunder16,Maledlarecip16to34,Maledlarecip35to49,Maledlarecip50to64,Maledlarecip65plus,Femaledlarecipunder16,Femaledlarecip16to34,Femaledlarecip35to49,Femaledlarecip50to64,Femaledlarecip65plus
95GG36,ORANGEFIELD,BELFAST,470,30,40,30,60,70,20,20,40,70,90
95GG37,RAVENHILL,BELFAST,420,30,30,30,50,60,10,20,40,80,80
95GG38,ROSETTA,BELFAST,460,40,40,40,60,50,10,20,50,70,90
95GG39,SHAFTESBURY,BELFAST,1330,80,130,150,220,140,30,60,140,200,190
95GG40,SHANKILL,BELFAST,910,60,60,70,110,140,20,50,80,160,170
95GG41,STORMONT,BELFAST,250,20,20,10,30,40,10,10,10,40,80
95GG42,STRANMILLIS,BELFAST,180,20,30,10,20,20,10,10,10,30,30
95GG43,SYDENHAM,BELFAST,570,30,40,30,70,80,20,30,50,90,140
95GG44,THE MOUNT,BELFAST,880,60,80,110,120,100,20,50,90,150,110
95GG45,UPPER MALONE,BELFAST,480,40,40,30,80,60,20,30,30,90,70
95GG46,UPPER SPRINGFIELD,BELFAST,1410,80,120,110,190,150,40,70,130,260,250
95GG47,WATER WORKS,BELFAST,1390,80,140,170,230,130,40,90,130,200,180
95GG48,WHITEROCK,BELFAST,1540,90,120,140,210,140,40,110,170,290,230
95GG49,WINDSOR,BELFAST,370,10,40,50,60,50,0,30,40,50,50
95GG50,WOODSTOCK,BELFAST,750,50,50,80,100,70,20,50,90,120,120
95GG51,WOODVALE,BELFAST,800,30,50,60,100,100,10,30,80,150,180
95HH01,BLACKHEAD,CARRICKFERGUS,170,10,10,10,20,30,10,0,20,30,30
95HH02,BLUEFIELD,CARRICKFERGUS,200,20,10,10,20,30,10,10,10,40,40
95HH03,BONEYBEFORE,CARRICKFERGUS,120,10,10,0,20,20,0,0,10,20,30
95HH04,BURLEIGH HILL,CARRICKFERGUS,260,20,10,10,30,40,10,10,20,60,70
95HH05,CLIPPERSTOWN,CARRICKFERGUS,250,10,20,30,20,20,10,20,30,40,40
95HH06,EDEN,CARRICKFERGUS,380,40,30,30,50,30,20,20,40,70,50
95HH07,GORTALEE,CARRICKFERGUS,180,10,20,20,20,20,0,10,20,30,30
95HH08,GREENISLAND,CARRICKFERGUS,220,20,10,10,30,30,10,10,20,30,50
95HH09,KILLYCROT,CARRICKFERGUS,420,20,30,40,70,50,10,20,50,70,70
95HH10,KNOCKAGH,CARRICKFERGUS,130,10,20,10,20,20,0,0,10,20,30
95HH11,LOVE LANE,CARRICKFERGUS,230,20,10,20,30,30,10,10,30,30,50
95HH12,MILEBUSH,CARRICKFERGUS,160,10,10,10,20,30,10,10,10,30,30
95HH13,NORTHLAND,CARRICKFERGUS,200,20,20,10,20,20,10,20,20,30,20
95HH14,SUNNYLANDS,CARRICKFERGUS,240,20,20,20,30,40,0,10,20,40,50
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,280,20,20,20,30,40,10,20,20,40,60
95HH16,WHITEHEAD,CARRICKFERGUS,130,10,10,10,20,20,10,10,10,20,20
95HH17,WOODBURN,CARRICKFERGUS,190,20,10,10,20,40,10,0,20,30,30
