Play area name,Facility,Address,Neighborhood,Dedicated Park,AKA Name,Spring Rider,Modular 2-5,Modular 5-12,Modular 2-12,Swing Frame,Climber,Whirl,Slide (Stand Alone),Type of Safety Surface,Swing JR,Swing Baby,,,,,,,,,
Townsend,TOWNSEND PARKLET,Chartiers Ave. & Ernie St.,Elliott,Western,,,1,1,,X,,,,Greenpark Breakfall,4,2,,,,,,,,,
Tropical,TROPICAL PARKLET,Tropical St.,Beechview,Western,,1,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Tustin,TUSTIN TOT LOT,Forbes Ave & Van Braham St.,Bluff,Schenley,,,,1,,X,,,,SofSurfaces,4,0,,,,,,,,,
Vanucci,VANUCCI FIELD,Orangewood St.,Beechview,Western,,,1,1,,X,,,,SofSurfaces,2,2,,,,,,,,,
Vincennes,VINCENNES PARKLET,Wandless St.,Middle Hill,Schenley,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
Wabash,WABASH PLAYGROUND,Wabash Ave.,West End,Western,,,1,1,,X,,,,Pour in Place,4,2,,,,,,,,,
Warrington,WARRINGTON PLAYGROUND,29 East Warrington Ave.,Beltzhoover,Southern,,,1,1,,X,,,,SofSurfaces,2,2,,,,,,,,,
West End,WEST END PARK,Herschel & Walbridge St.,Elliott,Western,,,,1,,X,,,,Pour in Place,2,2,,,,,,,,,
West Penn,WEST PENN PARK,Paulowna & Brereron St.,Polish Hill,State,,2,1,1,,X,,,,Tiles,4,2,,,,,,,,,
Westinghouse,WESTINGHOUSE PARK,Thomas Blvd & Lang St.,Point Breeze North,Eastern,,,1,1,,X,,,,SofSurfaces,2,2,,,,,,,,,
Westwood School,WESTWOOD SCHOOL,Guyland St.,Westwood,Western,,,1,1,,X,,,,Pour in Place,0,0,,,,,,,,,
Wightman,WIGHTMAN PLAYGROUND,Wightman & Solway St.,Squirrel Hill North,Eastern,,,,,1,X,,,,Pour in Place (Swings) Tiles (Modular),4,2,,,,,,,,,
Winters,WINTERS PLAYGROUND,Saint Paul St. & Yard Way,Southside Slopes,Southern,,,1,1,,X,,,,Tiles,2,2,,,,,,,,,
Woodsrun,WOODS RUN TOT LOT,Central Ave,Marshall-Shadeland,Northern,,,1,1,,X,,,,Pour in Place,2,2,,,,,,,,,
