X,Y,OBJECTID_1,OBJECTID,TAG,REF_No,ITEM,LOCATION,CRITERIA,BUILD_DATE,GlobalID
171.459563644912606,-41.760793678008596,54,54,305,305,Abel Tasman Plaque,Cape Foulwind Walkway,Historic/Cultural,1981,953b93d7-87c7-454a-a363-9435019e16ad
171.867109614353325,-42.118285402934788,55,55,288,288,Sacred Heart Church (Catholic),Church Street,Historic,1879,70f69079-6b31-4076-a09c-8d07b7f088eb
171.867068485254691,-42.118814020618657,56,56,274,274,Masonic Lodge Hall (Former Racecourse Stand),38 Shiel Street,Historic,1892,c169e9f7-7d90-4fe8-b1f7-390ad8b0923f
171.86698339799247,-42.11828021993464,57,57,288,288,Sacred Heart Church (Catholic),Church Street,Historic,1879,b53f08c9-3bc0-48fe-84bd-31dd9dc311db
171.867225378075943,-42.11828656305412,58,58,288,288,Sacred Heart Church (Catholic),Church Street,Historic,1879,109523c6-e7aa-49eb-b0b1-6e9724ba0388
171.867184107938641,-42.118823016671648,59,59,274,274,Masonic Lodge Hall (Former Racecourse Stand),38 Shiel Street,Historic,1892,253f2ba2-17a7-4310-a916-2110e6b8eaa5
171.868393329068084,-42.119815717601909,60,60,309,309,Replica Streetlight Standards,"State Highway 7, Reefton Domain, Reefton",Historic/Cultural,1988,94008ebf-9236-435e-b103-bd6680f9ef5e
171.868754036516066,-42.119830527158292,61,61,309,309,Replica Streetlight Standards,"State Highway 7, Reefton Domain, Reefton",Historic/Cultural,1988,47d20c31-fab5-4f66-8f5a-b6499206b184
171.869261994538505,-42.119853527205279,62,62,309,309,Replica Streetlight Standards,"State Highway 7, Reefton Domain, Reefton",Historic/Cultural,1988,3d592a40-12f7-4aac-9814-38169d4b7188
171.86990826261794,-42.11988014709133,63,63,309,309,Replica Streetlight Standards,"State Highway 7, Reefton Domain, Reefton",Historic/Cultural,1988,a61c6e74-9cc6-401c-8968-aaea512d3591
171.602083176267286,-41.756096998278224,64,64,267,267,House,75 Queen Street,Historic,1895,4ec4bbea-dc0f-4454-8d05-f12f7ce928bd
171.598701322866958,-41.753909063850799,65,65,277,277,Municipal Chambers,113-119 Palmerston Street,Historic,1940,f970aebd-2f72-4c9e-b5a4-376a2ec35ab4
171.871263172066506,-42.121767992616824,66,66,286,286,Powerhouse Foundations,Rosstown Road,Historic,1888,b643544b-e4a5-440d-b8ce-2b78560c0f5f
171.868927127320831,-42.119160216895622,67,67,281,281,Pennington House & Horse Trough,15 Shiel Street,Historic,-,bc5bee8d-ad30-4992-aca1-ba2de7f0cd64
171.868813619748096,-42.119153794036087,68,68,281,281,Pennington House & Horse Trough,15 Shiel Street,Historic,-,9d98638d-7200-40f1-9b14-61f849045353
171.869047832290363,-42.119161423891278,69,69,281,281,Pennington House & Horse Trough,15 Shiel Street,Historic,-,5d563796-f499-4552-935a-ee3003ad4190
