Councils,Variable,Date,Value ($000)
Auckland Region,16 Fixed Assets,2014,274398
Auckland Region,17 Investment properties,2014,0
Auckland Region,18 Other Assets,2014,839797
Auckland Region,19 Total Assets,2014,1114445
Auckland Region,20 Public Debt,2014,61622
Auckland Region,21 Non-current,2014,0
Auckland Region,22 Current,2014,61622
Auckland Region,23 Other Liabilities,2014,49360
Auckland Region,24 Total Liabilities,2014,110982
Auckland Region,25 Equity,2014,1003463
Auckland Region,14 Monetary Assets,2015,250
Auckland Region,16 Fixed Assets,2015,278286
Auckland Region,17 Investment properties,2015,0
Auckland Region,18 Other Assets,2015,840813
Auckland Region,19 Total Assets,2015,1119349
Auckland Region,20 Public Debt,2015,56628
Auckland Region,21 Non-current,2015,0
Auckland Region,22 Current,2015,56628
Auckland Region,23 Other Liabilities,2015,51152
Auckland Region,24 Total Liabilities,2015,107780
Auckland Region,25 Equity,2015,1011569
Auckland Region,14 Monetary Assets,2016,250
Auckland Region,16 Fixed Assets,2016,282799
Auckland Region,17 Investment properties,2016,0
Auckland Region,18 Other Assets,2016,841957
Auckland Region,19 Total Assets,2016,1125006
Auckland Region,20 Public Debt,2016,51795
Auckland Region,21 Non-current,2016,0
Auckland Region,22 Current,2016,51795
Auckland Region,23 Other Liabilities,2016,53501
Auckland Region,24 Total Liabilities,2016,105296
Auckland Region,25 Equity,2016,1019710
Bay of Plenty Region,14 Monetary Assets,2007,34439
Bay of Plenty Region,16 Fixed Assets,2007,168792
Bay of Plenty Region,17 Investment properties,2007,0
Bay of Plenty Region,18 Other Assets,2007,14208
Bay of Plenty Region,19 Total Assets,2007,217440
Bay of Plenty Region,20 Public Debt,2007,8300
Bay of Plenty Region,21 Non-current,2007,8300
Bay of Plenty Region,22 Current,2007,0
Bay of Plenty Region,23 Other Liabilities,2007,7239
Bay of Plenty Region,24 Total Liabilities,2007,15539
Bay of Plenty Region,25 Equity,2007,201901
Bay of Plenty Region,14 Monetary Assets,2008,32764
Bay of Plenty Region,16 Fixed Assets,2008,190321
Bay of Plenty Region,17 Investment properties,2008,0
Bay of Plenty Region,18 Other Assets,2008,14303
Bay of Plenty Region,19 Total Assets,2008,237390
Bay of Plenty Region,20 Public Debt,2008,19467
Bay of Plenty Region,21 Non-current,2008,18704
Bay of Plenty Region,22 Current,2008,762
Bay of Plenty Region,23 Other Liabilities,2008,7334
Bay of Plenty Region,24 Total Liabilities,2008,26801
Bay of Plenty Region,25 Equity,2008,210589
Bay of Plenty Region,14 Monetary Assets,2009,30964
Bay of Plenty Region,16 Fixed Assets,2009,218488
Bay of Plenty Region,17 Investment properties,2009,0
Bay of Plenty Region,18 Other Assets,2009,14476
Bay of Plenty Region,19 Total Assets,2009,263929
Bay of Plenty Region,20 Public Debt,2009,33393
Bay of Plenty Region,21 Non-current,2009,32366
Bay of Plenty Region,22 Current,2009,1027
Bay of Plenty Region,23 Other Liabilities,2009,7506
Bay of Plenty Region,24 Total Liabilities,2009,40899
Bay of Plenty Region,25 Equity,2009,223029
Bay of Plenty Region,14 Monetary Assets,2010,30100
Bay of Plenty Region,16 Fixed Assets,2010,228516
Bay of Plenty Region,17 Investment properties,2010,0
Bay of Plenty Region,18 Other Assets,2010,14636
Bay of Plenty Region,19 Total Assets,2010,273253
Bay of Plenty Region,20 Public Debt,2010,37113
Bay of Plenty Region,21 Non-current,2010,35780
Bay of Plenty Region,22 Current,2010,1332
Bay of Plenty Region,23 Other Liabilities,2010,7666
Bay of Plenty Region,24 Total Liabilities,2010,44780
Bay of Plenty Region,25 Equity,2010,228473
Bay of Plenty Region,14 Monetary Assets,2011,29341
Bay of Plenty Region,16 Fixed Assets,2011,246341
Bay of Plenty Region,17 Investment properties,2011,0
Bay of Plenty Region,18 Other Assets,2011,14785
Bay of Plenty Region,19 Total Assets,2011,290468
Bay of Plenty Region,20 Public Debt,2011,41318
Bay of Plenty Region,21 Non-current,2011,39799
Bay of Plenty Region,22 Current,2011,1518
Bay of Plenty Region,23 Other Liabilities,2011,7815
Bay of Plenty Region,24 Total Liabilities,2011,49133
Bay of Plenty Region,25 Equity,2011,241335
Bay of Plenty Region,14 Monetary Assets,2012,30648
Bay of Plenty Region,16 Fixed Assets,2012,252389
Bay of Plenty Region,17 Investment properties,2012,0
Bay of Plenty Region,18 Other Assets,2012,14921
Bay of Plenty Region,19 Total Assets,2012,297959
Bay of Plenty Region,20 Public Debt,2012,45730
Bay of Plenty Region,21 Non-current,2012,44066
Bay of Plenty Region,22 Current,2012,1664
Bay of Plenty Region,23 Other Liabilities,2012,7951
Bay of Plenty Region,24 Total Liabilities,2012,53682
Bay of Plenty Region,25 Equity,2012,244277
Bay of Plenty Region,14 Monetary Assets,2013,31346
Bay of Plenty Region,16 Fixed Assets,2013,259392
Bay of Plenty Region,17 Investment properties,2013,0
Bay of Plenty Region,18 Other Assets,2013,15046
Bay of Plenty Region,19 Total Assets,2013,305785
Bay of Plenty Region,20 Public Debt,2013,48675
Bay of Plenty Region,21 Non-current,2013,46865
Bay of Plenty Region,22 Current,2013,1809
Bay of Plenty Region,23 Other Liabilities,2013,8076
Bay of Plenty Region,24 Total Liabilities,2013,56752
Bay of Plenty Region,25 Equity,2013,249033
Bay of Plenty Region,14 Monetary Assets,2014,31325
Bay of Plenty Region,16 Fixed Assets,2014,267727
Bay of Plenty Region,17 Investment properties,2014,0
Bay of Plenty Region,18 Other Assets,2014,15159
Bay of Plenty Region,19 Total Assets,2014,314211
Bay of Plenty Region,20 Public Debt,2014,47798
Bay of Plenty Region,21 Non-current,2014,45831
Bay of Plenty Region,22 Current,2014,1967
Bay of Plenty Region,23 Other Liabilities,2014,8189
Bay of Plenty Region,24 Total Liabilities,2014,55987
Bay of Plenty Region,25 Equity,2014,258224
Bay of Plenty Region,14 Monetary Assets,2015,31704
Bay of Plenty Region,16 Fixed Assets,2015,269615
Bay of Plenty Region,17 Investment properties,2015,0
Bay of Plenty Region,18 Other Assets,2015,15254
Bay of Plenty Region,19 Total Assets,2015,316573
Bay of Plenty Region,20 Public Debt,2015,46416
Bay of Plenty Region,21 Non-current,2015,44279
Bay of Plenty Region,22 Current,2015,2136
Bay of Plenty Region,23 Other Liabilities,2015,8284
Bay of Plenty Region,24 Total Liabilities,2015,54700
Bay of Plenty Region,25 Equity,2015,261873
Bay of Plenty Region,14 Monetary Assets,2016,32886
Bay of Plenty Region,16 Fixed Assets,2016,270223
Bay of Plenty Region,17 Investment properties,2016,0
Bay of Plenty Region,18 Other Assets,2016,15349
Bay of Plenty Region,19 Total Assets,2016,318459
Bay of Plenty Region,20 Public Debt,2016,44679
Bay of Plenty Region,21 Non-current,2016,42413
Bay of Plenty Region,22 Current,2016,2265
Bay of Plenty Region,23 Other Liabilities,2016,8379
Bay of Plenty Region,24 Total Liabilities,2016,53058
Bay of Plenty Region,25 Equity,2016,265401
Buller District,14 Monetary Assets,2007,15740
Buller District,16 Fixed Assets,2007,202766
Buller District,17 Investment properties,2007,0
Buller District,18 Other Assets,2007,19652
Buller District,19 Total Assets,2007,238159
Buller District,20 Public Debt,2007,9658
Buller District,21 Non-current,2007,9291
Buller District,22 Current,2007,367
Buller District,23 Other Liabilities,2007,3679
Buller District,24 Total Liabilities,2007,13337
Buller District,25 Equity,2007,224821
Buller District,14 Monetary Assets,2008,17117
Buller District,16 Fixed Assets,2008,224104
Buller District,17 Investment properties,2008,0
Buller District,18 Other Assets,2008,29457
Buller District,19 Total Assets,2008,270679
Buller District,20 Public Debt,2008,21607
Buller District,21 Non-current,2008,20944
Buller District,22 Current,2008,662
Buller District,23 Other Liabilities,2008,3923
Buller District,24 Total Liabilities,2008,25530
Buller District,25 Equity,2008,245149
Buller District,14 Monetary Assets,2009,17429
Buller District,16 Fixed Assets,2009,224558
Buller District,17 Investment properties,2009,0
Buller District,18 Other Assets,2009,34180
Buller District,19 Total Assets,2009,276168
Buller District,20 Public Debt,2009,24919
Buller District,21 Non-current,2009,23311
Buller District,22 Current,2009,1608
Buller District,23 Other Liabilities,2009,3764
Buller District,24 Total Liabilities,2009,28684
Buller District,25 Equity,2009,247483
Buller District,14 Monetary Assets,2010,18199
Buller District,16 Fixed Assets,2010,224732
Buller District,17 Investment properties,2010,0
Buller District,18 Other Assets,2010,35592
Buller District,19 Total Assets,2010,278523
Buller District,20 Public Debt,2010,25348
Buller District,21 Non-current,2010,23528
Buller District,22 Current,2010,1819
Buller District,23 Other Liabilities,2010,3717
Buller District,24 Total Liabilities,2010,29065
Buller District,25 Equity,2010,249458
Buller District,14 Monetary Assets,2011,18742
Buller District,16 Fixed Assets,2011,242173
Buller District,17 Investment properties,2011,0
Buller District,18 Other Assets,2011,35220
Buller District,19 Total Assets,2011,296137
Buller District,20 Public Debt,2011,23836
Buller District,21 Non-current,2011,22384
Buller District,22 Current,2011,1452
Buller District,23 Other Liabilities,2011,3758
Buller District,24 Total Liabilities,2011,27595
Buller District,25 Equity,2011,268542
Buller District,14 Monetary Assets,2012,19828
Buller District,16 Fixed Assets,2012,243402
Buller District,17 Investment properties,2012,0
