Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554607,247754,361697,1.6297216,0.9672614,0.236219
554608,253614,349289,2.1833824,-0.0059082,-0.0206313
554609,260757,352478,1.2630112,-0.5234031,0.2034929
554610,252309,348404,1.3811392,0.8496036,0.156883
554611,242517,350870,1.34416,1.681185,0.3165467
554612,258735,348633,1.1109856,0.6112967,0.1747336
554613,245607,359803,1.3965472,1.0500207,0.1092814
554614,242749,360401,2.0210848,0.4427868,0.7350441
554615,254942,344680,1.9060384,0.7688385,0.6814923
554616,257756,349811,1.3472416,1.102867,0.1023395
554617,251654,345713,1.4694784,0.4318187,0.4206752
554618,259781,349448,1.3174528,-0.4984756,0.4613349
554619,254423,346392,1.2702016,0.6501836,0.1687834
554620,247688,357214,1.2239776,-0.1365283,0.0626715
554621,247346,347422,1.3893568,0.3709956,0.0944059
554622,244626,346755,1.3986016,0.5275403,0.1390324
554623,249337,347579,1.6091776,1.9085238,0.0934142
554624,243727,361455,4.764736,0.903447,0.4900942
554625,247869,345618,1.3965472,0.1227177,0.2005178
554626,248653,354358,1.3318336,-0.1445051,0.0924225
554627,255863,347294,0.9147904,0.0050599,-0.0632744
554629,255216,345360,2.992816,-0.7726781,0.2322522
554630,256518,350564,2.5172224,1.980315,1.0930478
554631,243241,359574,4.50341632,1.23917057,0.30504298
554632,254222,350515,1.4612608,1.1547162,-0.0206313
554633,242500,358737,8.5222336,1.451852,0.6180235
554634,245129,347103,2.1700288,1.4887447,0.3224969
554635,251941,343791,1.9419904,0.9074354,0.6457911
554636,257336,345503,1.220896,-0.3279715,0.4177001
554638,248486,344980,1.277392,0.1665901,0.2411775
554639,243702,347414,1.3092352,-0.6590087,0.117215
554640,258455,352494,1.606096,0.3091754,0.2788621
554641,246632,348431,1.2578752,-0.2312528,0.1310988
554642,259844,351474,1.2044608,-0.1355312,0.0795304
554643,239511,359453,1.6184224,-0.0049111,0.543646
554644,249860,345312,1.0914688,-1.4975698,0.0894474
554645,262267,352590,1.4818048,0.4208506,0.5277788
554646,246690,346675,1.9327456,1.5844663,0.3284471
554647,245269,345429,1.6276672,0.8655572,0.2471277
554648,245059,349465,1.4345536,-0.0378154,0.1876257
554649,254160,352232,2.3004832,1.1906118,0.5446377
554650,252441,352509,1.7170336,0.0728627,0.2927459
554651,255222,349170,1.7694208,0.8206877,0.355223
554652,246553,360541,1.2989632,0.5474823,0.3542313
554653,247657,355368,1.708816,-1.4915872,0.6081065
554654,244516,348400,1.6749184,0.3939289,0.1003561
554655,246776,356394,1.4140096,-0.2392296,-0.0394736
554656,247504,359760,1.467424,-0.36287,0.0041612
554657,254315,348267,1.5793888,0.3440739,0.2679534
554659,250804,344259,2.49976,-0.0118908,0.3919159
554660,253726,351415,6.8838496,1.0789366,0.8659485
554661,248450,356707,2.284048,0.6651401,0.0567213
554662,241576,359418,3.285568,0.7708327,0.5942227
