Council,Financial,Date,Value ($000)
Far North District,37 Net Financing Cash Flows,2013,-4765
Far North District,26 Operating Receipts,2014,121556
Far North District,27 Operating Payments,2014,73602
Far North District,28 Net Operating Cash Flows,2014,47954
Far North District,29 Receipts from Investing Activities,2014,0
Far North District,30 Purchase of Property Plant & Equipment,2014,44229
Far North District,31 Fixed asset purchases,2014,0
Far North District,32 Renewals,2014,0
Far North District,33 Purchase of Other investments,2014,0
Far North District,34 Net Investing Cash Flows,2014,-44229
Far North District,35 Cash Receipts from Financing Activities,2014,1972
Far North District,36 Cash Outgoings from Financing Activities,2014,5696
Far North District,37 Net Financing Cash Flows,2014,-3724
Far North District,26 Operating Receipts,2015,124650
Far North District,27 Operating Payments,2015,75121
Far North District,28 Net Operating Cash Flows,2015,49529
Far North District,29 Receipts from Investing Activities,2015,0
Far North District,30 Purchase of Property Plant & Equipment,2015,42670
Far North District,31 Fixed asset purchases,2015,0
Far North District,32 Renewals,2015,0
Far North District,33 Purchase of Other investments,2015,0
Far North District,34 Net Investing Cash Flows,2015,-42670
Far North District,35 Cash Receipts from Financing Activities,2015,-600
Far North District,36 Cash Outgoings from Financing Activities,2015,6257
Far North District,37 Net Financing Cash Flows,2015,-6857
Far North District,26 Operating Receipts,2016,129130
Far North District,27 Operating Payments,2016,76646
Far North District,28 Net Operating Cash Flows,2016,52484
Far North District,29 Receipts from Investing Activities,2016,0
Far North District,30 Purchase of Property Plant & Equipment,2016,44156
Far North District,31 Fixed asset purchases,2016,0
Far North District,32 Renewals,2016,0
Far North District,33 Purchase of Other investments,2016,0
Far North District,34 Net Investing Cash Flows,2016,-44156
Far North District,35 Cash Receipts from Financing Activities,2016,0
Far North District,36 Cash Outgoings from Financing Activities,2016,8328
Far North District,37 Net Financing Cash Flows,2016,-8328
Franklin District,26 Operating Receipts,2007,66484
Franklin District,27 Operating Payments,2007,39773
Franklin District,28 Net Operating Cash Flows,2007,26711
Franklin District,29 Receipts from Investing Activities,2007,2754
Franklin District,30 Purchase of Property Plant & Equipment,2007,54416
Franklin District,31 Fixed asset purchases,2007,0
Franklin District,32 Renewals,2007,0
Franklin District,33 Purchase of Other investments,2007,100
Franklin District,34 Net Investing Cash Flows,2007,-51762
Franklin District,35 Cash Receipts from Financing Activities,2007,35400
Franklin District,36 Cash Outgoings from Financing Activities,2007,11705
Franklin District,37 Net Financing Cash Flows,2007,23695
Franklin District,26 Operating Receipts,2008,71539
Franklin District,27 Operating Payments,2008,42668
Franklin District,28 Net Operating Cash Flows,2008,28871
Franklin District,29 Receipts from Investing Activities,2008,180
Franklin District,30 Purchase of Property Plant & Equipment,2008,38888
Franklin District,31 Fixed asset purchases,2008,0
Franklin District,32 Renewals,2008,0
Franklin District,33 Purchase of Other investments,2008,100
Franklin District,34 Net Investing Cash Flows,2008,-38808
Franklin District,35 Cash Receipts from Financing Activities,2008,21400
Franklin District,36 Cash Outgoings from Financing Activities,2008,11430
Franklin District,37 Net Financing Cash Flows,2008,9970
Franklin District,26 Operating Receipts,2009,77052
Franklin District,27 Operating Payments,2009,45820
Franklin District,28 Net Operating Cash Flows,2009,31232
Franklin District,29 Receipts from Investing Activities,2009,180
Franklin District,30 Purchase of Property Plant & Equipment,2009,36202
Franklin District,31 Fixed asset purchases,2009,0
Franklin District,32 Renewals,2009,0
Franklin District,33 Purchase of Other investments,2009,100
Franklin District,34 Net Investing Cash Flows,2009,-36122
Franklin District,35 Cash Receipts from Financing Activities,2009,19700
Franklin District,36 Cash Outgoings from Financing Activities,2009,14830
Franklin District,37 Net Financing Cash Flows,2009,4870
Franklin District,26 Operating Receipts,2010,82484
Franklin District,27 Operating Payments,2010,48103
Franklin District,28 Net Operating Cash Flows,2010,34381
Franklin District,29 Receipts from Investing Activities,2010,178
Franklin District,30 Purchase of Property Plant & Equipment,2010,44926
Franklin District,31 Fixed asset purchases,2010,0
Franklin District,32 Renewals,2010,0
Franklin District,33 Purchase of Other investments,2010,100
Franklin District,34 Net Investing Cash Flows,2010,-44848
Franklin District,35 Cash Receipts from Financing Activities,2010,23250
Franklin District,36 Cash Outgoings from Financing Activities,2010,12830
Franklin District,37 Net Financing Cash Flows,2010,10420
Franklin District,26 Operating Receipts,2011,85233
Franklin District,27 Operating Payments,2011,49435
Franklin District,28 Net Operating Cash Flows,2011,35798
Franklin District,29 Receipts from Investing Activities,2011,177
Franklin District,30 Purchase of Property Plant & Equipment,2011,30189
Franklin District,31 Fixed asset purchases,2011,0
Franklin District,32 Renewals,2011,0
Franklin District,33 Purchase of Other investments,2011,100
Franklin District,34 Net Investing Cash Flows,2011,-30112
Franklin District,35 Cash Receipts from Financing Activities,2011,13900
Franklin District,36 Cash Outgoings from Financing Activities,2011,19580
Franklin District,37 Net Financing Cash Flows,2011,-5680
Franklin District,26 Operating Receipts,2012,87694
Franklin District,27 Operating Payments,2012,50585
Franklin District,28 Net Operating Cash Flows,2012,37109
Franklin District,29 Receipts from Investing Activities,2012,177
Franklin District,30 Purchase of Property Plant & Equipment,2012,32825
Franklin District,31 Fixed asset purchases,2012,0
Franklin District,32 Renewals,2012,0
Franklin District,33 Purchase of Other investments,2012,100
Franklin District,34 Net Investing Cash Flows,2012,-32748
Franklin District,35 Cash Receipts from Financing Activities,2012,15050
Franklin District,36 Cash Outgoings from Financing Activities,2012,19430
Franklin District,37 Net Financing Cash Flows,2012,-4380
Franklin District,26 Operating Receipts,2013,91348
Franklin District,27 Operating Payments,2013,51897
Franklin District,28 Net Operating Cash Flows,2013,39451
Franklin District,29 Receipts from Investing Activities,2013,177
Franklin District,30 Purchase of Property Plant & Equipment,2013,24514
Franklin District,31 Fixed asset purchases,2013,0
Franklin District,32 Renewals,2013,0
Franklin District,33 Purchase of Other investments,2013,100
Franklin District,34 Net Investing Cash Flows,2013,-24437
Franklin District,35 Cash Receipts from Financing Activities,2013,8050
Franklin District,36 Cash Outgoings from Financing Activities,2013,23015
Franklin District,37 Net Financing Cash Flows,2013,4965
Franklin District,26 Operating Receipts,2014,94133
Franklin District,27 Operating Payments,2014,52279
Franklin District,28 Net Operating Cash Flows,2014,41854
Franklin District,29 Receipts from Investing Activities,2014,177
Franklin District,30 Purchase of Property Plant & Equipment,2014,26555
Franklin District,31 Fixed asset purchases,2014,0
Franklin District,32 Renewals,2014,0
Franklin District,33 Purchase of Other investments,2014,100
Franklin District,34 Net Investing Cash Flows,2014,-26478
Franklin District,35 Cash Receipts from Financing Activities,2014,150
Franklin District,36 Cash Outgoings from Financing Activities,2014,15215
Franklin District,37 Net Financing Cash Flows,2014,5065
Franklin District,26 Operating Receipts,2015,97698
Franklin District,27 Operating Payments,2015,52876
Franklin District,28 Net Operating Cash Flows,2015,44822
Franklin District,29 Receipts from Investing Activities,2015,177
Franklin District,30 Purchase of Property Plant & Equipment,2015,22866
Franklin District,31 Fixed asset purchases,2015,0
Franklin District,32 Renewals,2015,0
Franklin District,33 Purchase of Other investments,2015,8000
Franklin District,34 Net Investing Cash Flows,2015,-30689
Franklin District,35 Cash Receipts from Financing Activities,2015,0
Franklin District,36 Cash Outgoings from Financing Activities,2015,14115
Franklin District,37 Net Financing Cash Flows,2015,4115
Franklin District,26 Operating Receipts,2016,101166
Franklin District,27 Operating Payments,2016,53492
Franklin District,28 Net Operating Cash Flows,2016,47674
Franklin District,29 Receipts from Investing Activities,2016,177
Franklin District,30 Purchase of Property Plant & Equipment,2016,28175
Franklin District,31 Fixed asset purchases,2016,0
Franklin District,32 Renewals,2016,0
Franklin District,33 Purchase of Other investments,2016,7400
Franklin District,34 Net Investing Cash Flows,2016,-35398
Franklin District,35 Cash Receipts from Financing Activities,2016,0
Franklin District,36 Cash Outgoings from Financing Activities,2016,12605
Franklin District,37 Net Financing Cash Flows,2016,2605
Gisborne District,26 Operating Receipts,2007,71198
Gisborne District,27 Operating Payments,2007,47510
Gisborne District,28 Net Operating Cash Flows,2007,23688
Gisborne District,29 Receipts from Investing Activities,2007,1700
Gisborne District,30 Purchase of Property Plant & Equipment,2007,21912
Gisborne District,31 Fixed asset purchases,2007,0
Gisborne District,32 Renewals,2007,0
Gisborne District,33 Purchase of Other investments,2007,0
Gisborne District,34 Net Investing Cash Flows,2007,-20212
Gisborne District,35 Cash Receipts from Financing Activities,2007,0
Gisborne District,36 Cash Outgoings from Financing Activities,2007,3476
Gisborne District,37 Net Financing Cash Flows,2007,-3476
Gisborne District,26 Operating Receipts,2008,72991
Gisborne District,27 Operating Payments,2008,48083
Gisborne District,28 Net Operating Cash Flows,2008,24908
Gisborne District,29 Receipts from Investing Activities,2008,750
Gisborne District,30 Purchase of Property Plant & Equipment,2008,25480
Gisborne District,31 Fixed asset purchases,2008,0
Gisborne District,32 Renewals,2008,0
Gisborne District,33 Purchase of Other investments,2008,0
Gisborne District,34 Net Investing Cash Flows,2008,-24730
Gisborne District,35 Cash Receipts from Financing Activities,2008,0
Gisborne District,36 Cash Outgoings from Financing Activities,2008,178
Gisborne District,37 Net Financing Cash Flows,2008,78
Gisborne District,26 Operating Receipts,2009,72725
Gisborne District,27 Operating Payments,2009,50743
Gisborne District,28 Net Operating Cash Flows,2009,21982
Gisborne District,29 Receipts from Investing Activities,2009,500
Gisborne District,30 Purchase of Property Plant & Equipment,2009,22388
Gisborne District,31 Fixed asset purchases,2009,0
Gisborne District,32 Renewals,2009,0
Gisborne District,33 Purchase of Other investments,2009,0
Gisborne District,34 Net Investing Cash Flows,2009,-21888
Gisborne District,35 Cash Receipts from Financing Activities,2009,0
Gisborne District,36 Cash Outgoings from Financing Activities,2009,94
Gisborne District,37 Net Financing Cash Flows,2009,-94
Gisborne District,26 Operating Receipts,2010,71998
Gisborne District,27 Operating Payments,2010,51273
Gisborne District,28 Net Operating Cash Flows,2010,20725
Gisborne District,29 Receipts from Investing Activities,2010,1250
Gisborne District,30 Purchase of Property Plant & Equipment,2010,26347
Gisborne District,31 Fixed asset purchases,2010,0
Gisborne District,32 Renewals,2010,0
Gisborne District,33 Purchase of Other investments,2010,0
Gisborne District,34 Net Investing Cash Flows,2010,-25097
Gisborne District,35 Cash Receipts from Financing Activities,2010,4372
Gisborne District,36 Cash Outgoings from Financing Activities,2010,0
Gisborne District,37 Net Financing Cash Flows,2010,4372
Gisborne District,26 Operating Receipts,2011,71856
Gisborne District,27 Operating Payments,2011,53773
Gisborne District,28 Net Operating Cash Flows,2011,18083
Gisborne District,29 Receipts from Investing Activities,2011,1000
Gisborne District,30 Purchase of Property Plant & Equipment,2011,22370
Gisborne District,31 Fixed asset purchases,2011,0
Gisborne District,32 Renewals,2011,0
Gisborne District,33 Purchase of Other investments,2011,0
Gisborne District,34 Net Investing Cash Flows,2011,-21370
Gisborne District,35 Cash Receipts from Financing Activities,2011,3287
Gisborne District,36 Cash Outgoings from Financing Activities,2011,0
Gisborne District,37 Net Financing Cash Flows,2011,3287
Gisborne District,26 Operating Receipts,2012,73168
Gisborne District,27 Operating Payments,2012,55309
Gisborne District,28 Net Operating Cash Flows,2012,17859
Gisborne District,29 Receipts from Investing Activities,2012,250
Gisborne District,30 Purchase of Property Plant & Equipment,2012,15203
Gisborne District,31 Fixed asset purchases,2012,0
Gisborne District,32 Renewals,2012,0
Gisborne District,33 Purchase of Other investments,2012,0
Gisborne District,34 Net Investing Cash Flows,2012,4953
Gisborne District,35 Cash Receipts from Financing Activities,2012,0
Gisborne District,36 Cash Outgoings from Financing Activities,2012,2906
Gisborne District,37 Net Financing Cash Flows,2012,-2906
Gisborne District,26 Operating Receipts,2013,75310
Gisborne District,27 Operating Payments,2013,55810
Gisborne District,28 Net Operating Cash Flows,2013,19500
Gisborne District,29 Receipts from Investing Activities,2013,250
Gisborne District,30 Purchase of Property Plant & Equipment,2013,14523
Gisborne District,31 Fixed asset purchases,2013,0
Gisborne District,32 Renewals,2013,0
Gisborne District,33 Purchase of Other investments,2013,0
Gisborne District,34 Net Investing Cash Flows,2013,4273
Gisborne District,35 Cash Receipts from Financing Activities,2013,0
Gisborne District,36 Cash Outgoings from Financing Activities,2013,5227
Gisborne District,37 Net Financing Cash Flows,2013,-5227
Gisborne District,26 Operating Receipts,2014,77938
Gisborne District,27 Operating Payments,2014,56803
Gisborne District,28 Net Operating Cash Flows,2014,21135
Gisborne District,29 Receipts from Investing Activities,2014,250
Gisborne District,30 Purchase of Property Plant & Equipment,2014,15026
Gisborne District,31 Fixed asset purchases,2014,0
Gisborne District,32 Renewals,2014,0
Gisborne District,33 Purchase of Other investments,2014,0
Gisborne District,34 Net Investing Cash Flows,2014,4776
Gisborne District,35 Cash Receipts from Financing Activities,2014,0
Gisborne District,36 Cash Outgoings from Financing Activities,2014,6359
Gisborne District,37 Net Financing Cash Flows,2014,-6359
Gisborne District,26 Operating Receipts,2015,87690
Gisborne District,27 Operating Payments,2015,57358
Gisborne District,28 Net Operating Cash Flows,2015,30332
Gisborne District,29 Receipts from Investing Activities,2015,250
Gisborne District,30 Purchase of Property Plant & Equipment,2015,32824
Gisborne District,31 Fixed asset purchases,2015,0
Gisborne District,32 Renewals,2015,0
Gisborne District,33 Purchase of Other investments,2015,0
Gisborne District,34 Net Investing Cash Flows,2015,-32574
Gisborne District,35 Cash Receipts from Financing Activities,2015,2242
Gisborne District,36 Cash Outgoings from Financing Activities,2015,0
Gisborne District,37 Net Financing Cash Flows,2015,2242
Gisborne District,26 Operating Receipts,2016,79396
Gisborne District,27 Operating Payments,2016,58788
Gisborne District,28 Net Operating Cash Flows,2016,20608
Gisborne District,29 Receipts from Investing Activities,2016,250
Gisborne District,30 Purchase of Property Plant & Equipment,2016,20744
Gisborne District,31 Fixed asset purchases,2016,0
Gisborne District,32 Renewals,2016,0
Gisborne District,33 Purchase of Other investments,2016,0
Gisborne District,34 Net Investing Cash Flows,2016,-20494
Gisborne District,35 Cash Receipts from Financing Activities,2016,0
Gisborne District,36 Cash Outgoings from Financing Activities,2016,114
Gisborne District,37 Net Financing Cash Flows,2016,14
Gore District,26 Operating Receipts,2007,13422
Gore District,27 Operating Payments,2007,9661
Gore District,28 Net Operating Cash Flows,2007,3761
Gore District,29 Receipts from Investing Activities,2007,10
Gore District,30 Purchase of Property Plant & Equipment,2007,4816
Gore District,31 Fixed asset purchases,2007,0
Gore District,32 Renewals,2007,0
Gore District,33 Purchase of Other investments,2007,0
Gore District,34 Net Investing Cash Flows,2007,-4806
Gore District,35 Cash Receipts from Financing Activities,2007,415
Gore District,36 Cash Outgoings from Financing Activities,2007,289
Gore District,37 Net Financing Cash Flows,2007,126
Gore District,26 Operating Receipts,2008,13968
Gore District,27 Operating Payments,2008,10226
Gore District,28 Net Operating Cash Flows,2008,3742
Gore District,29 Receipts from Investing Activities,2008,0
Gore District,30 Purchase of Property Plant & Equipment,2008,5341
Gore District,31 Fixed asset purchases,2008,0
Gore District,32 Renewals,2008,0
Gore District,33 Purchase of Other investments,2008,0
Gore District,34 Net Investing Cash Flows,2008,-5341
Gore District,35 Cash Receipts from Financing Activities,2008,1940
Gore District,36 Cash Outgoings from Financing Activities,2008,123
Gore District,37 Net Financing Cash Flows,2008,1817
Gore District,26 Operating Receipts,2009,14582
Gore District,27 Operating Payments,2009,10419
Gore District,28 Net Operating Cash Flows,2009,4163
Gore District,29 Receipts from Investing Activities,2009,0
Gore District,30 Purchase of Property Plant & Equipment,2009,3922
Gore District,31 Fixed asset purchases,2009,0
Gore District,32 Renewals,2009,0
Gore District,33 Purchase of Other investments,2009,0
Gore District,34 Net Investing Cash Flows,2009,-3922
Gore District,35 Cash Receipts from Financing Activities,2009,500
Gore District,36 Cash Outgoings from Financing Activities,2009,423
Gore District,37 Net Financing Cash Flows,2009,77
Gore District,26 Operating Receipts,2010,14954
Gore District,27 Operating Payments,2010,10606
Gore District,28 Net Operating Cash Flows,2010,4348
Gore District,29 Receipts from Investing Activities,2010,0
Gore District,30 Purchase of Property Plant & Equipment,2010,3403
Gore District,31 Fixed asset purchases,2010,0
Gore District,32 Renewals,2010,0
Gore District,33 Purchase of Other investments,2010,0
Gore District,34 Net Investing Cash Flows,2010,-3403
Gore District,35 Cash Receipts from Financing Activities,2010,0
Gore District,36 Cash Outgoings from Financing Activities,2010,585
Gore District,37 Net Financing Cash Flows,2010,-585
Gore District,26 Operating Receipts,2011,15030
Gore District,27 Operating Payments,2011,10819
Gore District,28 Net Operating Cash Flows,2011,4211
Gore District,29 Receipts from Investing Activities,2011,0
Gore District,30 Purchase of Property Plant & Equipment,2011,3294
Gore District,31 Fixed asset purchases,2011,0
Gore District,32 Renewals,2011,0
Gore District,33 Purchase of Other investments,2011,0
Gore District,34 Net Investing Cash Flows,2011,-3294
Gore District,35 Cash Receipts from Financing Activities,2011,0
Gore District,36 Cash Outgoings from Financing Activities,2011,687
Gore District,37 Net Financing Cash Flows,2011,-687
Gore District,26 Operating Receipts,2012,15332
Gore District,27 Operating Payments,2012,11028
Gore District,28 Net Operating Cash Flows,2012,4304
Gore District,29 Receipts from Investing Activities,2012,0
Gore District,30 Purchase of Property Plant & Equipment,2012,3265
Gore District,31 Fixed asset purchases,2012,0
Gore District,32 Renewals,2012,0
Gore District,33 Purchase of Other investments,2012,0
Gore District,34 Net Investing Cash Flows,2012,-3265
Gore District,35 Cash Receipts from Financing Activities,2012,0
Gore District,36 Cash Outgoings from Financing Activities,2012,748
Gore District,37 Net Financing Cash Flows,2012,-748
Gore District,26 Operating Receipts,2013,15812
Gore District,27 Operating Payments,2013,11155
Gore District,28 Net Operating Cash Flows,2013,4657
Gore District,29 Receipts from Investing Activities,2013,0
Gore District,30 Purchase of Property Plant & Equipment,2013,3908
Gore District,31 Fixed asset purchases,2013,0
Gore District,32 Renewals,2013,0
Gore District,33 Purchase of Other investments,2013,0
Gore District,34 Net Investing Cash Flows,2013,-3908
Gore District,35 Cash Receipts from Financing Activities,2013,155
Gore District,36 Cash Outgoings from Financing Activities,2013,490
Gore District,37 Net Financing Cash Flows,2013,-335
Gore District,26 Operating Receipts,2014,16180
Gore District,27 Operating Payments,2014,11365
Gore District,28 Net Operating Cash Flows,2014,4815
Gore District,29 Receipts from Investing Activities,2014,0
Gore District,30 Purchase of Property Plant & Equipment,2014,3555
Gore District,31 Fixed asset purchases,2014,0
Gore District,32 Renewals,2014,0
Gore District,33 Purchase of Other investments,2014,0
Gore District,34 Net Investing Cash Flows,2014,-3555
Gore District,35 Cash Receipts from Financing Activities,2014,0
Gore District,36 Cash Outgoings from Financing Activities,2014,790
Gore District,37 Net Financing Cash Flows,2014,-790
Gore District,26 Operating Receipts,2015,16481
Gore District,27 Operating Payments,2015,11515
Gore District,28 Net Operating Cash Flows,2015,4966
Gore District,29 Receipts from Investing Activities,2015,0
Gore District,30 Purchase of Property Plant & Equipment,2015,3520
Gore District,31 Fixed asset purchases,2015,0
Gore District,32 Renewals,2015,0
Gore District,33 Purchase of Other investments,2015,0
Gore District,34 Net Investing Cash Flows,2015,-3520
Gore District,35 Cash Receipts from Financing Activities,2015,0
Gore District,36 Cash Outgoings from Financing Activities,2015,579
Gore District,37 Net Financing Cash Flows,2015,-579
Gore District,26 Operating Receipts,2016,16753
Gore District,27 Operating Payments,2016,11608
Gore District,28 Net Operating Cash Flows,2016,5145
Gore District,29 Receipts from Investing Activities,2016,0
Gore District,30 Purchase of Property Plant & Equipment,2016,3620
Gore District,31 Fixed asset purchases,2016,0
Gore District,32 Renewals,2016,0
Gore District,33 Purchase of Other investments,2016,0
Gore District,34 Net Investing Cash Flows,2016,-3620
Gore District,35 Cash Receipts from Financing Activities,2016,0
Gore District,36 Cash Outgoings from Financing Activities,2016,333
Gore District,37 Net Financing Cash Flows,2016,-333
Grey District,26 Operating Receipts,2007,17354
Grey District,27 Operating Payments,2007,9723
Grey District,28 Net Operating Cash Flows,2007,7631
Grey District,29 Receipts from Investing Activities,2007,2249
Grey District,30 Purchase of Property Plant & Equipment,2007,9845
Grey District,31 Fixed asset purchases,2007,0
Grey District,32 Renewals,2007,0
Grey District,33 Purchase of Other investments,2007,0
Grey District,34 Net Investing Cash Flows,2007,-7596
Grey District,35 Cash Receipts from Financing Activities,2007,1000
Grey District,36 Cash Outgoings from Financing Activities,2007,357
Grey District,37 Net Financing Cash Flows,2007,643
Grey District,26 Operating Receipts,2008,19194
Grey District,27 Operating Payments,2008,11121
Grey District,28 Net Operating Cash Flows,2008,8073
Grey District,29 Receipts from Investing Activities,2008,-610
Grey District,30 Purchase of Property Plant & Equipment,2008,10764
Grey District,31 Fixed asset purchases,2008,0
Grey District,32 Renewals,2008,0
Grey District,33 Purchase of Other investments,2008,0
Grey District,34 Net Investing Cash Flows,2008,1374
Grey District,35 Cash Receipts from Financing Activities,2008,3740
Grey District,36 Cash Outgoings from Financing Activities,2008,219
Grey District,37 Net Financing Cash Flows,2008,3521
Grey District,26 Operating Receipts,2009,19522
Grey District,27 Operating Payments,2009,12274
Grey District,28 Net Operating Cash Flows,2009,7248
Grey District,29 Receipts from Investing Activities,2009,663
Grey District,30 Purchase of Property Plant & Equipment,2009,12021
Grey District,31 Fixed asset purchases,2009,0
Grey District,32 Renewals,2009,0
Grey District,33 Purchase of Other investments,2009,0
Grey District,34 Net Investing Cash Flows,2009,1358
Grey District,35 Cash Receipts from Financing Activities,2009,4381
Grey District,36 Cash Outgoings from Financing Activities,2009,285
Grey District,37 Net Financing Cash Flows,2009,4096
Grey District,26 Operating Receipts,2010,23858
Grey District,27 Operating Payments,2010,12565
Grey District,28 Net Operating Cash Flows,2010,11293
Grey District,29 Receipts from Investing Activities,2010,-276
Grey District,30 Purchase of Property Plant & Equipment,2010,13385
Grey District,31 Fixed asset purchases,2010,0
Grey District,32 Renewals,2010,0
Grey District,33 Purchase of Other investments,2010,0
Grey District,34 Net Investing Cash Flows,2010,3661
Grey District,35 Cash Receipts from Financing Activities,2010,4848
Grey District,36 Cash Outgoings from Financing Activities,2010,2336
Grey District,37 Net Financing Cash Flows,2010,2512
Grey District,26 Operating Receipts,2011,24812
Grey District,27 Operating Payments,2011,13230
Grey District,28 Net Operating Cash Flows,2011,11582
Grey District,29 Receipts from Investing Activities,2011,2097
Grey District,30 Purchase of Property Plant & Equipment,2011,12852
Grey District,31 Fixed asset purchases,2011,0
Grey District,32 Renewals,2011,0
Grey District,33 Purchase of Other investments,2011,0
Grey District,34 Net Investing Cash Flows,2011,755
Grey District,35 Cash Receipts from Financing Activities,2011,1532
Grey District,36 Cash Outgoings from Financing Activities,2011,2643
Grey District,37 Net Financing Cash Flows,2011,111
Grey District,26 Operating Receipts,2012,24919
Grey District,27 Operating Payments,2012,13457
Grey District,28 Net Operating Cash Flows,2012,11462
Grey District,29 Receipts from Investing Activities,2012,-88
Grey District,30 Purchase of Property Plant & Equipment,2012,10773
Grey District,31 Fixed asset purchases,2012,0
Grey District,32 Renewals,2012,0
Grey District,33 Purchase of Other investments,2012,0
Grey District,34 Net Investing Cash Flows,2012,861
Grey District,35 Cash Receipts from Financing Activities,2012,30
Grey District,36 Cash Outgoings from Financing Activities,2012,537
Grey District,37 Net Financing Cash Flows,2012,-507
Grey District,26 Operating Receipts,2013,22951
Grey District,27 Operating Payments,2013,13733
Grey District,28 Net Operating Cash Flows,2013,9218
Grey District,29 Receipts from Investing Activities,2013,40
Grey District,30 Purchase of Property Plant & Equipment,2013,14886
Grey District,31 Fixed asset purchases,2013,0
Grey District,32 Renewals,2013,0
Grey District,33 Purchase of Other investments,2013,0
Grey District,34 Net Investing Cash Flows,2013,4846
Grey District,35 Cash Receipts from Financing Activities,2013,6203
Grey District,36 Cash Outgoings from Financing Activities,2013,511
Grey District,37 Net Financing Cash Flows,2013,5692
Grey District,26 Operating Receipts,2014,24766
Grey District,27 Operating Payments,2014,14649
Grey District,28 Net Operating Cash Flows,2014,10117
Grey District,29 Receipts from Investing Activities,2014,-367
Grey District,30 Purchase of Property Plant & Equipment,2014,12257
Grey District,31 Fixed asset purchases,2014,0
Grey District,32 Renewals,2014,0
Grey District,33 Purchase of Other investments,2014,0
Grey District,34 Net Investing Cash Flows,2014,2624
Grey District,35 Cash Receipts from Financing Activities,2014,3207
Grey District,36 Cash Outgoings from Financing Activities,2014,570
Grey District,37 Net Financing Cash Flows,2014,2637
Grey District,26 Operating Receipts,2015,24329
Grey District,27 Operating Payments,2015,15244
Grey District,28 Net Operating Cash Flows,2015,9085
Grey District,29 Receipts from Investing Activities,2015,-728
Grey District,30 Purchase of Property Plant & Equipment,2015,7302
Grey District,31 Fixed asset purchases,2015,0
Grey District,32 Renewals,2015,0
Grey District,33 Purchase of Other investments,2015,0
Grey District,34 Net Investing Cash Flows,2015,-8030
Grey District,35 Cash Receipts from Financing Activities,2015,19
Grey District,36 Cash Outgoings from Financing Activities,2015,887
Grey District,37 Net Financing Cash Flows,2015,-868
Grey District,26 Operating Receipts,2016,24468
Grey District,27 Operating Payments,2016,15444
Grey District,28 Net Operating Cash Flows,2016,9024
Grey District,29 Receipts from Investing Activities,2016,-771
Grey District,30 Purchase of Property Plant & Equipment,2016,7191
Grey District,31 Fixed asset purchases,2016,0
Grey District,32 Renewals,2016,0
Grey District,33 Purchase of Other investments,2016,0
Grey District,34 Net Investing Cash Flows,2016,-7962
Grey District,35 Cash Receipts from Financing Activities,2016,14
Grey District,36 Cash Outgoings from Financing Activities,2016,887
Grey District,37 Net Financing Cash Flows,2016,-873
Hamilton City,26 Operating Receipts,2007,142972
Hamilton City,27 Operating Payments,2007,101551
Hamilton City,28 Net Operating Cash Flows,2007,41421
Hamilton City,29 Receipts from Investing Activities,2007,500
Hamilton City,30 Purchase of Property Plant & Equipment,2007,122806
Hamilton City,31 Fixed asset purchases,2007,0
Hamilton City,32 Renewals,2007,0
Hamilton City,33 Purchase of Other investments,2007,0
Hamilton City,34 Net Investing Cash Flows,2007,22306
Hamilton City,35 Cash Receipts from Financing Activities,2007,108970
Hamilton City,36 Cash Outgoings from Financing Activities,2007,28192
Hamilton City,37 Net Financing Cash Flows,2007,80778
Hamilton City,26 Operating Receipts,2008,156716
Hamilton City,27 Operating Payments,2008,110689
Hamilton City,28 Net Operating Cash Flows,2008,46027
Hamilton City,29 Receipts from Investing Activities,2008,8255
Hamilton City,30 Purchase of Property Plant & Equipment,2008,130035
Hamilton City,31 Fixed asset purchases,2008,0
Hamilton City,32 Renewals,2008,0
Hamilton City,33 Purchase of Other investments,2008,0
Hamilton City,34 Net Investing Cash Flows,2008,21780
Hamilton City,35 Cash Receipts from Financing Activities,2008,92833
Hamilton City,36 Cash Outgoings from Financing Activities,2008,17080
Hamilton City,37 Net Financing Cash Flows,2008,75753
Hamilton City,26 Operating Receipts,2009,171913
Hamilton City,27 Operating Payments,2009,121227
Hamilton City,28 Net Operating Cash Flows,2009,50686
Hamilton City,29 Receipts from Investing Activities,2009,0
Hamilton City,30 Purchase of Property Plant & Equipment,2009,134433
Hamilton City,31 Fixed asset purchases,2009,0
Hamilton City,32 Renewals,2009,0
Hamilton City,33 Purchase of Other investments,2009,0
Hamilton City,34 Net Investing Cash Flows,2009,34433
Hamilton City,35 Cash Receipts from Financing Activities,2009,94678
Hamilton City,36 Cash Outgoings from Financing Activities,2009,10931
Hamilton City,37 Net Financing Cash Flows,2009,83747
Hamilton City,26 Operating Receipts,2010,191339
Hamilton City,27 Operating Payments,2010,128164
Hamilton City,28 Net Operating Cash Flows,2010,63175
Hamilton City,29 Receipts from Investing Activities,2010,0
Hamilton City,30 Purchase of Property Plant & Equipment,2010,120426
Hamilton City,31 Fixed asset purchases,2010,0
Hamilton City,32 Renewals,2010,0
Hamilton City,33 Purchase of Other investments,2010,0
Hamilton City,34 Net Investing Cash Flows,2010,20426
Hamilton City,35 Cash Receipts from Financing Activities,2010,82644
Hamilton City,36 Cash Outgoings from Financing Activities,2010,25393
Hamilton City,37 Net Financing Cash Flows,2010,57251
