Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,AA Total Recipients (2015),aa Recipients Male 65+ (2015),aa Recipients Female 65+ (2015),aal Recipients Male 65+ (2015),aal Recipients Female 65+ (2015),aah Recipients Male 65+ (2015),aah Recipients Female 65+ (2015)
95QQ14,KILWAUGHTER,LARNE,80,30,40,0,10,30,30
95QQ15,TOWN PARKS,LARNE,60,20,40,0,10,20,20
95RR01,AGHANLOO,LIMAVADY,90,30,60,10,20,30,40
95RR02,BALLYKELLY,LIMAVADY,50,20,30,10,0,10,20
95RR03,COOLESSAN,LIMAVADY,40,20,20,0,10,10,20
95RR04,DUNGIVEN,LIMAVADY,80,30,50,10,10,20,40
95RR05,ENAGH (LIMAVADY),LIMAVADY,70,30,40,10,10,20,30
95RR06,FEENY,LIMAVADY,80,30,50,10,10,20,40
95RR07,FOREST,LIMAVADY,60,20,40,10,10,20,30
95RR08,GLACK,LIMAVADY,60,30,30,10,10,20,20
95RR09,GRESTEEL,LIMAVADY,60,30,30,10,10,20,20
95RR10,GREYSTONE (LIMAVADY),LIMAVADY,40,10,30,0,10,10,20
95RR11,MAGILLIGAN,LIMAVADY,100,40,70,10,10,30,50
95RR12,RATHBRADY,LIMAVADY,60,30,40,10,10,20,30
95RR13,ROESIDE,LIMAVADY,90,30,60,10,20,20,40
95RR14,THE HIGHLANDS,LIMAVADY,60,30,30,10,0,20,30
95RR15,UPPER GLENSHANE,LIMAVADY,60,20,40,10,10,20,30
95SS01,BALLINDERRY,LISBURN,120,40,80,10,30,40,50
95SS02,BALLYMACASH,LISBURN,110,40,70,10,20,20,50
95SS03,BALLYMACBRENNAN,LISBURN,90,40,50,10,10,30,30
95SS04,BALLYMACOSS,LISBURN,110,40,70,10,20,30,50
95SS05,BLARIS,LISBURN,110,40,70,10,20,30,50
95SS06,COLLIN GLEN,LISBURN,40,20,20,10,0,10,20
95SS07,DERRYAGHY,LISBURN,160,50,110,10,30,40,80
95SS08,DROMARA,LISBURN,140,50,90,20,20,30,80
95SS09,DRUMBO,LISBURN,100,40,60,10,20,30,40
95SS10,DUNMURRY,LISBURN,110,30,80,10,20,20,60
95SS11,GLENAVY,LISBURN,110,40,70,10,20,30,50
95SS12,HARMONY HILL,LISBURN,120,40,80,10,20,30,60
95SS13,HILDEN,LISBURN,90,30,60,10,10,20,50
95SS14,HILLHALL,LISBURN,90,40,50,10,20,30,40
95SS15,HILLSBOROUGH,LISBURN,140,50,90,20,40,30,50
95SS16,KILWEE,LISBURN,60,20,40,0,10,20,30
95SS17,KNOCKMORE,LISBURN,100,40,60,20,20,30,40
95SS18,LAGAN VALLEY,LISBURN,140,40,100,10,40,30,60
95SS19,LAMBEG,LISBURN,90,30,60,10,20,20,40
95SS20,LISNAGARVY,LISBURN,110,30,80,10,20,20,60
95SS21,MAGHABERRY,LISBURN,100,40,60,10,20,30,50
95SS22,MAGHERALAVE,LISBURN,110,30,80,10,20,20,70
95SS23,MAZE,LISBURN,80,30,50,10,10,20,40
95SS24,MOIRA,LISBURN,140,30,110,10,30,30,80
95SS25,OLD WARREN,LISBURN,70,30,40,10,20,20,30
95SS26,POLEGLASS,LISBURN,40,20,30,0,10,10,20
95SS27,SEYMOUR HILL,LISBURN,130,50,80,10,30,30,60
95SS28,TONAGH,LISBURN,90,30,60,10,20,20,40
95SS29,TWINBROOK,LISBURN,50,10,40,0,10,10,30
95SS30,WALLACE PARK,LISBURN,120,40,80,10,20,30,60
95TT01,BALLYMAGUIGAN,MAGHERAFELT,90,30,60,10,20,20,50
95TT02,BELLAGHY,MAGHERAFELT,90,40,50,10,10,30,40
95TT03,CASTLEDAWSON,MAGHERAFELT,110,40,60,10,20,30,40
95TT04,DRAPERSTOWN,MAGHERAFELT,80,30,50,10,10,20,40
95TT05,GLEBE (MAGHERAFELT),MAGHERAFELT,80,30,50,10,10,20,40
95TT06,GULLADUFF,MAGHERAFELT,90,40,60,10,20,30,40
95TT07,KNOCKCLOGHRIM,MAGHERAFELT,90,30,60,10,20,20,40
95TT08,LECUMPHER,MAGHERAFELT,70,30,50,10,10,20,40
95TT09,LOWER GLENSHANE,MAGHERAFELT,100,40,60,10,10,30,50
95TT10,MAGHERA,MAGHERAFELT,70,30,40,10,10,20,30
95TT11,SWATRAGH,MAGHERAFELT,90,30,60,10,20,20,50
95TT12,TOBERMORE,MAGHERAFELT,100,40,50,10,20,30,30
95TT13,TOWN PARKS EAST,MAGHERAFELT,80,30,50,10,10,20,40
95TT14,TOWN PARKS WEST,MAGHERAFELT,80,40,50,10,20,30,30
95TT15,UPPERLANDS,MAGHERAFELT,80,40,50,10,10,30,30
95TT16,VALLEY (MAGHERAFELT),MAGHERAFELT,80,30,50,10,20,30,30
95UU01,ARMOY,MOYLE,20,10,10,0,0,10,10
95UU02,BALLYLOUGH,MOYLE,40,10,20,0,10,10,10
95UU03,BONAMARGY AND RATHLIN,MOYLE,60,20,40,10,10,10,30
95UU04,BUSHMILLS,MOYLE,20,0,20,0,0,0,10
95UU05,CARNMOON,MOYLE,30,10,20,10,10,10,10
95UU06,DALRIADA,MOYLE,50,20,30,10,10,10,20
95UU07,DUNSEVERICK,MOYLE,30,10,20,10,10,10,10
95UU08,GLENAAN,MOYLE,40,20,30,0,0,10,20
95UU09,GLENARIFF,MOYLE,50,20,20,10,10,10,20
95UU10,GLENDUN,MOYLE,50,30,20,0,10,20,20
95UU11,GLENSHESK,MOYLE,40,10,20,0,0,10,20
95UU12,GLENTAISIE,MOYLE,50,30,20,10,10,10,20
95UU13,KINBANE,MOYLE,40,10,20,0,10,10,20
95UU14,KNOCKLAYD,MOYLE,50,20,40,10,10,10,20
95UU15,MOSS-SIDE AND MOYARGET,MOYLE,40,20,30,0,10,10,20
95VV01,ANNALONG,NEWRY AND MOURNE,130,40,90,10,30,30,60
95VV02,BALLYBOT,NEWRY AND MOURNE,90,40,60,10,20,30,40
95VV03,BESSBROOK,NEWRY AND MOURNE,90,30,60,10,20,20,50
95VV04,BINNIAN,NEWRY AND MOURNE,90,30,60,10,20,20,40
95VV05,BURREN AND KILBRONEY,NEWRY AND MOURNE,70,40,40,10,10,30,30
95VV06,CAMLOUGH,NEWRY AND MOURNE,80,30,50,10,10,20,40
95VV07,CLONALLAN,NEWRY AND MOURNE,120,40,80,10,20,30,60
95VV08,CREGGAN,NEWRY AND MOURNE,90,30,50,10,10,30,40
95VV09,CROSSMAGLEN,NEWRY AND MOURNE,70,30,50,0,10,20,40
95VV10,DAISY HILL,NEWRY AND MOURNE,80,30,50,0,10,20,40
95VV11,DERRYLECKAGH,NEWRY AND MOURNE,110,40,70,10,20,30,50
95VV12,DERRYMORE,NEWRY AND MOURNE,80,30,50,10,10,20,40
95VV13,DONAGHMORE (NEWRY AND MOURNE),NEWRY AND MOURNE,90,40,50,10,10,30,40
95VV14,DRUMALANE,NEWRY AND MOURNE,90,30,50,10,10,20,40
95VV15,DRUMGULLION,NEWRY AND MOURNE,70,30,40,10,10,20,30
95VV16,FATHOM,NEWRY AND MOURNE,100,30,60,10,10,20,50
95VV17,FORKHILL,NEWRY AND MOURNE,90,30,60,10,10,20,50
95VV18,KILKEEL CENTRAL,NEWRY AND MOURNE,150,50,100,20,30,30,70
95VV19,KILKEEL SOUTH,NEWRY AND MOURNE,90,30,60,10,20,20,40
95VV20,LISNACREE,NEWRY AND MOURNE,100,40,50,10,10,30,40
95VV21,MAYOBRIDGE,NEWRY AND MOURNE,100,30,70,0,10,30,60
95VV22,NEWTOWNHAMILTON,NEWRY AND MOURNE,90,40,50,10,10,30,50
95VV23,ROSTREVOR,NEWRY AND MOURNE,90,40,50,0,10,40,40
95VV24,SEAVIEW,NEWRY AND MOURNE,120,30,100,10,30,20,70
95VV25,SILVER BRIDGE,NEWRY AND MOURNE,100,50,50,10,10,40,50
95VV26,SPELGA,NEWRY AND MOURNE,90,30,60,10,20,20,40
95VV27,ST MARYS,NEWRY AND MOURNE,100,40,60,10,10,30,50
95VV28,ST PATRICKS,NEWRY AND MOURNE,110,40,70,10,10,30,60
95VV29,TULLYHAPPY,NEWRY AND MOURNE,90,30,50,10,10,20,40
95VV30,WINDSOR HILL,NEWRY AND MOURNE,110,30,80,10,20,20,50
95WW01,ABBEY,NEWTOWNABBEY,130,30,100,0,30,30,70
95WW02,BALLYCLARE NORTH,NEWTOWNABBEY,150,60,90,10,40,40,50
95WW03,BALLYCLARE SOUTH,NEWTOWNABBEY,120,40,80,10,30,30,50
95WW04,BALLYDUFF,NEWTOWNABBEY,70,30,40,10,20,20,30
95WW05,BALLYHENRY,NEWTOWNABBEY,110,40,80,10,30,20,50
95WW06,BALLYNURE,NEWTOWNABBEY,70,30,40,10,20,20,30
95WW07,BALLYROBERT,NEWTOWNABBEY,130,50,90,20,30,30,60
95WW08,BURNTHILL,NEWTOWNABBEY,90,30,60,20,30,10,40
95WW09,CARNMONEY,NEWTOWNABBEY,130,50,80,20,30,30,50
95WW10,CLOUGHFERN,NEWTOWNABBEY,90,20,70,0,20,20,50
95WW11,COLLINBRIDGE,NEWTOWNABBEY,80,30,50,0,20,20,30
95WW12,COOLE,NEWTOWNABBEY,90,30,70,10,30,20,40
95WW13,DOAGH,NEWTOWNABBEY,100,40,60,10,20,30,40
95WW14,DUNANNEY,NEWTOWNABBEY,100,30,70,10,20,20,50
95WW15,GLEBE (NEWTOWNABBEY),NEWTOWNABBEY,90,40,50,10,20,30,30
95WW16,GLENGORMLEY,NEWTOWNABBEY,130,40,80,20,30,20,50
95WW17,HAWTHORNE,NEWTOWNABBEY,90,20,70,10,20,20,50
95WW18,HIGHTOWN,NEWTOWNABBEY,130,50,80,20,40,30,50
95WW19,JORDANSTOWN,NEWTOWNABBEY,150,60,100,20,30,40,60
95WW20,MALLUSK,NEWTOWNABBEY,100,40,60,10,20,30,40
95WW21,MONKSTOWN,NEWTOWNABBEY,70,30,50,10,20,20,30
95WW22,MOSSLEY,NEWTOWNABBEY,70,30,40,10,20,20,20
95WW23,ROSTULLA,NEWTOWNABBEY,130,40,80,10,30,30,50
95WW24,VALLEY (NEWTOWNABBEY),NEWTOWNABBEY,150,50,100,20,30,30,70
95WW25,WHITEHOUSE,NEWTOWNABBEY,130,40,90,10,30,30,50
95XX01,BALLYCROCHAN,NORTH DOWN,80,30,50,10,20,20,40
95XX02,BALLYHOLME,NORTH DOWN,120,40,90,10,20,30,70
95XX03,BALLYMACONNELL,NORTH DOWN,70,20,40,10,20,20,30
95XX04,BALLYMAGEE,NORTH DOWN,100,30,70,10,30,20,40
95XX05,BANGOR CASTLE,NORTH DOWN,150,60,90,20,30,40,60
95XX06,BLOOMFIELD (NORTH DOWN),NORTH DOWN,100,30,70,10,30,20,40
95XX07,BROADWAY,NORTH DOWN,180,60,120,20,40,40,80
95XX08,BRYANSBURN,NORTH DOWN,120,40,80,10,30,30,50
95XX09,CHURCHILL,NORTH DOWN,220,60,160,20,50,40,110
95XX10,CLANDEBOYE,NORTH DOWN,70,20,40,10,10,20,30
95XX11,CONLIG,NORTH DOWN,80,30,50,10,10,20,40
95XX12,CRAIGAVAD,NORTH DOWN,70,30,40,10,10,20,30
95XX13,CRAWFORDSBURN,NORTH DOWN,110,40,70,10,20,30,50
95XX14,CULTRA,NORTH DOWN,100,30,70,10,20,20,50
95XX15,DUFFERIN,NORTH DOWN,90,30,60,10,20,20,40
95XX16,GROOMSPORT,NORTH DOWN,190,70,120,20,40,50,80
95XX17,HARBOUR (NORTH DOWN),NORTH DOWN,70,30,40,0,20,20,30
95XX18,HOLYWOOD DEMESNE,NORTH DOWN,130,40,90,10,30,30,60
95XX19,HOLYWOOD PRIORY,NORTH DOWN,90,20,60,10,10,10,50
95XX20,LOUGHVIEW,NORTH DOWN,120,40,80,10,30,30,50
95XX21,PRINCETOWN,NORTH DOWN,120,40,70,20,30,30,50
95XX22,RATHGAEL,NORTH DOWN,70,30,40,10,20,20,30
95XX23,SILVERSTREAM,NORTH DOWN,110,30,70,10,20,20,50
95XX24,SPRING HILL,NORTH DOWN,140,50,90,20,30,30,60
95XX25,WHITEHILL,NORTH DOWN,90,30,70,10,30,20,40
95YY01,BERAGH,OMAGH,70,30,40,0,10,30,30
95YY02,CAMOWEN,OMAGH,100,40,60,10,20,30,50
95YY03,CLANABOGAN,OMAGH,60,20,40,10,10,20,30
95YY04,COOLNAGARD,OMAGH,60,30,40,0,10,30,30
95YY05,DERGMONEY,OMAGH,70,20,50,0,10,20,40
95YY06,DROMORE,OMAGH,70,30,40,0,10,20,30
95YY07,DRUMNAKILLY,OMAGH,80,30,40,10,10,30,30
95YY08,DRUMQUIN,OMAGH,70,20,50,0,10,20,40
95YY09,DRUMRAGH,OMAGH,80,30,50,10,20,30,40
95YY10,FAIRY WATER,OMAGH,70,30,40,10,0,20,40
95YY11,FINTONA,OMAGH,70,30,50,10,10,20,30
95YY12,GORTIN,OMAGH,80,30,50,0,10,20,40
95YY13,GORTRUSH,OMAGH,50,20,30,10,10,10,20
95YY14,KILLYCLOGHER,OMAGH,60,20,40,0,10,20,30
95YY15,LISANELLY,OMAGH,60,20,30,0,10,20,20
95YY16,NEWTOWNSAVILLE,OMAGH,80,40,30,10,0,40,30
95YY17,OWENKILLEW,OMAGH,70,30,40,10,10,20,30
95YY18,SIXMILECROSS,OMAGH,60,30,40,10,10,20,30
95YY19,STRULE,OMAGH,80,20,50,10,10,20,40
95YY20,TERMON,OMAGH,60,20,40,0,10,20,30
95YY21,TRILLICK,OMAGH,80,30,50,10,10,30,30
95ZZ01,ARTIGARVAN,STRABANE,80,30,50,10,20,20,30
95ZZ02,BALLYCOLMAN,STRABANE,60,20,40,10,10,10,30
95ZZ03,CASTLEDERG,STRABANE,80,30,50,0,10,30,50
95ZZ04,CLARE,STRABANE,90,30,60,0,20,30,40
95ZZ05,DUNNAMANAGH,STRABANE,80,30,50,10,0,20,40
95ZZ06,EAST,STRABANE,60,30,40,10,10,20,30
95ZZ07,FINN,STRABANE,50,20,30,0,10,20,20
95ZZ08,GLENDERG,STRABANE,80,30,50,10,20,30,30
95ZZ09,NEWTOWNSTEWART,STRABANE,80,20,60,10,10,20,50
95ZZ10,NORTH,STRABANE,80,40,50,10,10,30,40
95ZZ11,PLUMBRIDGE,STRABANE,80,30,50,10,10,30,40
95ZZ12,SION MILLS,STRABANE,80,40,50,10,10,30,40
95ZZ13,SLIEVEKIRK,STRABANE,70,30,40,10,10,20,30
95ZZ14,SOUTH,STRABANE,60,30,30,10,10,20,20
95ZZ15,VICTORIA BRIDGE,STRABANE,80,30,50,0,10,30,40
95ZZ16,WEST,STRABANE,70,20,50,10,20,20,40
