FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
143,90444.060452,1325.808956,710,1331,310,1325.808906,90444.069944,2.076318
144,151809.28,1602.500023,251,5758,0,1602.500066,151809.277631,3.485075
145,119009.598189,1996.335413,539,2311,310,1996.335432,119009.622614,2.732096
146,319942.87334,5804.99723,50,0,0,5804.99725,319942.888435,7.344907
147,178581.203223,2813.592581,711,1039,310,2813.592638,178581.207102,4.099677
148,9746.608678,574.961758,252,0,0,574.961694,9746.604847,0.223752
149,1086239.00901,5140.274604,540,0,0,5140.274811,1086239.04188,24.936717
150,72724.935647,1485.692773,712,5790,0,1485.692752,72724.937199,1.669542
151,66579.117387,1197.650785,253,0,0,1197.650836,66579.1252,1.528453
152,6260439.64014,20647.94759,51,0,0,20647.947602,6260439.57082,143.720492
153,354897.419411,3352.037889,713,581,310,3352.037933,354897.421762,8.147356
154,195888.817304,1745.064055,254,2288,310,1745.064189,195888.819291,4.497006
155,39174.212756,864.084801,541,2018,310,864.084794,39174.21221,0.89932
156,12183.52,414.038754,255,0,0,414.038769,12183.520233,0.279696
157,7504.189726,362.951353,714,0,0,362.951309,7504.189906,0.172273
158,70315.689723,2075.038362,542,0,0,2075.038348,70315.660354,1.614232
159,592825.943492,3547.296556,52,651,310,3547.296623,592825.953455,13.609466
160,9694.41099,685.790605,715,4529,310,685.790736,9694.417385,0.222554
161,30268.665578,784.411499,256,4963,310,784.411506,30268.67459,0.694876
162,1986950.59813,12237.335586,543,4179,310,12237.3361,1986950.64467,45.614293
163,347488.139196,3472.532915,257,4173,310,3472.532928,347488.160279,7.977262
164,1470549.81454,10103.108227,716,580,310,10103.107899,1470549.79658,33.759313
165,302181.296622,3240.773063,53,621,310,3240.772942,302181.336962,6.937157
166,1539504.72695,6365.926613,544,986,310,6365.926705,1539504.73833,35.342307
167,2245424.24925,12778.006925,717,1002,310,12778.006681,2245424.21138,51.548053
168,4714820.33053,21260.6073,54,0,0,21260.60738,4714820.38342,108.237815
169,1024750.12263,7231.966422,258,1502,310,7231.966368,1024750.13543,23.52512
170,278121.349157,4196.863408,545,579,310,4196.863281,278121.344684,6.384813
171,7395.12372,441.285913,259,4960,310,441.285966,7395.119852,0.169769
172,282.649332,74.097458,260,4962,310,74.097408,282.649136,0.006489
173,156752.659593,2251.371066,718,4525,310,2251.370779,156752.639828,3.59856
174,405959.635995,3950.186994,546,1026,310,3950.187006,405959.641233,9.319588
175,2608.46,329.858404,261,4193,310,329.858489,2608.460735,0.059882
176,310.573117,248.222264,55,839,310,248.222299,310.575295,0.00713
177,1932.709541,228.687073,262,4961,310,228.687201,1932.710837,0.044369
178,533186.9716,4432.034141,56,671,310,4432.034183,533186.961968,12.240337
179,1074021.54106,7805.375468,263,612,310,7805.375515,1074021.5386,24.65624
180,123647.461087,1562.15699,719,0,0,1562.157109,123647.460448,2.838566
181,432277.664549,3331.109669,57,832,310,3331.109596,432277.665664,9.923769
182,1808531.65904,15126.552587,264,787,310,15126.552521,1808531.62103,41.518339
183,85665.247001,1270.799047,547,1007,310,1270.799059,85665.252688,1.966611
184,161552.628643,2967.677797,720,999,310,2967.677829,161552.626585,3.708753
185,575.928787,99.31825,548,0,0,99.318331,575.93113,0.013222
186,2727.109447,334.953395,721,4527,310,334.953442,2727.106367,0.062606
187,16575579.2043,53738.432398,549,2231,310,53738.432385,16575579.3501,380.524464
188,643125.940811,6818.044773,722,582,310,6818.045,643125.934889,14.764199
189,8834.881713,383.725846,550,608,310,383.725831,8834.881639,0.202822
190,37984.297333,756.673742,723,5046,310,756.673767,37984.29516,0.872003
191,2944181.60397,13477.113004,724,977,310,13477.113202,2944181.63625,67.58938
192,77349.98732,1238.84736,551,0,0,1238.847357,77349.975742,1.775718
193,169204.126947,2213.258916,552,0,0,2213.258755,169204.113828,3.884407
