X,Y,OBJECTID_1,OBJECTID,TAG,MAP,REFNo,CLASS_MAP,GRID_REF,DESCRIP,Edit_By,EditDate,GlobalID
171.792938319042861,-42.19246967151777,19463,174,213, ,213,L31,10300 89800,Gold Workings,,,{32E13351-5A23-4596-B160-640B494FE082}
171.796310004356769,-42.206010746900141,19464,175,214, ,214,L31,10600 88300,Water Race,,,{163822C9-C250-48EC-A216-50776EE59DED}
171.894541753388268,-42.198010195807598,19465,176,215, ,215,L31,18700 89300,Goldmine,,,{FF5D3190-3B60-4AD8-9789-D72F90071D49}
171.887101785456736,-42.207840949852184,19466,177,216, ,216,L31,18100 88200,Miners' Track,,,{4646AE3E-BBFE-484E-B092-700FE5B97948}
171.889411473460882,-42.214166038537542,19467,178,217, ,217,L31,18300 87500,Goldmine/Battery,,,{60D758AB-A009-4F6D-9560-BA42DEAF69D2}
171.913630302903243,-42.21440134204213,19468,179,218, ,218,L31,20300 87500,Goldmine/Battery,,,{FAE23C23-435E-4642-A860-146C7A8174ED}
171.903879597735397,-42.217908582360387,19469,180,219, ,219,L31,19500 87100,Goldmine/Battery,,,{91739E7F-90E2-4D88-A06F-15ACBB26D9FD}
171.896120571387087,-42.245743594611476,19470,181,220, ,220,L31,18900 84000,Track,,,{352D43BC-D377-48B7-BAF5-28484813F64B}
171.800324002737057,-42.249269810333232,19471,182,221, ,221,L31,11000 83500,Water Race,,,{EF5AB671-47FF-4373-8A67-6CE77E47EE10}
171.794079409082428,-42.196083215090127,19472,183,222, ,222,L31,10400 89400,Miners' Track,,,{CFFD7B1F-F205-4C86-8291-95D9D8C06EF1}
171.956314514459876,-42.196796739983867,19473,184,223, ,223,L31,23800 89500,Water Race,,,{25518CFE-661F-4361-B648-AEF3F0D71182}
171.82370792364037,-42.294532349470643,19474,185,224, ,224,L31,13000 78500,Goldmine,,,{AC2A4F22-9E0B-475F-85BD-6DF4D155C7A8}
171.839325182434578,-42.367620913423281,19475,186,225, ,225,L31,14400 70400,Track,,,{FAAD67D6-49F6-42D5-AC29-F00F2C1A9915}
171.824767755156245,-42.30264641153218,19476,187,226, ,226,L31,13100 77600,Power House/Water Race,,,{D928993D-3CE6-4D96-9BEC-C12B8B20C385}
171.828676096468882,-42.288281521058892,19477,188,227, ,227,L31,13400 79200,Goldmine/Cableway/Pipeline/Tramway,,,{089B71E3-A5DD-4CED-9F91-388E03B135EB}
171.823640024682561,-42.298132998454577,19478,189,228, ,228,L31,13000 78100,Goldmine,,,{29B6B52C-19EB-4C31-9868-51B8796CA50A}
171.824818638265924,-42.2999459231009,19479,190,229, ,229,L31,13100 77900,Goldmine,,,{06A0133F-D60C-4501-9256-AE004AF804B3}
171.827277628365948,-42.298170759433106,19480,191,231, ,231,L31,13300 78100,Tramway,,,{1C42323F-A16E-4446-921C-604980FF8620}
171.830965850338828,-42.295507911239632,19481,192,232, ,232,L31,13600 78400,Goldmine,,,{8AE88AEA-0B5B-48FB-BBA2-371728F31EEF}
171.827446835340623,-42.289169126662628,19482,193,236, ,236,L31,13300 79100,Ore Processing,,,{A1ABE552-7048-4879-8E1E-7FD95FC76014}
171.819883209617132,-42.304396250417376,19483,194,239, ,239,L31,12700 77400,Goldmine,,,{BC52F844-D184-46DF-9F57-29C60F6341E4}
171.814861537625717,-42.313347154420619,19484,195,241, ,241,L31,12300 76400,Goldmine,,,{180723C4-7106-40D9-B675-B06E7A397337}
171.805417618002309,-42.299742766209349,19485,196,242, ,242,L31,11500 77900,Water Race,,,{BD67CC92-2040-46B9-902F-73B88833C858}
171.834872306089466,-42.281142790685664,19486,197,243, ,243,L31,13900 80000,Goldmining,,,{1A4FD29C-E215-4263-98CA-2558D94B7E28}
171.831067057045516,-42.290106925984638,19487,198,244, ,244,L31,13600 79000,Goldmine,,,{2BE7EDC3-2066-4A9A-AEB6-909B2450E27E}
171.827396080032315,-42.291869616406103,19488,199,245, ,245,L31,13300 78800,Goldmine,,,{7118B5C8-C066-4375-AC9E-328A7AAEF82F}
172.160769126542192,-42.389370763223539,19489,200,246, ,246,L31,40900 68300,Miners' Track,,,{EBD51680-9462-4BC9-A451-EAE65EEE4CF3}
172.010096731677976,-42.470080562878458,19490,201,247, ,247,L32,28600 59200,Findspot,,,{BE415BBA-BC0B-4FF9-AF20-9B61C0AF4295}
172.015060517931317,-42.463821650007731,19491,202,248, ,248,L32,29000 59900,Findspot,,,{49447132-FB28-410B-BC05-BD4EB4BB0F9F}
172.605444288063381,-41.217727764751622,19492,203,249,A2,249,M27,76900 98700,Goldfield,,,{CBD91F65-DE14-49CD-9915-F134F5C78845}
171.461205079121925,-41.796795759684159,19493,212,19, ,19,K29,82100 33300,Shell Midden,,,{214B9987-237A-4B0C-A25F-655B4983228F}
172.104632103547658,-41.130250690192256,19494,213,91, ,91,L27,34800 08100,Adze Findspot,,,{397E9A6A-CAB4-4828-9E18-70E88E79CD9F}
171.919826963456501,-42.065904526859789,19495,214,190, ,190,L30,20600 04000,Town Site,,,{47D6B63B-BC16-4215-A941-4C52B802EFD1}
171.465536777644729,-41.816661956620216,19496,215,25, ,25,K29,82500 31100,Shell Midden,,,{62A12497-3A9C-4574-8B1F-A139F1FBB48E}
172.016369352774547,-41.557191840134514,19497,216,96, ,96,L28,27900 60600,Track,,,{6ADF67CF-7204-4FC1-9D8A-514D1C913A85}
171.455238410147018,-41.774523382060686,19498,217,5, ,5,K29,81600 35800,Village,,,{CD805D1F-0B2A-44DB-B4A7-F40424B0BDFB}
171.411486346691902,-41.954520671124797,19499,219,54, ,54,K30,78200 15700,Source Site,,,{4E129F18-6300-4231-87E4-E02E3FB8CE5A}
171.365868261263131,-42.052799521065921,19500,220,61, ,61,K30,74500 04700,Flint Source,,,{28863010-F526-43FE-B2C3-2B8EA8DC5DBF}
171.353262523126375,-42.074711051034576,19501,221,56, ,56,K30,73700 02300,Rock Shelter,,,{B360F9A0-97CB-40CB-999A-C2A4837DAC0E}
171.353136051540417,-42.078928994997412,19502,222,76, ,76,K30,73600 01800,Grave,,,{C6334BA9-27E1-4CF4-8AE2-F3CDEB453DB5}
171.342640110938277,-42.085049020821117,19503,223,60, ,60,K30,72800 01100,Sea Caves,,,{D6E8AEA3-2F07-47EF-8CC5-ACF1205F979B}
172.107140949593116,-40.987272723234824,19504,224,85, ,85,L26,34700 24000,Ovenstones,,,{965BA9A2-A29A-45B5-9C1D-9E2119A39AE9}
172.103001176341166,-41.109715944000605,19505,225,87, ,87,L26,34500 10400,Ovens,,,{EFC87175-82F7-49B6-B566-C1CE819B7BB5}
172.103954608483377,-41.124896313927252,19506,226,90, ,90,L27,34600 08700,Artefact Findspot,,,{25318D7B-4A4E-46C2-84C1-46BAB3D22E44}
171.46946763928284,-41.823893313319132,19507,227,27, ,27,K29,82700 30300,Shell Midden,,,{8A1200C0-A321-482D-8117-BFCC9F11C3E5}
171.472409180380083,-41.820280594564743,19508,228,11, ,11,K29,83000 30700,Shell Midden,,,{AA7A9853-5DE8-487A-93F1-289B32BB6A61}
171.473504351911089,-41.821587776155518,19509,229,26, ,26,K29,83000 30600,Shell Midden,,,{E6C4BD21-601E-462A-B3D8-0818098B2589}
172.102927172237173,-41.258936436378491,19510,230,93, ,93,L27,34800 93800,Midden,,,{21BF99D2-B270-435D-A198-05BFD76E0B90}
171.499621294485422,-41.748827845731149,19511,231,9, ,9,K29,85200 38700,Shell Midden,,,{6A32093D-D9BE-4976-B449-75B1149FD990}
171.338013646713875,-42.092161938776954,19512,232,58, ,58,K30,72500 00300,Sea Caves,,,{5ED62C50-38AE-4E9E-83A8-85A45CD36C13}
171.381182636006542,-42.031065921522895,19513,233,55, ,55,K30,76000 07200,Cave,,,{5EEE7319-A672-455D-B2C3-31EE53957761}
171.893347707141544,-42.129638569435393,19514,234,143, ,143,L30,18700 96900,Mine/Battery,,,{220DA497-097C-497A-8448-45B24E6898C1}
171.8933102643756,-42.130479226582764,19515,235,173, ,173,L30,18700 96800,Goldmine,,,{07E5406F-EED0-444B-B679-F5AFE34E7336}
171.795008386364344,-41.677810666065888,19516,236,125, ,125,L29,10000 47300,Foundry,,,{A0ECFE72-5ECB-4CA2-A0CA-8D330D3191C2}
171.711047269367072,-41.757588592211157,19517,237,32, ,32,K29,02800 38000,Gold Workings,,,{F478CF6B-E2D3-4A81-A51A-ACF9FF579180}
171.458931785424369,-41.763258644767326,19518,238,6, ,6,K29,83300 38700,Tunnel,,,{F421E380-7263-49E2-8B90-57FE0B9F1749}
172.053099931966045,-41.797049431107204,19519,239,121, ,121,L29,31300 34100,Cemetery,,,{21426C2C-554D-4A36-9BA9-397D95E3DDD9}
171.82062557958244,-42.307299847249979,19520,240,240, ,240,L31,12800 77100,Goldmine/Battery,,,{318DC0BC-230D-41ED-A554-1B5DA4F2C188}
