RECORD_NUMBER,REGION,RESIDENCE_TYPE,FAMTYPE,POPBASE,SEX,AGE,MARSTAT,STUDENT,COB,HEALTH,ETHNICITY,RELIGIONNI,RELIGIONBNI,ECONACT,OCC,INDUSTRY,HOURS
5349963,N92000002,H,2,1,2,8,2,2,2,4,1,1,1,5,4,10,2
5425390,N92000002,H,1,1,2,3,1,2,1,1,1,2,2,1,4,7,3
5275448,N92000002,H,2,1,2,7,2,2,1,2,1,2,2,5,2,11,2
5399329,N92000002,H,2,1,1,4,2,2,1,3,1,1,1,8,7,8,3
5325983,N92000002,H,2,1,1,7,2,2,1,1,1,2,2,5,4,9,3
5377623,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5376868,N92000002,H,2,1,1,4,2,2,1,1,1,1,1,1,2,10,3
5353568,N92000002,H,2,1,2,1,1,1,2,1,1,1,1,-9,-9,-9,-9
5403079,N92000002,H,2,1,2,5,2,2,1,1,1,2,2,7,7,5,1
5378803,N92000002,H,1,1,1,4,1,2,1,4,1,2,2,9,-9,-9,-9
5278763,N92000002,H,5,1,2,1,1,2,1,2,1,2,2,-9,-9,-9,-9
5353073,N92000002,H,2,1,1,1,1,2,1,1,1,2,2,-9,-9,-9,-9
5328298,N92000002,H,2,1,2,8,2,2,1,3,1,8,2,5,6,10,2
5254403,N92000002,H,1,1,2,8,5,2,1,5,1,3,2,5,8,2,3
5353658,N92000002,H,1,1,2,4,1,2,1,2,1,1,1,1,4,4,3
5378173,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,1,6,11,3
5354293,N92000002,H,5,1,2,1,1,1,1,1,1,7,4,-9,-9,-9,-9
5429918,N92000002,H,5,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5305003,N92000002,H,2,1,2,7,2,2,1,5,1,3,2,5,6,1,2
5429365,N92000002,H,3,1,1,3,1,2,1,1,1,2,2,2,5,10,3
5429005,N92000002,H,2,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5330798,N92000002,H,2,1,2,3,2,2,2,2,1,1,1,9,3,8,3
5381003,N92000002,H,2,1,1,1,1,1,1,2,1,2,2,-9,-9,-9,-9
5381558,N92000002,H,2,1,2,5,2,2,1,1,1,1,1,7,7,4,1
5232373,N92000002,H,2,1,1,6,2,2,1,1,1,2,2,2,5,3,4
5357003,N92000002,H,2,1,2,1,1,2,1,2,1,1,1,-9,-9,-9,-9
5406699,N92000002,H,2,1,2,1,1,2,1,1,1,2,2,-9,-9,-9,-9
5357743,N92000002,H,1,1,2,6,1,2,1,1,1,2,2,5,2,11,3
5357248,N92000002,H,2,1,1,6,2,2,1,3,1,7,4,5,7,4,3
5332868,N92000002,H,2,1,2,3,2,2,1,1,1,1,1,1,3,8,3
5357308,N92000002,H,2,1,1,2,1,2,1,2,1,5,2,9,-9,-9,-9
5333218,N92000002,H,5,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5309568,N92000002,H,2,1,2,3,1,2,1,1,1,1,1,7,7,4,3
5334213,N92000002,H,2,1,1,1,1,2,1,1,1,5,2,-9,-9,-9,-9
5409354,N92000002,H,2,1,2,3,2,2,1,1,1,1,1,1,4,10,3
5334813,N92000002,H,2,1,2,4,2,2,1,4,1,2,2,8,-9,-9,-9
5359338,N92000002,H,2,1,1,2,1,1,1,1,1,2,2,4,9,4,1
5235148,N92000002,H,5,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5310078,N92000002,H,1,1,2,8,1,2,1,3,1,5,2,5,9,11,3
5410724,N92000002,H,4,1,2,2,1,1,1,1,1,2,2,4,7,4,1
5410589,N92000002,H,5,1,2,3,4,2,1,1,1,1,1,3,9,5,2
5335453,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5237183,N92000002,H,1,1,2,2,1,2,1,2,1,2,2,1,5,4,3
5338078,N92000002,H,2,1,2,6,2,2,1,2,1,5,2,1,6,11,3
5363403,N92000002,H,2,1,2,8,2,2,1,2,1,2,2,5,7,4,3
5287873,N92000002,H,2,1,2,6,2,2,1,2,1,1,1,7,6,9,3
5362633,N92000002,H,2,1,1,2,1,2,1,1,1,1,1,1,7,4,1
5362168,N92000002,H,2,1,2,1,1,1,2,1,2,2,2,-9,-9,-9,-9
5364343,N92000002,H,3,1,2,2,1,2,1,2,1,8,1,7,9,8,2
5263918,N92000002,H,2,1,1,2,1,2,1,2,1,7,4,3,-9,-9,-9
5240118,N92000002,H,1,1,2,3,1,2,1,3,1,7,4,2,9,8,2
5263858,N92000002,H,2,1,1,6,2,2,1,2,1,5,2,1,5,3,2
5364498,N92000002,H,1,1,1,7,4,2,1,5,1,1,1,5,3,9,3
5363588,N92000002,H,5,1,1,5,1,2,1,3,1,1,1,8,-9,-9,-9
5315813,N92000002,H,2,1,2,3,2,2,1,1,1,5,2,2,1,8,3
5315543,N92000002,H,5,1,1,1,1,1,1,1,1,7,4,-9,-9,-9,-9
5415469,N92000002,H,2,1,2,7,2,2,1,1,1,1,1,1,7,4,2
5391923,N92000002,H,1,1,1,2,1,1,1,2,1,1,1,4,2,10,1
5393403,N92000002,H,2,1,2,2,1,1,2,2,1,1,1,4,8,3,3
5393313,N92000002,H,2,1,2,2,1,2,1,2,1,4,2,9,7,4,1
5418700,N92000002,H,3,1,1,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5417896,N92000002,H,2,1,2,3,2,2,2,2,1,1,1,3,9,8,2
5370153,N92000002,H,3,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5269848,N92000002,H,2,1,1,4,1,2,1,5,1,1,1,8,7,6,2
5393938,N92000002,H,1,1,2,7,5,2,1,3,1,1,1,5,2,12,2
5344353,N92000002,H,1,1,2,3,1,2,1,1,1,8,1,7,7,4,2
5295303,N92000002,H,2,1,2,6,2,2,1,3,1,1,1,5,9,10,2
5369743,N92000002,H,2,1,2,5,2,2,1,2,1,1,1,1,6,11,1
5345168,N92000002,H,4,1,1,3,1,2,1,1,1,1,1,7,3,9,3
5320948,N92000002,H,2,1,1,1,1,1,1,1,1,7,4,-9,-9,-9,-9
5370598,N92000002,H,5,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5271298,N92000002,H,2,1,2,7,2,2,1,1,1,1,1,5,2,10,3
5420730,N92000002,H,2,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5322918,N92000002,H,2,1,2,1,1,2,1,1,1,1,1,-9,-9,-9,-9
5397189,N92000002,H,5,1,2,5,5,2,2,1,1,1,1,7,5,4,2
5398884,N92000002,H,2,1,1,3,1,2,1,1,1,2,2,2,5,3,4
5324048,N92000002,H,2,1,1,4,2,2,1,1,1,2,2,1,1,3,3
5375463,N92000002,H,5,1,2,7,5,2,1,4,1,1,1,5,9,10,1
5425195,N92000002,H,1,1,2,7,5,2,1,1,1,3,2,5,-9,-9,-9
5274998,N92000002,H,3,1,1,3,1,2,1,2,1,1,1,1,1,4,4
5299808,N92000002,H,2,1,2,3,2,2,2,1,2,6,3,7,7,11,1
5374633,N92000002,H,2,1,2,1,1,1,2,1,1,1,1,-9,-9,-9,-9
5400154,N92000002,H,2,1,1,4,2,2,1,2,1,7,2,1,3,6,3
5249583,N92000002,H,5,1,2,2,1,1,1,1,1,3,2,6,7,4,1
5251128,N92000002,H,2,1,2,3,2,2,1,2,1,1,1,7,8,3,3
5400713,N92000002,H,5,1,2,1,1,2,2,1,1,1,1,-9,-9,-9,-9
5301878,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5277958,N92000002,H,2,1,1,4,2,2,1,1,1,7,1,2,3,11,2
5351998,N92000002,H,4,1,2,5,1,2,1,4,1,7,4,8,-9,-9,-9
5326973,N92000002,H,2,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5352813,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,1,3,8,3
5352298,N92000002,H,5,1,2,5,3,2,1,3,1,8,2,8,-9,-9,-9
5327868,N92000002,H,2,1,1,3,1,2,1,1,1,1,1,1,2,12,2
5378668,N92000002,H,2,1,1,5,2,2,1,1,1,1,1,1,3,11,3
5353008,N92000002,H,2,1,1,7,2,2,1,5,1,3,2,5,4,9,4
5278258,N92000002,H,2,1,1,1,1,1,1,1,1,8,2,-9,-9,-9,-9
5427890,N92000002,H,2,1,2,4,2,2,1,1,1,2,2,1,4,9,2
5403338,N92000002,H,2,1,1,3,2,2,1,3,1,3,2,1,8,4,3
5404569,N92000002,H,2,1,1,7,2,2,1,1,1,2,2,5,2,10,3
5279728,N92000002,H,5,1,2,5,1,2,1,2,1,5,2,1,4,9,2
5355408,N92000002,H,2,1,1,7,2,2,1,2,1,1,1,5,8,2,3
5330963,N92000002,H,1,1,2,2,1,2,1,1,1,1,1,3,-9,-9,-9
5356563,N92000002,H,5,1,2,1,1,2,1,1,1,2,2,-9,-9,-9,-9
5281993,N92000002,H,5,1,2,3,1,2,1,1,1,8,2,7,2,11,3
5356988,N92000002,H,2,1,2,5,2,2,1,2,1,2,2,1,4,10,2
5332733,N92000002,H,2,1,2,6,2,2,1,1,1,5,2,5,4,9,3
5232788,N92000002,H,2,1,1,7,2,2,1,3,1,4,2,5,9,9,3
5382978,N92000002,H,2,1,1,2,1,2,1,1,1,8,1,1,3,12,3
5408799,N92000002,H,1,1,2,8,5,2,1,3,1,1,1,5,4,10,2
5409289,N92000002,H,2,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5309498,N92000002,H,2,1,1,5,2,2,1,1,1,1,1,1,3,2,3
5360283,N92000002,H,2,1,1,6,2,2,1,2,1,2,2,1,1,3,3
5335393,N92000002,H,3,1,1,3,1,2,1,1,1,3,2,1,1,5,3
5384873,N92000002,H,3,1,1,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5361018,N92000002,H,3,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5387313,N92000002,H,2,1,2,4,2,2,1,2,1,1,1,1,7,8,2
5361118,N92000002,H,2,1,2,5,2,2,1,3,1,7,2,7,8,6,3
5239168,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5313293,N92000002,H,2,1,1,4,2,2,1,1,1,3,2,1,2,9,3
5313788,N92000002,H,2,1,1,5,2,2,1,2,1,2,2,1,2,12,3
5362013,N92000002,H,1,1,1,5,3,2,1,3,1,4,2,8,5,3,3
5315223,N92000002,H,2,1,2,5,2,2,1,1,1,5,2,1,4,12,3
5315243,N92000002,H,2,1,2,1,1,1,1,1,1,7,4,-9,-9,-9,-9
5414954,N92000002,H,4,1,1,6,5,2,1,2,1,3,2,2,5,4,4
5366348,N92000002,H,2,1,1,1,1,2,1,2,1,3,2,-9,-9,-9,-9
5390678,N92000002,H,2,1,1,4,2,2,1,1,1,3,2,7,9,8,4
5316183,N92000002,H,1,1,1,4,4,2,1,2,1,2,2,2,9,9,2
5365948,N92000002,H,2,1,1,3,2,2,1,3,1,6,3,2,8,3,3
5390688,N92000002,H,1,1,1,3,1,2,1,2,1,2,2,1,5,6,3
5341688,N92000002,H,2,1,2,4,2,2,1,2,1,3,2,1,2,11,1
5391418,N92000002,H,1,1,1,8,1,2,1,3,1,7,2,5,8,4,2
5341863,N92000002,H,2,1,1,7,2,2,1,3,1,2,2,5,2,2,4
5267823,N92000002,H,5,1,2,3,1,2,1,2,1,1,1,1,6,11,3
5292688,N92000002,H,4,1,2,2,1,2,1,2,1,1,1,1,9,5,2
5267503,N92000002,H,3,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5418785,N92000002,H,2,1,2,6,2,2,1,2,1,2,2,1,4,11,1
5317868,N92000002,H,2,1,1,7,2,2,1,2,1,2,2,5,8,4,3
5244128,N92000002,H,5,1,2,5,4,2,2,1,1,2,2,2,6,11,2
5270178,N92000002,H,2,1,1,1,1,1,1,1,1,8,1,-9,-9,-9,-9
5395303,N92000002,H,2,1,1,7,2,2,1,3,1,1,1,5,2,11,3
5295218,N92000002,H,2,1,1,3,2,2,1,1,1,2,2,1,9,2,3
5295538,N92000002,H,5,1,2,5,3,2,1,3,1,5,2,1,8,2,3
5269913,N92000002,H,2,1,2,6,2,2,1,1,1,1,1,7,-9,-9,-9
5294653,N92000002,H,2,1,2,2,1,2,1,2,1,1,1,1,7,4,2
5269373,N92000002,H,2,1,1,2,1,1,1,1,1,1,1,6,9,6,3
5395383,N92000002,H,2,1,1,3,2,2,1,1,1,1,1,1,5,8,3
5395638,N92000002,H,2,1,2,2,1,1,1,1,1,1,1,6,-9,-9,-9
5321193,N92000002,H,6,1,1,3,1,2,2,1,1,1,1,1,8,2,4
5271713,N92000002,H,1,1,2,6,5,2,1,2,1,3,2,8,7,4,2
5371998,N92000002,H,5,1,2,4,1,2,1,3,1,1,1,8,9,5,1
5297098,N92000002,H,5,1,2,5,1,2,1,2,1,1,1,8,-9,-9,-9
5271938,N92000002,H,2,1,1,1,1,1,1,1,1,8,2,-9,-9,-9,-9
5372273,N92000002,H,2,1,2,3,1,2,1,1,1,8,1,1,9,1,3
5397529,N92000002,H,2,1,1,1,1,1,1,1,1,5,2,-9,-9,-9,-9
5422340,N92000002,H,2,1,2,6,2,2,1,4,1,3,2,5,9,10,2
5247678,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,7,6,11,3
5373323,N92000002,H,2,1,1,1,1,1,1,2,1,2,2,-9,-9,-9,-9
5398339,N92000002,H,2,1,2,4,2,2,1,3,1,5,2,1,3,9,3
5249228,N92000002,H,2,1,2,1,1,2,1,1,1,8,1,-9,-9,-9,-9
5298708,N92000002,H,2,1,2,4,2,2,1,2,1,3,2,1,4,11,3
5373843,N92000002,H,2,1,2,6,2,2,1,2,1,1,1,5,-9,-9,-9
5300263,N92000002,H,2,1,2,5,2,2,1,1,1,5,2,1,2,12,2
5424491,N92000002,H,2,1,1,1,1,2,1,1,1,7,4,-9,-9,-9,-9
5325223,N92000002,H,2,1,1,3,2,2,1,1,1,7,2,1,9,2,3
5299653,N92000002,H,1,1,2,2,1,2,1,2,1,8,2,1,4,2,3
5275358,N92000002,H,2,1,2,8,2,2,1,2,1,4,2,5,7,4,3
5399884,N92000002,H,5,1,2,2,1,1,1,1,1,1,1,6,-9,-9,-9
5424581,N92000002,H,2,1,1,6,2,2,1,2,1,7,2,1,2,8,3
5376023,N92000002,H,2,1,2,2,1,1,1,1,1,1,1,6,-9,-9,-9
5326608,N92000002,H,2,1,2,6,2,2,1,2,1,1,1,5,-9,-9,-9
5327393,N92000002,H,5,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5377439,N92000002,H,2,1,1,4,2,2,2,2,1,1,1,1,3,3,3
5402149,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5376608,N92000002,H,2,1,2,7,2,2,1,1,1,2,2,5,-9,-9,-9
5302138,N92000002,H,2,1,1,6,2,2,1,1,1,1,1,1,5,3,3
5253423,N92000002,H,2,1,1,1,1,2,1,1,1,2,2,-9,-9,-9,-9
5328803,N92000002,H,2,1,1,5,2,2,1,2,1,2,2,2,5,9,3
5328308,N92000002,H,2,1,2,7,2,2,1,2,1,4,2,1,9,11,1
5354078,N92000002,H,2,1,2,4,2,2,1,2,1,2,2,7,7,4,2
5428303,N92000002,H,1,1,2,7,4,2,1,3,1,2,2,5,6,11,3
5378283,N92000002,H,2,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5353143,N92000002,H,2,1,2,3,2,2,1,1,1,7,4,1,7,4,2
5254648,N92000002,H,1,1,2,6,3,2,1,1,1,7,1,1,1,4,2
5280378,N92000002,H,2,1,1,5,2,2,1,4,1,2,2,1,3,2,3
5279833,N92000002,H,2,1,2,3,2,2,1,2,1,2,2,1,1,8,3
5380138,N92000002,H,2,1,2,2,1,1,1,1,1,1,1,4,7,4,1
5307078,N92000002,H,3,1,1,1,1,1,1,2,1,7,4,-9,-9,-9,-9
5381733,N92000002,H,5,1,1,4,1,2,1,2,1,5,2,1,7,4,3
5381653,N92000002,H,2,1,1,3,2,2,1,1,1,3,2,1,9,11,3
5332313,N92000002,H,2,1,1,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5308268,N92000002,H,2,1,2,2,1,2,1,1,1,3,2,1,3,7,3
5358473,N92000002,H,2,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5258968,N92000002,H,2,1,2,4,2,2,1,1,1,2,2,1,6,10,2
5334648,N92000002,H,1,1,1,4,1,2,1,1,1,2,2,1,4,5,3
5338213,N92000002,H,2,1,1,2,1,1,1,3,1,7,4,4,7,4,1
5236698,N92000002,H,1,1,1,3,1,2,1,1,1,8,2,1,2,10,4
5363033,N92000002,H,5,1,2,1,1,2,1,5,1,8,1,-9,-9,-9,-9
5389198,N92000002,H,3,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5264828,N92000002,H,5,1,2,7,5,2,1,3,1,1,1,8,-9,-9,-9
5387088,N92000002,H,2,1,1,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5389548,N92000002,H,2,1,2,1,1,1,1,1,1,8,1,-9,-9,-9,-9
5388463,N92000002,H,1,1,1,4,1,2,1,2,1,1,1,2,5,5,4
5387673,N92000002,H,4,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5288583,N92000002,H,2,1,1,3,2,2,1,2,1,1,1,1,7,4,3
5288573,N92000002,H,5,1,2,1,1,1,1,1,1,8,2,-9,-9,-9,-9
5264458,N92000002,H,3,1,1,3,1,2,1,1,1,8,2,1,3,4,3
5363228,N92000002,H,5,1,2,2,1,1,1,1,1,5,2,4,9,5,1
5289578,N92000002,H,2,1,1,6,2,2,1,1,1,1,1,1,2,9,3
5413899,N92000002,H,4,1,1,3,1,2,1,2,1,8,2,1,9,8,4
5389328,N92000002,H,2,1,2,3,2,2,1,3,1,7,4,1,4,4,2
5364128,N92000002,H,2,1,2,1,1,1,1,1,1,6,3,-9,-9,-9,-9
5314808,N92000002,H,1,1,1,2,1,1,1,1,1,2,2,4,7,5,1
5390308,N92000002,H,2,1,1,1,1,1,1,2,1,2,2,-9,-9,-9,-9
5315163,N92000002,H,2,1,2,1,1,2,1,1,1,7,4,-9,-9,-9,-9
5315583,N92000002,H,2,1,1,1,1,1,1,1,1,7,4,-9,-9,-9,-9
5290908,N92000002,H,2,1,1,5,2,2,1,2,1,2,2,1,3,4,3
5341338,N92000002,H,2,1,1,4,2,2,1,1,1,5,2,1,5,5,3
5241118,N92000002,H,2,1,1,8,2,2,2,2,1,1,1,2,1,3,2
5242113,N92000002,H,2,1,1,7,2,2,1,3,1,8,1,2,8,4,3
5416834,N92000002,H,2,1,2,3,2,2,1,1,1,2,2,7,7,4,2
5367173,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,7,6,9,1
5292788,N92000002,H,4,1,1,3,1,2,1,2,1,3,2,1,3,8,3
5417569,N92000002,H,2,1,1,2,1,1,1,1,1,4,2,6,7,4,1
5243118,N92000002,H,2,1,2,3,2,2,1,4,1,1,1,8,-9,-9,-9
5418385,N92000002,H,2,1,1,5,2,2,1,1,1,3,2,1,8,6,3
5368388,N92000002,H,2,1,1,8,2,2,1,2,1,2,2,5,5,12,3
5318003,N92000002,H,2,1,2,3,2,2,1,1,1,7,2,1,2,11,1
5368138,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5344043,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5319913,N92000002,H,2,1,1,4,2,2,1,3,1,1,1,2,2,11,3
5295178,N92000002,H,1,1,2,7,5,2,2,3,1,5,2,5,9,11,1
5371208,N92000002,H,1,1,1,8,2,2,1,3,1,3,2,5,8,4,3
5432664,N92000002,C,-9,1,2,8,1,2,1,2,1,1,1,5,9,10,3
5272268,N92000002,H,2,1,1,3,2,2,2,3,1,1,1,1,5,11,3
5371618,N92000002,H,2,1,2,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5322308,N92000002,H,5,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5371638,N92000002,H,2,1,1,7,2,2,1,2,1,3,2,1,1,1,3
5248238,N92000002,H,2,1,1,7,2,2,2,2,1,3,2,5,-9,-9,-9
5273113,N92000002,H,2,1,1,7,2,2,1,2,1,3,2,5,8,1,3
5422260,N92000002,H,2,1,2,6,2,2,1,3,1,3,2,5,9,11,2
5297793,N92000002,H,2,1,2,2,1,2,1,1,1,1,1,1,2,10,4
5397414,N92000002,H,2,1,2,3,2,2,1,1,1,5,2,1,2,11,3
5397404,N92000002,H,2,1,2,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5347988,N92000002,H,2,1,1,7,2,2,1,2,1,1,1,2,5,1,2
5273838,N92000002,H,1,1,1,4,4,2,1,3,1,1,1,3,5,5,2
5249393,N92000002,H,2,1,1,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5299233,N92000002,H,2,1,1,4,2,2,1,1,1,7,1,1,1,7,3
5250238,N92000002,H,2,1,2,7,2,2,1,1,1,1,1,1,9,8,2
5350548,N92000002,H,1,1,2,7,4,2,1,3,1,2,2,5,5,1,3
5324728,N92000002,H,2,1,2,1,1,1,1,1,1,7,2,-9,-9,-9,-9
5374313,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5349383,N92000002,H,5,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5349953,N92000002,H,2,1,2,6,2,2,1,4,1,1,1,5,4,12,3
5375178,N92000002,H,2,1,2,8,2,2,1,3,1,4,2,5,9,4,2
5300408,N92000002,H,2,1,1,5,2,2,1,2,1,2,2,1,1,9,3
5351218,N92000002,H,2,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5351178,N92000002,H,2,1,1,2,1,2,1,2,1,3,2,1,4,9,3
5326298,N92000002,H,2,1,1,2,1,2,1,1,1,1,1,1,2,10,1
5377003,N92000002,H,2,1,2,5,2,2,1,1,1,8,1,1,3,11,3
5352053,N92000002,H,4,1,1,4,4,2,1,3,1,1,1,9,9,3,4
5426440,N92000002,H,2,1,2,5,2,2,1,2,1,1,1,7,4,2,2
5376828,N92000002,H,1,1,1,8,2,2,1,2,1,1,1,5,5,3,4
5328113,N92000002,H,5,1,1,2,1,1,1,1,1,7,4,6,-9,-9,-9
5328563,N92000002,H,5,1,1,1,1,1,1,3,1,3,2,-9,-9,-9,-9
5278393,N92000002,H,1,1,1,6,5,2,1,2,1,2,2,5,1,2,4
5403014,N92000002,H,2,1,1,5,2,2,1,1,1,8,2,1,5,6,3
5403039,N92000002,H,5,1,2,8,5,2,1,3,1,5,2,5,2,11,2
5355078,N92000002,H,5,1,2,6,4,2,1,3,1,7,2,8,9,11,2
5254863,N92000002,H,2,1,1,3,2,2,1,2,1,8,2,1,2,6,3
5280968,N92000002,H,2,1,2,6,2,2,1,1,1,3,2,2,5,4,3
5430299,N92000002,H,2,1,2,6,2,2,1,3,1,5,2,1,5,5,3
5381043,N92000002,H,2,1,2,5,2,2,1,1,1,2,2,1,3,4,3
5306418,N92000002,H,2,1,1,6,2,2,1,3,1,1,1,2,9,3,2
5356448,N92000002,H,3,1,2,3,4,2,1,1,1,1,1,1,6,12,2
5332993,N92000002,H,2,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5382863,N92000002,H,1,1,2,8,5,2,1,2,1,3,2,9,-9,-9,-9
5383008,N92000002,H,2,1,2,4,2,2,1,4,1,2,2,7,7,4,2
5333003,N92000002,H,2,1,2,6,2,2,1,2,1,8,2,5,6,11,3
5357783,N92000002,H,2,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5383048,N92000002,H,2,1,2,3,2,2,1,3,1,5,2,2,5,2,2
5258103,N92000002,H,2,1,1,5,2,2,1,1,1,2,2,2,5,1,4
5358488,N92000002,H,2,1,2,6,2,2,2,4,1,1,1,9,8,2,3
5309863,N92000002,H,5,1,2,4,3,2,2,1,1,7,4,7,4,12,3
5309598,N92000002,H,1,1,1,3,1,2,1,2,1,2,2,9,9,2,3
5235308,N92000002,H,2,1,1,2,1,2,1,3,1,1,1,8,-9,-9,-9
5334298,N92000002,H,2,1,1,1,1,1,1,1,1,5,2,-9,-9,-9,-9
5384093,N92000002,H,1,1,1,6,1,2,1,3,1,2,2,5,9,8,3
5334978,N92000002,H,4,1,1,5,3,2,1,2,1,8,2,1,5,2,3
5260148,N92000002,H,5,1,2,3,1,2,1,1,1,2,2,1,7,4,2
5410869,N92000002,H,1,1,2,7,3,2,1,3,1,3,2,5,2,10,3
5237928,N92000002,H,1,1,1,2,1,2,2,1,2,3,2,1,9,4,1
5312908,N92000002,H,2,1,1,5,2,2,1,4,1,1,1,1,5,3,3
5312438,N92000002,H,5,1,1,2,1,2,1,3,1,1,1,3,-9,-9,-9
5413534,N92000002,H,2,1,2,2,2,2,1,3,1,3,2,5,8,2,3
5413319,N92000002,H,2,1,1,7,2,2,1,1,1,7,2,5,5,3,3
5237043,N92000002,H,1,1,1,3,1,2,1,3,1,1,1,1,1,5,4
5413759,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5340188,N92000002,H,5,1,2,1,1,1,1,1,1,5,2,-9,-9,-9,-9
5290393,N92000002,H,1,1,2,6,4,2,1,3,1,2,2,8,5,11,3
5291443,N92000002,H,5,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5415584,N92000002,H,1,1,2,8,5,2,1,4,1,2,2,5,4,9,3
5390623,N92000002,H,1,1,1,3,1,2,1,2,1,7,2,1,3,4,3
5267483,N92000002,H,2,1,2,2,1,2,1,1,1,1,1,1,1,4,3
5242418,N92000002,H,4,1,2,2,1,2,1,1,1,7,4,1,9,5,2
5341768,N92000002,H,2,1,2,4,2,2,1,1,1,1,1,1,4,7,2
5342378,N92000002,H,2,1,2,6,2,2,1,2,1,1,1,5,2,10,3
5267553,N92000002,H,2,1,1,6,2,2,1,2,1,2,2,2,1,2,4
5293978,N92000002,H,6,1,1,6,1,2,1,2,1,3,2,8,5,8,4
5343688,N92000002,H,5,1,2,8,5,2,1,3,1,3,2,5,-9,-9,-9
5269838,N92000002,H,2,1,1,2,1,1,1,1,1,1,1,6,-9,-9,-9
5395158,N92000002,H,2,1,2,2,1,1,1,1,1,1,1,6,-9,-9,-9
5295783,N92000002,H,5,1,2,4,3,2,1,2,1,1,1,1,7,4,2
5396263,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5246288,N92000002,H,2,1,2,1,1,2,1,2,1,1,1,-9,-9,-9,-9
5421205,N92000002,H,3,1,1,4,1,2,1,3,1,1,1,2,8,3,2
5346873,N92000002,H,2,1,1,7,2,2,1,1,1,3,2,1,8,9,2
5421976,N92000002,H,2,1,1,4,2,2,1,3,1,7,2,1,8,9,3
5346793,N92000002,H,1,1,2,3,1,2,1,1,1,7,1,1,3,8,3
5347698,N92000002,H,2,1,2,2,1,1,1,1,1,1,1,6,-9,-9,-9
5347298,N92000002,H,5,1,1,5,1,2,1,2,1,1,1,2,2,10,3
5398024,N92000002,H,2,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5398599,N92000002,H,2,1,1,6,2,2,1,2,1,1,1,2,5,1,2
5423705,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5432829,N92000002,C,-9,1,1,5,4,2,1,2,1,1,1,9,2,11,1
5275148,N92000002,H,5,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5350013,N92000002,H,2,1,1,2,1,2,1,2,1,8,2,1,7,4,3
5300613,N92000002,H,4,1,2,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5425780,N92000002,H,2,1,1,6,2,2,1,1,1,5,2,1,1,2,3
